"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES"
"US1TXVV0003","2011","29.442051","-100.953602","347.5","DEL RIO 5.7 NW, TX US","        32","N","        18","N","         4","N"," 107.4"," ,N,0812, ","    316.1"," ,N"
"US1TXVV0003","2012","29.442051","-100.953602","347.5","DEL RIO 5.7 NW, TX US","        47","N","        25","N","         4","N","  58.2"," ,N,0929, ","    432.2"," ,N"
"US1TXVV0003","2014","29.442051","-100.953602","347.5","DEL RIO 5.7 NW, TX US","        41","N","        24","N","         5","N"," 100.1"," ,N,0620, ","    497.6"," ,N"
"US1TXVV0003","2015","29.442051","-100.953602","347.5","DEL RIO 5.7 NW, TX US","        79","N","        38","N","        10","N"," 104.4"," ,N,1009, ","    727.4"," ,N"
"US1TXVV0003","2016","29.442051","-100.953602","347.5","DEL RIO 5.7 NW, TX US","        68","N","        35","N","        10","N"," 168.1"," ,N,0820, ","    906.1"," ,N"
"US1TXVV0003","2017","29.442051","-100.953602","347.5","DEL RIO 5.7 NW, TX US","        55","N","        31","N","         7","N","  91.4"," ,N,0402, ","    617.1"," ,N"
"US1TXVV0003","2018","29.442051","-100.953602","347.5","DEL RIO 5.7 NW, TX US","        61","N","        37","N","         7","N","  84.8"," ,N,0812, ","    649.8"," ,N"
"US1TXVV0003","2019","29.442051","-100.953602","347.5","DEL RIO 5.7 NW, TX US","        55","N","        22","N","         4","N","  76.7"," ,N,0604, ","    373.6"," ,N"
"US1TXVV0003","2020","29.442051","-100.953602","347.5","DEL RIO 5.7 NW, TX US","        47","N","        24","N","         3","N","  46.5"," ,N,0316, ","    362.9"," ,N"
"US1TXVV0003","2021","29.442051","-100.953602","347.5","DEL RIO 5.7 NW, TX US","        52","N","        26","N","         4","N","  66.8"," ,N,0818, ","    466.4"," ,N"
"US1TXVV0003","2022","29.442051","-100.953602","347.5","DEL RIO 5.7 NW, TX US","        41","N","        21","N","         3","N","  42.9"," ,N,0823, ","    361.6"," ,N"
"US1TXVV0003","2023","29.442051","-100.953602","347.5","DEL RIO 5.7 NW, TX US","        44","N","        27","N","         7","N","  66.0"," ,N,0513, ","    486.0"," ,N"
