"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES"
"US1UTBE0008","2011","41.7266652","-112.1482226","1319.2","GARLAND 1.0 SE, UT US","        96","N","        51","N","         1","N","  39.4"," ,N,0801, ","    494.6"," ,N"
"US1UTBE0008","2012","41.7266652","-112.1482226","1319.2","GARLAND 1.0 SE, UT US","        74","N","        38","N","         0","N","  23.9"," ,N,0122, ","    329.2"," ,N"
"US1UTBE0008","2013","41.7266652","-112.1482226","1319.2","GARLAND 1.0 SE, UT US","        79","N","        35","N","         0","N","  23.1"," ,N,0128, ","    299.5"," ,N"
"US1UTBE0008","2014","41.7266652","-112.1482226","1319.2","GARLAND 1.0 SE, UT US","        86","N","        47","N","         0","N","  24.6"," ,N,0301, ","    446.2"," ,N"
"US1UTBE0008","2015","41.7266652","-112.1482226","1319.2","GARLAND 1.0 SE, UT US","        95","N","        46","N","         3","N","  35.8"," ,N,0517, ","    484.6"," ,N"
"US1UTBE0008","2016","41.7266652","-112.1482226","1319.2","GARLAND 1.0 SE, UT US","       106","N","        57","N","         3","N","  35.3"," ,N,0924, ","    610.6"," ,N"
"US1UTBE0008","2017","41.7266652","-112.1482226","1319.2","GARLAND 1.0 SE, UT US","        98","N","        51","N","         2","N","  38.9"," ,N,0123, ","    481.5"," ,N"
"US1UTBE0008","2018","41.7266652","-112.1482226","1319.2","GARLAND 1.0 SE, UT US","        85","N","        35","N","         0","N","  19.3"," ,N,0323, ","    310.9"," ,N"
"US1UTBE0008","2019","41.7266652","-112.1482226","1319.2","GARLAND 1.0 SE, UT US","       103","N","        56","N","         4","N","  48.8"," ,N,0929, ","    661.2"," ,N"
"US1UTBE0008","2020","41.7266652","-112.1482226","1319.2","GARLAND 1.0 SE, UT US","        76","N","        31","N","         1","N","  25.7"," ,N,0617, ","    288.6"," ,N"
"US1UTBE0008","2021","41.7266652","-112.1482226","1319.2","GARLAND 1.0 SE, UT US","        89","N","        36","N","         2","N","  30.7"," ,N,1009, ","    378.2"," ,N"
"US1UTBE0008","2022","41.7266652","-112.1482226","1319.2","GARLAND 1.0 SE, UT US","        74","N","        37","N","         1","N","  74.9"," ,N,0802, ","    402.8"," ,N"
"US1UTBE0008","2023","41.7266652","-112.1482226","1319.2","GARLAND 1.0 SE, UT US","       125","N","        68","N","         2","N","  36.6"," ,N,0110, ","    647.5"," ,N"
"US1UTBE0008","2024","41.7266652","-112.1482226","1319.2","GARLAND 1.0 SE, UT US","       110","N","        52","N","         0","N","  21.6"," ,N,0207, ","    459.6"," ,N"
