"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1UTWB0001","2009","41.18484","-112.09012","1292.0","WEST HAVEN 2.0 SW, UT US","        90","N","        51","N","         1","N","","","","","  30.7"," ,N,0209, ","    453.7"," ,N","",""
"US1UTWB0001","2011","41.18484","-112.09012","1292.0","WEST HAVEN 2.0 SW, UT US","        90","N","        50","N","         4","N","        15","N","   152"," ,N,0220, ","  39.9"," ,N,0801, ","    552.1"," ,N","      909"," ,N"
"US1UTWB0001","2012","41.18484","-112.09012","1292.0","WEST HAVEN 2.0 SW, UT US","        67","N","        33","N","         1","N","        15","N","   152"," ,N,1227,+","  28.4"," ,N,0122, ","    308.2"," ,N","      966"," ,N"
"US1UTWB0001","2013","41.18484","-112.09012","1292.0","WEST HAVEN 2.0 SW, UT US","        76","N","        36","N","         1","N","        16","N","   203"," ,N,0111, ","  27.4"," ,N,1219, ","    292.0"," ,N","     1423"," ,N"
"US1UTWB0001","2014","41.18484","-112.09012","1292.0","WEST HAVEN 2.0 SW, UT US","        78","N","        39","N","         0","N","         7","N","    94"," ,N,1229, ","  23.4"," ,N,0730, ","    375.1"," ,N","      382"," ,N"
"US1UTWB0001","2015","41.18484","-112.09012","1292.0","WEST HAVEN 2.0 SW, UT US","        86","N","        50","N","         1","N","         9","N","   127"," ,N,1223, ","  49.8"," ,N,0517, ","    452.1"," ,N","      760"," ,N"
"US1UTWB0001","2016","41.18484","-112.09012","1292.0","WEST HAVEN 2.0 SW, UT US","        85","N","        46","N","         3","N","        11","N","   127"," ,N,1225, ","  30.5"," ,N,0923, ","    466.8"," ,N","      798"," ,N"
"US1UTWB0001","2017","41.18484","-112.09012","1292.0","WEST HAVEN 2.0 SW, UT US","        82","N","        46","N","         0","N","        17","N","   160"," ,N,0224, ","  22.6"," ,N,1117,+","    372.3"," ,N","     1228"," ,N"
"US1UTWB0001","2018","41.18484","-112.09012","1292.0","WEST HAVEN 2.0 SW, UT US","        61","N","        28","N","         1","N","         9","N","   102"," ,N,0304,+","  25.4"," ,N,1010, ","    268.1"," ,N","      588"," ,N"
"US1UTWB0001","2019","41.18484","-112.09012","1292.0","WEST HAVEN 2.0 SW, UT US","       101","N","        58","N","         1","N","        17","N","   229"," ,N,1128, ","  27.4"," ,N,0329, ","    553.1"," ,N","      981"," ,N"
"US1UTWB0001","2020","41.18484","-112.09012","1292.0","WEST HAVEN 2.0 SW, UT US","        57","N","        25","N","         0","N","        10","N","    76"," ,N,1218, ","  16.5"," ,N,0617, ","    206.2"," ,N","      491"," ,N"
"US1UTWB0001","2021","41.18484","-112.09012","1292.0","WEST HAVEN 2.0 SW, UT US","        66","N","        33","N","         2","N","        10","N","   178"," ,N,1215, ","  31.5"," ,N,1019, ","    363.3"," ,N","      721"," ,N"
"US1UTWB0001","2022","41.18484","-112.09012","1292.0","WEST HAVEN 2.0 SW, UT US","        73","N","        32","N","         1","N","        11","N","   140"," ,N,1202, ","  32.3"," ,N,0914, ","    305.9"," ,N","      888"," ,N"
"US1UTWB0001","2023","41.18484","-112.09012","1292.0","WEST HAVEN 2.0 SW, UT US","       114","N","        60","N","         0","N","        22","N","   165"," ,N,0222, ","  23.9"," ,N,1003, ","    500.6"," ,N","     1502"," ,N"
"US1UTWB0001","2024","41.18484","-112.09012","1292.0","WEST HAVEN 2.0 SW, UT US","        88","N","        50","N","         0","N","        12","N","   152"," ,N,0303, ","  20.6"," ,N,0506, ","    460.6"," ,N","      877"," ,N"
