"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1WILN0002","2008","45.177458","-89.848184","427.9","MERRILL 7.0 W, WI US","       146","N","        71","N","         4","N","","","        27","N","","","   218"," ,N,0401, ","  43.9"," ,N,0722, ","    684.3"," ,N","     2171"," ,N"
"US1WILN0002","2009","45.177458","-89.848184","427.9","MERRILL 7.0 W, WI US","       134","N","        55","N","         7","N","      101","","        15","N","   330"," ,N,0120, ","   333"," ,N,1209, ","  54.9"," ,N,0803, ","    758.5"," ,N","     1353"," ,N"
"US1WILN0002","2010","45.177458","-89.848184","427.9","MERRILL 7.0 W, WI US","       123","N","        66","N","        11","N","","","         9","N","","","   284"," ,N,1212, ","  86.6"," ,N,0715, ","    978.5"," ,N","     1070"," ,N"
"US1WILN0002","2011","45.177458","-89.848184","427.9","MERRILL 7.0 W, WI US","       131","N","        70","N","         5","N","      115","","        18","N","   406"," ,N,0324, ","   259"," ,N,0221, ","  74.7"," ,N,0623, ","    901.9"," ,N","     1694"," ,N"
"US1WILN0002","2012","45.177458","-89.848184","427.9","MERRILL 7.0 W, WI US","       116","N","        64","N","         3","N","       90","","        15","N","   368"," ,N,0301, ","   229"," ,N,0229, ","  38.1"," ,N,0619, ","    628.1"," ,N","     1556"," ,N"
"US1WILN0002","2013","45.177458","-89.848184","427.9","MERRILL 7.0 W, WI US","       143","N","        79","N","         4","N","      132","","        26","N","   445"," ,N,0316, ","   137"," ,N,0131, ","  65.8"," ,N,0708, ","    987.9"," ,N","     1738"," ,N"
"US1WILN0002","2014","45.177458","-89.848184","427.9","MERRILL 7.0 W, WI US","       146","N","        80","N","         6","N","      151","","        25","N","   762"," ,N,0221, ","   183"," ,N,0115, ","  66.3"," ,N,0812, ","   1005.2"," ,N","     2372"," ,N"
"US1WILN0002","2015","45.177458","-89.848184","427.9","MERRILL 7.0 W, WI US","       119","N","        74","N","         8","N","       81","","        11","N","   292"," ,N,0225,+","   132"," ,N,1229,+","  67.3"," ,N,0907, ","    901.7"," ,N","      868"," ,N"
"US1WILN0002","2016","45.177458","-89.848184","427.9","MERRILL 7.0 W, WI US","       138","N","        81","N","         7","N","","","        18","N","","","   262"," ,N,0324, ","  55.4"," ,N,0728, ","    946.0"," ,N","     1480"," ,N"
"US1WILN0002","2017","45.177458","-89.848184","427.9","MERRILL 7.0 W, WI US","       149","N","        80","N","         7","N","       92","","        15","N","   381"," ,N,0112, ","   193"," ,N,0224, ","  71.1"," ,N,0804, ","    966.2"," ,N","     1409"," ,N"
"US1WILN0002","2018","45.177458","-89.848184","427.9","MERRILL 7.0 W, WI US","       119","N","        66","N","         7","N","      147","","        25","N","   457"," ,N,0416, ","   208"," ,N,0416, "," 124.7"," ,N,0905, ","    933.6"," ,N","     2259"," ,N"
"US1WILN0002","2019","45.177458","-89.848184","427.9","MERRILL 7.0 W, WI US","       138","N","        94","N","        10","N","      122","","        23","N","  1041"," ,N,0302,+","   310"," ,N,0224, ","  38.4"," ,N,0418, ","   1136.8"," ,N","     2785"," ,N"
"US1WILN0002","2020","45.177458","-89.848184","427.9","MERRILL 7.0 W, WI US","       122","N","        65","N","         6","N","      102","","        18","N","   508"," ,N,0220,+","   318"," ,N,0413, ","  75.4"," ,N,0610, ","    859.2"," ,N","     1357"," ,N"
"US1WILN0002","2021","45.177458","-89.848184","427.9","MERRILL 7.0 W, WI US","       135","N","        70","N","         8","N","       91","","        15","N","   432"," ,N,1211, ","   323"," ,N,1211, ","  42.9"," ,N,0812, ","    930.5"," ,N","     1316"," ,N"
"US1WILN0002","2022","45.177458","-89.848184","427.9","MERRILL 7.0 W, WI US","       154","N","        72","N","         6","N","","","        18","N","","","   152"," ,N,1215, ","  55.4"," ,N,0803, ","    842.6"," ,N","     1449"," ,N"
"US1WILN0002","2023","45.177458","-89.848184","427.9","MERRILL 7.0 W, WI US","       135","N","        70","N","         4","N","      107","","        20","N","   673"," ,N,0313, ","   226"," ,N,0417, ","  49.0"," ,N,0401, ","    761.8"," ,N","     2054"," ,N"
"US1WILN0002","2024","45.177458","-89.848184","427.9","MERRILL 7.0 W, WI US","       139","N","        75","N","         5","N","       46","","         9","N","   178"," ,N,0403, ","   178"," ,N,0403, ","  62.7"," ,N,0730, ","   1018.2"," ,N","      805"," ,N"
