"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1WVNC0004","2015","38.336981","-80.64522","682.8","CRAIGSVILLE 0.6 NE, WV US","       175","N","       118","N","        16","N","","","","","  46.0"," ,N,0627, ","   1594.1"," ,N","",""
"US1WVNC0004","2016","38.336981","-80.64522","682.8","CRAIGSVILLE 0.6 NE, WV US","       177","N","       122","N","        12","N","","","",""," 117.3"," ,N,0624, ","   1572.9"," ,N","",""
"US1WVNC0004","2017","38.336981","-80.64522","682.8","CRAIGSVILLE 0.6 NE, WV US","       181","N","       117","N","        10","N","","","","","  46.5"," ,N,1024, ","   1338.5"," ,N","",""
"US1WVNC0004","2018","38.336981","-80.64522","682.8","CRAIGSVILLE 0.6 NE, WV US","       211","N","       136","N","        11","N","","","","","  56.6"," ,N,0705, ","   1725.5"," ,N","",""
"US1WVNC0004","2019","38.336981","-80.64522","682.8","CRAIGSVILLE 0.6 NE, WV US","       174","N","       115","N","        10","N","","","","","  39.1"," ,N,1101, ","   1378.8"," ,N","",""
"US1WVNC0004","2020","38.336981","-80.64522","682.8","CRAIGSVILLE 0.6 NE, WV US","       191","N","       128","N","        14","N","","","","","  91.7"," ,N,0828, ","   1747.0"," ,N","",""
"US1WVNC0004","2021","38.336981","-80.64522","682.8","CRAIGSVILLE 0.6 NE, WV US","       173","N","       113","N","         5","N","","","","","  56.6"," ,N,0301, ","   1178.9"," ,N","",""
"US1WVNC0004","2022","38.336981","-80.64522","682.8","CRAIGSVILLE 0.6 NE, WV US","       188","N","       126","N","        16","N","","","","","  74.7"," ,N,1002,+","   1671.5"," ,N","",""
"US1WVNC0004","2023","38.336981","-80.64522","682.8","CRAIGSVILLE 0.6 NE, WV US","       178","N","       117","N","         6","N","        13","N","   107"," ,N,0114, ","  64.0"," ,N,0217, ","   1324.6"," ,N","      777"," ,N"
"US1WVNC0004","2024","38.336981","-80.64522","682.8","CRAIGSVILLE 0.6 NE, WV US","       169","N","       108","N","         8","N","","","","","  50.0"," ,N,0926, ","   1307.3"," ,N","",""
