"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00021353","1928","33.9826","-112.3628","606.6","CASTLE HOT SPRINGS, AZ US","","","","","","","","","","","","","","","","","","","","","","","","","         4"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00021353","1929","33.9826","-112.3628","606.6","CASTLE HOT SPRINGS, AZ US","","","","","        27","6","        21","6","         1","6","","","         0","6","","","","","         0","6","       289","6","       149","6","","","","","","","     0"," ,6,1231,+","  32.0"," ,6,0802, ","   46.1","6,0624, ","","","","","","","","","","","","","","","","","","","    262.5"," ,6","        0"," ,6","","","     28.63","6","",""
"USC00021353","1930","33.9826","-112.3628","606.6","CASTLE HOT SPRINGS, AZ US","   1921.6","","    1921.6","6","","","","","","","","","","","         0","6","         1","6","         0","6","       267","6","       129","6","","","   -2.2","6,0109, ","","","","","","","   43.3","6,0701, ","","","","","","","-2.2","6,0109","-2.2","6,0109","","","","","     571.1","1","     571.1","6","","","","","     21.57","6","     27.70","6","     15.44","6"
"USC00021353","1931","33.9826","-112.3628","606.6","CASTLE HOT SPRINGS, AZ US","","","","","        55","6","        35","6","         7","6","","","","","         0","6","         2","6","         0","6","       256","6","       155","6","","","   -2.2","6,1124, ","","","","","  41.9"," ,6,1210, ","   43.9","6,0713, ","-2.2","6,1124","-2.2","6,1124","","","0.0","6,0107","","","","","","","     710.6","6","     710.6","6","    513.7"," ,6","","","     22.02","6","     27.85","6","     16.18","6"
"USC00021353","1932","33.9826","-112.3628","606.6","CASTLE HOT SPRINGS, AZ US","   2065.4","","    2065.4","6","        46","6","        32","6","         1","6","","","         0","6","         0","6","         5","6","         0","6","       273","6","       149","6","","","   -1.1","6,1230,+","","","     0"," ,6,1231,+","  36.1"," ,6,0820, ","   43.9","6,0722, ","-1.1","6,1230","","","","","-0.6","6,0130","","","","","","","","","","","    357.8"," ,6","        0"," ,6","     21.76","6","     27.89","6","     15.62","6"
"USC00021353","1933","33.9826","-112.3628","606.6","CASTLE HOT SPRINGS, AZ US","   2089.8","","    2089.8","6","","","","","","","","","","","         0","6","         5","6","         0","6","       271","6","       135","6","","","   -6.7","6,0208, ","","","","","","","   44.4","6,0726,+","","","","","","","-3.3","6,0210","-3.3","6,0210","-6.7","6,0208","-6.7","6,0208","     831.4","4","     831.4","6","","","","","     21.81","6","     28.06","6","     15.56","6"
"USC00021353","1935","33.9826","-112.3628","606.6","CASTLE HOT SPRINGS, AZ US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","     750.3","3","     750.3","6","","","","","","","","","",""
"USC00021353","1959","33.9826","-112.3628","606.6","CASTLE HOT SPRINGS, AZ US","","","","","","","","","","","","","","","","","","","","","","","","","        11"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00021353","1960","33.9826","-112.3628","606.6","CASTLE HOT SPRINGS, AZ US","   1952.1","","    1952.1","0","        24","0","        14","0","         1","0","        0","","         0","0","         0","0","        14","0","         0","0","       287","0","       153","0","         2"," ","   -2.8","0,1207, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  26.4"," ,0,0113, ","   43.3","0,0622,+","-2.8","0,1207","-2.8","0,1207","","","-2.2","0,0225","-2.2","0,0225","","","","","     832.4","4","     832.4","0","    155.7"," ,0","        0"," ,0","     21.38","0","     29.03","0","     13.73","0"
"USC00021353","1961","33.9826","-112.3628","606.6","CASTLE HOT SPRINGS, AZ US","   1760.1","","    1760.1","0","        35","0","        21","0","         1","0","        0","","         0","0","         0","0","         1","0","         0","0","       299","0","       156","0","        22"," ","    0.0","0,1122, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  46.5"," ,0,1215, ","   43.3","0,0719,+","0.0","0,1122","","","","","","","","","","","","","     606.1","1","     606.1","0","    233.9"," ,0","        0"," ,0","     21.24","0","     28.88","0","     13.60","0"
"USC00021353","1962","33.9826","-112.3628","606.6","CASTLE HOT SPRINGS, AZ US","   1836.8","","    1836.8","0","        36","0","        24","0","         0","0","        0","","         0","0","         0","0","         6","0","         0","0","       293","0","       149","0","         1"," ","   -3.3","0,0111, ","     0"," ,0,1231,+","     0","T,0,0310,+","  19.8"," ,0,0321, ","   42.8","0,0814, ","","","","","","","0.0","0,0314","-2.8","0,0112","","","","","     928.2","2","     928.2","0","    213.9"," ,0","        0","T,0","     21.23","0","     28.70","0","     13.77","0"
"USC00021353","1963","33.9826","-112.3628","606.6","CASTLE HOT SPRINGS, AZ US","   1847.8","","    1847.8","0","        24","0","        23","0","         7","0","        0","","         0","0","         0","0","         8","0","         0","0","       300","0","       150","0","","","   -8.3","0,0112, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  68.6"," ,0,0801, ","   42.2","0,0725,+","0.0","0,1214","","","","","-1.1","0,0213","-3.3","0,0120","-8.3","0,0112","-8.3","0,0112","     677.2","2","     677.2","0","    405.2"," ,0","        0"," ,0","     21.34","0","     28.78","0","     13.90","0"
"USC00021353","1964","33.9826","-112.3628","606.6","CASTLE HOT SPRINGS, AZ US","   1748.3","","    1748.3","0","        27","0","        22","0","         5","0","        0","","         0","0","         0","0","         8","0","         0","0","       261","0","       153","0","","","   -2.8","0,0116,+","     0"," ,0,1231,+","     0"," ,0,1231,+","  50.8"," ,0,0802, ","   42.8","0,0703, ","","","","","","","-1.1","0,0215","-2.8","0,0116","","","","","     936.7","7","     936.7","0","    339.1"," ,0","        0"," ,0","     20.30","0","     27.88","0","     12.72","0"
