"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES"
"USC00025708","1950","34.91667","-111.45","2190.0","MORMON LAKE R S, AZ US","","","         9"," "
"USC00025708","1951","34.91667","-111.45","2190.0","MORMON LAKE R S, AZ US","         2"," ","        35"," "
"USC00025708","1952","34.91667","-111.45","2190.0","MORMON LAKE R S, AZ US","         3"," ","        21"," "
"USC00025708","1953","34.91667","-111.45","2190.0","MORMON LAKE R S, AZ US","","","        34"," "
"USC00025708","1954","34.91667","-111.45","2190.0","MORMON LAKE R S, AZ US","         1"," ","        30"," "
"USC00025708","1955","34.91667","-111.45","2190.0","MORMON LAKE R S, AZ US","","","        32"," "
"USC00025708","1956","34.91667","-111.45","2190.0","MORMON LAKE R S, AZ US","","","        29"," "
"USC00025708","1957","34.91667","-111.45","2190.0","MORMON LAKE R S, AZ US","        44"," ","        21"," "
"USC00025708","1958","34.91667","-111.45","2190.0","MORMON LAKE R S, AZ US","","","         1"," "
"USC00025708","1962","34.91667","-111.45","2190.0","MORMON LAKE R S, AZ US","","","         2"," "
"USC00025708","1963","34.91667","-111.45","2190.0","MORMON LAKE R S, AZ US","","","         1"," "
"USC00025708","1964","34.91667","-111.45","2190.0","MORMON LAKE R S, AZ US","","","        12"," "
