"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00027326","1895","31.5","-111.28333","1214.0","RUBY 4 NW, AZ US","","","","","","","","","","","","","","","","","","","","","","","","","         1"," ","        42"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00027326","1896","31.5","-111.28333","1214.0","RUBY 4 NW, AZ US","","","","","        54","0","        33","0","         4","0","        0","","         0","0","","","","","","","","","","","","","        76"," ","","","     0"," ,0,1231,+","     5"," ,0,0305, ","  45.5"," ,0,0720, ","","","","","","","","","","","","","","","","","","","     991.8","8","     991.8","0","    462.8"," ,0","        5"," ,0","","","","","",""
"USC00027326","1897","31.5","-111.28333","1214.0","RUBY 4 NW, AZ US","","","","","        61","0","        37","0","         2","0","        0","","         0","0","","","","","","","","","","","         2"," ","        20"," ","","","     0","T,0,0102, ","    13"," ,0,0102, ","  52.6"," ,0,0831, ","","","","","","","","","","","","","","","","","","","","","","","    345.8"," ,0","       13"," ,0","","","","","",""
"USC00027326","1898","31.5","-111.28333","1214.0","RUBY 4 NW, AZ US","    987.4","","     987.4","0","        53","0","        45","0","         7","0","        1","","         3","0","         0","0","        36","0","         0","0","       242","0","        79","0","         3"," ","        20"," ","  -11.1","0,0125, ","   127"," ,0,0111, ","   191"," ,0,0111, ","  33.3"," ,0,0710, ","   38.9","0,0618, ","-1.1","0,1113","-2.2","0,1223","","","0.0","0,0330","-2.8","0,0328","-11.1","0,0125","-11.1","0,0125","-11.1","0,0125","    1538.9","9","    1538.9","0","    533.4"," ,0","      318"," ,0","     17.12","0","     24.41","0","      9.82","0"
"USC00027326","1899","31.5","-111.28333","1214.0","RUBY 4 NW, AZ US","","","","","","","","","","","","","","","","","","","","","","","","","         3"," ","        43"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","    1287.9","9","    1287.9","0","","","","","","","","","",""
"USC00027326","1900","31.5","-111.28333","1214.0","RUBY 4 NW, AZ US","","","","","","","","","","","","","","","","","","","","","","","","","","","         6"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00027326","1901","31.5","-111.28333","1214.0","RUBY 4 NW, AZ US","","","","","","","","","","","","","","","","","","","","","","","","","","","         1"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00027326","1916","31.5","-111.28333","1214.0","RUBY 4 NW, AZ US","","","","","        52","0","        40","0","         5","0","        2","","         2","0","","","","","","","","","","","","","","","","","    76"," ,0,0120, ","   178"," ,0,0120, ","  63.8"," ,0,0119, ","","","","","","","","","","","","","","","","","","","","","","","    473.1"," ,0","      280"," ,0","","","","","",""
"USC00027326","1930","31.5","-111.28333","1214.0","RUBY 4 NW, AZ US","","","","","","","","","","","","","","","","","","","","","","","","","         2"," ","        27"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00027326","1931","31.5","-111.28333","1214.0","RUBY 4 NW, AZ US","","","","","        81","0","        54","0","        12","0","        1","","         1","0","","","","","","","","","","","        12"," ","        22"," ","","","    51"," ,0,1209, ","    51"," ,0,1209, ","  66.8"," ,0,1121, ","","","","","","","","","","","","","","","","","","","","","","","    866.4"," ,0","       51"," ,0","","","","","",""
"USC00027326","1932","31.5","-111.28333","1214.0","RUBY 4 NW, AZ US","","","","","        63","0","        35","0","         3","0","        0","","         1","0","","","","","","","","","","","        11"," ","         9"," ","","","     0","T,0,1222, ","    25"," ,0,0215, ","  82.0"," ,0,0729, ","","","","","","","","","","","","","","","","","","","","","","","    491.1"," ,0","       38"," ,0","","","","","",""
"USC00027326","1933","31.5","-111.28333","1214.0","RUBY 4 NW, AZ US","","","","","        72","0","        38","0","         4","0","        0","","         3","0","","","","","","","","","","","         8"," ","        18"," ","","","     0","T,0,1130,+","    89"," ,0,0120, ","  50.5"," ,0,0802, ","","","","","","","","","","","","","","","","","","","","","","","    476.6"," ,0","      152"," ,0","","","","","",""
"USC00027326","1934","31.5","-111.28333","1214.0","RUBY 4 NW, AZ US","","","","","        60","0","        37","0","         4","0","        0","","         0","0","","","","","","","","","","","","","        39"," ","","","     0"," ,0,1231,+","     0"," ,0,1231,+","  48.0"," ,0,1229, ","","","","","","","","","","","","","","","","","","","","","","","    505.4"," ,0","        0"," ,0","","","","","",""
"USC00027326","1935","31.5","-111.28333","1214.0","RUBY 4 NW, AZ US","","","","","","","","","","","","","","","","","","","","","","","","","","","        22"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00027326","1936","31.5","-111.28333","1214.0","RUBY 4 NW, AZ US","    954.4","","     954.4","0","        59","0","        41","0","         4","0","        0","","         0","0","         0","0","        25","0","         0","0","       250","0","        71","0","         4"," ","        26"," ","   -4.4","0,0101, ","     0"," ,0,1231,+","     0","T,0,1230,+","  37.8"," ,0,0818, ","   39.4","0,0619, ","0.0","0,1202","-3.3","0,1230","","","-1.1","0,0406","-2.8","0,0206","-4.4","0,0101","","","","","","","","","    494.4"," ,0","        0","T,0","     17.44","0","     24.76","0","     10.11","0"
