"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","MNPN","MNPN_ATTRIBUTES","MXPN","MXPN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00027480","1901","33.1819","-110.5261","771.8","SAN CARLOS RESERVOIR, AZ US","","","","","        38","6","        31","6","         2","6","","","","","","","","","","","","","","","","","","","","","","","","","  45.7"," ,6,0910, ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    351.1"," ,6","","","","","","","","","",""
"USC00027480","1904","33.1819","-110.5261","771.8","SAN CARLOS RESERVOIR, AZ US","   1353.7","","    1353.7","6","        37","6","        18","6","         1","6","","","","","         0","6","        89","6","         0","6","       290","6","       154","6","","","","","  -11.1","6,0129, ","","","","","  25.4"," ,6,0725, ","   43.9","6,0711, ","","","0.0","6,1109","-6.1","6,1113","-6.1","6,1113","","","","","-0.6","6,0422","-2.8","6,0322","-6.1","6,0204","-7.2","6,0203","-8.9","6,0130","","","","","","","","","    168.9"," ,6","","","     18.43","6","     28.68","6","      8.18","6","",""
"USC00027480","1905","33.1819","-110.5261","771.8","SAN CARLOS RESERVOIR, AZ US","   1260.1","","    1260.1","6","","","","","","","","","         0","6","         0","6","        40","6","         0","6","       245","6","       135","6","","","","","   -6.7","6,1224, ","","","     0","T,6,1229,+","","","   45.0","6,0707,+","","","-0.6","6,1129","-2.2","6,1202","-4.4","6,1223","-6.7","6,1224","","","0.0","6,0402","-3.3","6,0214","-4.4","6,0106","","","","","    1293.7","7","    1293.7","6","","","","","","","        0","T,6","     18.18","6","     26.71","6","      9.65","6","",""
"USC00027480","1906","33.1819","-110.5261","771.8","SAN CARLOS RESERVOIR, AZ US","   1141.9","","    1141.9","6","        53","6","        33","6","         5","6","","","         1","6","         0","6","        59","6","         0","6","       267","6","       140","6","","","","","   -6.7","6,0123,+","","","    51"," ,6,1201, ","  40.6"," ,6,1228, ","   42.8","6,0724,+","","","-3.9","6,1022","-3.9","6,1022","-5.0","6,1120","","","","","0.0","6,0320","-3.9","6,0303","-6.7","6,0123","-6.7","6,0123","","","    1343.7","7","    1343.7","6","","","","","    426.6"," ,6","       51"," ,6","     18.02","6","     27.63","6","      8.40","6","",""
"USC00027480","1907","33.1819","-110.5261","771.8","SAN CARLOS RESERVOIR, AZ US","","","","","","","","","","","","","         0","6","         0","6","        62","6","","","","","","","","","","","   -6.7","6,1230, ","","","     0","T,6,0228,+","","","","","","","0.0","6,1119","-2.8","6,1201","-4.4","6,1217","-6.7","6,1230","","","-1.1","6,0422","-4.4","6,0314","-4.4","6,0314","","","","","","","","","","","","","","","        0","T,6","","","","","      8.56","6","",""
"USC00027480","1908","33.1819","-110.5261","771.8","SAN CARLOS RESERVOIR, AZ US","","","","","        54","6","        33","6","         5","6","","","","","","","","","","","","","","","","","","","","","","","","","  48.3"," ,6,0813, ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    473.1"," ,6","","","","","","","","","",""
"USC00027480","1909","33.1819","-110.5261","771.8","SAN CARLOS RESERVOIR, AZ US","   1135.7","","    1135.7","6","        39","6","        29","6","         2","6","","","         1","6","         0","6","        77","6","         0","6","       266","6","       140","6","","","","","  -10.6","6,1205, ","","","    25"," ,6,0310, ","  27.9"," ,6,0221, ","   45.0","6,0713, ","","","0.0","6,1030","-2.8","6,1101","-5.6","6,1117","-7.2","6,1204","-10.6","6,1205","-0.6","6,0407","-2.2","6,0309","","","","","","","","","","","","","","","    271.4"," ,6","       25"," ,6","     17.45","6","     27.39","6","      7.52","6","",""
"USC00027480","1910","33.1819","-110.5261","771.8","SAN CARLOS RESERVOIR, AZ US","   1463.9","","    1463.9","6","        36","6","        23","6","         0","6","","","","","         0","6","        76","6","         0","6","       272","6","       170","6","","","","","   -9.4","6,0217, ","","","","","  20.3"," ,6,0829, ","   45.0","6,0529, ","","","-0.6","6,1121","-2.2","6,1130","-4.4","6,1206","-7.2","6,1231","","","0.0","6,0330","-2.8","6,0222","-8.9","6,0218","-8.9","6,0218","-8.9","6,0218","    1341.0","0","    1341.0","6","","","","","    212.1"," ,6","","","     18.82","6","     29.44","6","      8.19","6","",""
"USC00027480","1911","33.1819","-110.5261","771.8","SAN CARLOS RESERVOIR, AZ US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    1229.5","5","    1229.5","6","","","","","","","","","","","","","","","",""
"USC00027480","1930","33.1819","-110.5261","771.8","SAN CARLOS RESERVOIR, AZ US","","","","","","","","","","","","","","","","","","","","","","","","","         4"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
