"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00049185","1949","37.7719","-122.1675","120.1","UPPER SAN LEANDRO FILTERS, CA US","","","","","        49","0","        32","0","         2","0","","","","","","","","","","","","","","","","","","","","","","","","","  30.5"," ,0,0204, ","","","","","","","","","","","","","","","","","","","    369.5"," ,0","","","","","","","",""
"USC00049185","1950","37.7719","-122.1675","120.1","UPPER SAN LEANDRO FILTERS, CA US","","","","","        77","0","        49","0","         8","0","","","","","","","","","","","","","","","","","","","","","","","","","  67.1"," ,0,0117, ","","","","","","","","","","","","","","","","","","","    827.5"," ,0","","","","","","","",""
"USC00049185","1958","37.7719","-122.1675","120.1","UPPER SAN LEANDRO FILTERS, CA US","","","","","","","","","","","","","","","","","","","","","","","","","        59"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00049185","1959","37.7719","-122.1675","120.1","UPPER SAN LEANDRO FILTERS, CA US","    132.7","","     132.7","0","        35","0","        24","0","         6","0","        0","","         0","0","         0","0","         3","0","         0","0","       186","0","         8","0","        56"," ","         2"," ","   -0.6","0,0104,+","     0"," ,0,1231,+","     0"," ,0,1231,+","  58.7"," ,0,0919, ","   37.2","0,0711, ","","","","","","","","","0.0","0,0208","","","","","","","    388.3"," ,0","        0"," ,0","     14.64","0","     20.90","0","      8.38","0"
"USC00049185","1960","37.7719","-122.1675","120.1","UPPER SAN LEANDRO FILTERS, CA US","","","","","","","","","","","","","","","","","","","","","","","","","         7"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00049185","1962","37.7719","-122.1675","120.1","UPPER SAN LEANDRO FILTERS, CA US","     53.3","","      53.3","0","        55","0","        37","0","         9","0","        0","","         0","0","         0","0","        12","0","         0","0","       114","0","         2","0","        11"," ","","","   -3.3","0,0123, ","     0"," ,0,1231,+","     0"," ,0,1231,+"," 129.0"," ,0,1014, ","   33.9","0,0620, ","0.0","0,1227","","","","","","","-2.2","0,0228","-2.2","0,0228","    1911.1","1","    1911.1","0","    798.4"," ,0","        0"," ,0","     13.33","0","     18.60","0","      8.07","0"
"USC00049185","1963","37.7719","-122.1675","120.1","UPPER SAN LEANDRO FILTERS, CA US","     63.6","","      63.6","0","        66","0","        42","0","         5","0","        0","","         0","0","         0","0","         3","0","         0","0","       116","0","         3","0","         5"," ","         2"," ","   -0.6","0,0112, ","     0"," ,0,1231,+","     0","T,0,0421, ","  49.8"," ,0,0328, ","   33.9","0,0927, ","0.0","0,1217","","","","","","","0.0","0,0113","","","    1770.6","6","    1770.6","0","    615.9"," ,0","        0","T,0","     13.67","0","     18.77","0","      8.58","0"
"USC00049185","1964","37.7719","-122.1675","120.1","UPPER SAN LEANDRO FILTERS, CA US","    108.6","","     108.6","0","        70","0","        42","0","         3","0","        0","","         0","0","         0","0","         0","0","         0","0","       120","0","         8","0","","","","","    0.6","0,0307, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  54.6"," ,0,0121, ","   35.6","0,0924, ","","","","","","","","","","","","","    1886.9","9","    1886.9","0","    560.7"," ,0","        0"," ,0","     13.52","0","     18.78","0","      8.26","0"
"USC00049185","1965","37.7719","-122.1675","120.1","UPPER SAN LEANDRO FILTERS, CA US","","","","","        53","0","        38","0","         3","0","        0","","         0","0","         0","0","         9","0","","","","","","","","","","","   -1.7","0,1222,+","     0"," ,0,1231,+","     0"," ,0,1231,+","  35.6"," ,0,1225, ","","","0.0","0,1216","","","","","","","0.0","0,0109","","","","","","","    558.5"," ,0","        0"," ,0","","","","","      8.01","0"
"USC00049185","1966","37.7719","-122.1675","120.1","UPPER SAN LEANDRO FILTERS, CA US","    110.6","","     110.6","0","        47","0","        37","0","         3","0","        0","","         0","0","         0","0","         8","0","         0","0","       132","0","         5","0","","","","","   -2.2","0,0102, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  40.6"," ,0,0130, ","   35.6","0,0614, ","0.0","0,1226","","","","","","","-1.1","0,0305","-2.2","0,0102","","","","","    444.7"," ,0","        0"," ,0","     13.85","0","     19.43","0","      8.28","0"
