"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00081795","1982","24.77067","-80.90738","1.8","DUCK KEY, FL US","","","","","","","","","","","","","","","","","","","","","","","","","","","        24"," ","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00081795","1983","24.77067","-80.90738","1.8","DUCK KEY, FL US","   2405.1","","    2405.1","0","       128","0","        78","0","        20","0","        0","","         0","0","         0","0","         0","0","         0","0","       350","0","        32","0","","","        31"," ","    3.9","0,1226, ","     0"," ,0,1231,+","     0"," ,0,1231,+"," 178.1"," ,0,0123, ","   35.0","0,0727, ","      41.5","5","      41.5","0","   1606.8"," ,0","        0"," ,0","     24.81","0","     27.39","0","     22.22","0"
"USC00081795","1984","24.77067","-80.90738","1.8","DUCK KEY, FL US","   2396.0","","    2396.0","0","       107","0","        61","0","         8","0","","","         0","0","         0","0","         0","0","         0","0","       346","0","        19","0","         1"," ","        36"," ","    9.4","0,0301,+","","","     0"," ,0,1231,+","  89.4"," ,0,0530, ","   35.0","0,0820,+","      72.3","3","      72.3","0","    934.2"," ,0","        0"," ,0","     24.70","0","     26.94","0","     22.46","0"
"USC00081795","1985","24.77067","-80.90738","1.8","DUCK KEY, FL US","   2594.6","","    2594.6","0","       115","0","        68","0","        14","0","        0","","         0","0","         0","0","         0","0","         0","0","       333","0","        53","0","","","        38"," ","    4.4","0,0122, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  73.4"," ,0,0918, ","   36.1","0,0811, ","      70.0","0","      70.0","0","   1102.1"," ,0","        0"," ,0","     25.19","0","     27.67","0","     22.71","0"
"USC00081795","1986","24.77067","-80.90738","1.8","DUCK KEY, FL US","   2633.9","","    2633.9","0","       107","0","        58","0","         7","0","        0","","         0","0","         0","0","         0","0","         0","0","       351","0","        23","0","","","        34"," ","    7.2","0,0129,+","     0"," ,0,1231,+","     0"," ,0,1231,+"," 109.0"," ,0,1225, ","   35.6","0,0802, ","      69.2","2","      69.2","0","    832.5"," ,0","        0"," ,0","     25.44","0","     27.83","0","     23.05","0"
"USC00081795","1987","24.77067","-80.90738","1.8","DUCK KEY, FL US","   2513.8","","    2513.8","0","       101","0","        62","0","        10","0","        0","","         0","0","         0","0","         0","0","         0","0","       343","0","        58","0","","","        11"," ","   10.6","0,0112, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  53.1"," ,0,0101, ","   37.2","0,0715, ","      32.5","5","      32.5","0","    888.2"," ,0","        0"," ,0","     25.14","0","     27.80","0","     22.49","0"
"USC00081795","1988","24.77067","-80.90738","1.8","DUCK KEY, FL US","   2407.4","","    2407.4","0","        84","0","        70","0","        14","0","        0","","         0","0","         0","0","         0","0","         0","0","       344","0","        57","0","","","         2"," ","    8.3","0,0128, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  94.0"," ,0,0111, ","   36.1","0,0701, ","      50.7","7","      50.7","0","   1237.8"," ,0","        0"," ,0","     24.76","0","     27.85","0","     21.65","0"
"USC00081795","1989","24.77067","-80.90738","1.8","DUCK KEY, FL US","   2617.3","","    2617.3","0","        60","0","        35","0","         6","0","        0","","         0","0","         0","0","         0","0","         0","0","       347","0","        59","0","         2"," ","         5"," ","    2.8","0,1225,+","     0"," ,0,1231,+","     0"," ,0,1231,+","  63.5"," ,0,1223, ","   35.6","0,1004, ","      46.6","6","      46.6","0","    538.3"," ,0","        0"," ,0","     25.33","0","     28.26","0","     22.40","0"
"USC00081795","1990","24.77067","-80.90738","1.8","DUCK KEY, FL US","   2534.2","","    2534.2","0","        74","0","        58","0","        13","0","        0","","         0","0","         0","0","         0","0","         0","0","       358","0","        35","0","         1"," ","         9"," ","   12.8","0,1210,+","     0"," ,0,1231,+","     0"," ,0,1231,+"," 109.2"," ,0,0622, ","   35.0","0,0803, ","      43.2","2","      43.2","0","    983.7"," ,0","        0"," ,0","     25.35","0","     27.77","0","     22.94","0"
"USC00081795","1991","24.77067","-80.90738","1.8","DUCK KEY, FL US","   2794.0","","    2794.0","0","       116","0","        65","0","        19","0","        0","","         0","0","         0","0","         0","0","         0","0","       362","0","        77","0","","","        26"," ","    6.7","0,0217, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  72.4"," ,0,0927, ","   35.6","0,0818,+","      14.4","4","      14.4","0","   1191.4"," ,0","        0"," ,0","     26.02","0","     29.06","0","     22.98","0"
"USC00081795","1992","24.77067","-80.90738","1.8","DUCK KEY, FL US","   2518.6","","    2518.6","0","       115","0","        66","0","        11","0","        0","","         0","0","         0","0","         0","0","         0","0","       355","0","        50","0","         1"," ","        17"," ","   11.7","0,0117, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  63.8"," ,0,0625, ","   35.0","0,0704, ","      12.7","7","      12.7","0","    910.5"," ,0","        0"," ,0","     25.17","0","     28.05","0","     22.29","0"
"USC00081795","1993","24.77067","-80.90738","1.8","DUCK KEY, FL US","   2552.2","","    2552.2","0","        81","0","        61","0","         8","0","        0","","         0","0","         0","0","         0","0","         0","0","       356","0","        62","0","","","         3"," ","    8.9","0,0315, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  55.9"," ,0,0110, ","   36.1","0,0731, ","      16.0","0","      16.0","0","    836.4"," ,0","        0"," ,0","     25.24","0","     28.34","0","     22.15","0"
"USC00081795","1994","24.77067","-80.90738","1.8","DUCK KEY, FL US","","","","","","","","","","","","","","","","","","","","","","","","","         2"," ","        23"," ","","","","","","","","","","","      18.3","3","      18.3","0","","","","","","","","","",""
