"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"USC00119148","1974","37.91356","-88.93186","131.1","WEST FRANKFORT, IL US","       101","6","        86","6","         8","6","","","","","","","","","","","","","  53.3"," ,6,1104, ","   1128.4"," ,6","",""
"USC00119148","1975","37.91356","-88.93186","131.1","WEST FRANKFORT, IL US","        95","6","        71","6","        14","6","","","","","","","","","","","","","  59.7"," ,6,0223, ","   1147.1"," ,6","",""
"USC00119148","1976","37.91356","-88.93186","131.1","WEST FRANKFORT, IL US","","","","","","","","","","","         4"," ","","","","","","","","","","","",""
"USC00119148","1977","37.91356","-88.93186","131.1","WEST FRANKFORT, IL US","","","","","","","","","","","         4"," ","        13"," ","","","","","","","","","",""
"USC00119148","1978","37.91356","-88.93186","131.1","WEST FRANKFORT, IL US","","","","","","","","","","","        21"," ","        10"," ","","","","","","","","","",""
"USC00119148","1979","37.91356","-88.93186","131.1","WEST FRANKFORT, IL US","       103","6","        81","6","        11","6","","","","","        69"," ","        26"," ","","","","","  83.1"," ,6,0225, ","   1138.0"," ,6","",""
"USC00119148","1980","37.91356","-88.93186","131.1","WEST FRANKFORT, IL US","","","","","","","","","","","        71"," ","        21"," ","","","","","","","","","",""
"USC00119148","1981","37.91356","-88.93186","131.1","WEST FRANKFORT, IL US","","","","","","","","","","","        81"," ","        30"," ","","","","","","","","","",""
"USC00119148","1982","37.91356","-88.93186","131.1","WEST FRANKFORT, IL US","","","","","","","","","","","        59"," ","        30"," ","","","","","","","","","",""
"USC00119148","1983","37.91356","-88.93186","131.1","WEST FRANKFORT, IL US","","","","","","","","","","","        47"," ","        22"," ","","","","","","","","","",""
"USC00119148","1984","37.91356","-88.93186","131.1","WEST FRANKFORT, IL US","","","","","","","","","","","        27"," ","        24"," ","","","","","","","","","",""
"USC00119148","1986","37.91356","-88.93186","131.1","WEST FRANKFORT, IL US","        69","6","        57","6","        10","6","","","","","","","","","","","","","  62.7"," ,6,0525, ","    980.7"," ,6","",""
"USC00119148","1987","37.91356","-88.93186","131.1","WEST FRANKFORT, IL US","        70","6","        63","6","         8","6","","","","","","","","","","","",""," 116.8"," ,6,0322, ","   1022.0"," ,6","",""
"USC00119148","1992","37.91356","-88.93186","131.1","WEST FRANKFORT, IL US","","","","","","","","","","","         4"," ","         5"," ","","","","","","","","","",""
"USC00119148","1993","37.91356","-88.93186","131.1","WEST FRANKFORT, IL US","       133","0","        94","0","        14","0","","","         2","0","         8"," ","        38"," ","","","    51"," ,0,1224,+","  67.8"," ,0,1115, ","   1353.6"," ,0","      117"," ,0"
"USC00119148","1994","37.91356","-88.93186","131.1","WEST FRANKFORT, IL US","       112","0","        76","0","         8","0","        9","","         3","0","        13"," ","        30"," ","   127"," ,0,0308, ","   127"," ,0,0308, ","  62.5"," ,0,1104, ","   1025.9"," ,0","      254"," ,0"
