"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00137859","1894","43.42267","-95.139","433.7","SPIRIT LAKE, IA US","","","","","","","","","","","","","","","","","","","","","","","","","         3"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00137859","1896","43.42267","-95.139","433.7","SPIRIT LAKE, IA US","    359.9","","     359.9","6","        70","6","        47","6","         6","6","","","","","        23","6","       172","6","        81","6","       142","6","        23","6","","","","","  -25.6","6,0104,+","","","","","  69.9"," ,6,1126, ","   38.3","6,0807, ","-2.2","6,0919","-2.2","6,0919","-4.4","6,1017","-7.8","6,1021","-8.9","6,1024","-2.8","6,0421","-2.8","6,0421","-4.4","6,0405","-9.4","6,0403","-9.4","6,0403","    4146.0","0","    4146.0","6","    732.9"," ,6","","","      7.10","6","     13.47","6","      0.73","6"
"USC00137859","1897","43.42267","-95.139","433.7","SPIRIT LAKE, IA US","    490.9","","     490.9","6","        50","6","        39","6","         4","6","","","","","        41","6","       158","6","        90","6","       150","6","        47","6","","","","","  -32.8","6,0125, ","","","","","  45.0"," ,6,0710, ","   38.9","6,0613, ","-2.2","6,1009","-2.2","6,1009","-5.0","6,1102","-7.2","6,1105","-10.6","6,1109","0.0","6,0531","-2.2","6,0420","-6.7","6,0419","-6.7","6,0419","-12.8","6,0316","    4580.5","5","    4580.5","6","    518.1"," ,6","","","      6.96","6","     13.61","6","      0.32","6"
"USC00137859","1898","43.42267","-95.139","433.7","SPIRIT LAKE, IA US","","","","","        53","6","        47","6","         5","6","","","","","","","","","","","","","","","","","","","","","","","","","  88.9"," ,6,0819, ","","","","","","","","","","","","","","","","","","","","","","","    4128.8","8","    4128.8","6","    651.2"," ,6","","","","","","","",""
"USC00137859","1943","43.42267","-95.139","433.7","SPIRIT LAKE, IA US","","","","","        80","6","        60","6","         7","6","","","","","","","","","","","","","","","","","","","","","","","",""," 115.6"," ,6,0625, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    913.1"," ,6","","","","","","","",""
"USC00137859","1998","43.42267","-95.139","433.7","SPIRIT LAKE, IA US","","","","","        91","0","        55","0","         4","0","","","         9","0","","","","","        58","0","       141","0","         8","0","        37"," ","        38"," ","","","","","   170"," ,0,0121, ","  55.4"," ,0,1026, ","   33.9","0,0906,+","","","","","","","","","","","","","","","","","","","","","","","","","    638.3"," ,0","      564"," ,0","","","     14.48","0","",""
"USC00137859","1999","43.42267","-95.139","433.7","SPIRIT LAKE, IA US","","","","","        82","0","        46","0","         4","0","","","        13","0","","","","","","","","","","","        16"," ","        25"," ","","","","","   178"," ,0,0101, ","  31.5"," ,0,0405, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    514.3"," ,0","      929"," ,0","","","","","",""
"USC00137859","2000","43.42267","-95.139","433.7","SPIRIT LAKE, IA US","","","","","        86","0","        55","0","         5","0","","","        20","0","","","","","        74","0","       151","0","        13","0","        31"," ","        31"," ","","","","","   254"," ,0,0407, ","  57.2"," ,0,0517, ","   34.4","0,0830,+","","","","","","","","","","","","","","","","","","","","","","","","","    658.6"," ,0","     1370"," ,0","","","     13.68","0","",""
"USC00137859","2001","43.42267","-95.139","433.7","SPIRIT LAKE, IA US","    431.6","","     431.6","0","        85","0","        55","0","         7","0","       99","","        12","0","        20","0","       140","0","        72","0","       128","0","        16","0","        37"," ","        17"," ","  -27.2","0,0202, ","   406"," ,0,0102,+","   127"," ,0,1126, ","  48.0"," ,0,0703, ","   34.4","0,0804,+","-2.2","0,1006","-2.2","0,1006","-5.0","0,1026","-7.8","0,1027","-9.4","0,1222","-0.6","0,0418","-2.8","0,0417","-4.4","0,0416","-13.9","0,0327","-13.9","0,0327","","","","","    717.5"," ,0","      583"," ,0","      8.32","0","     13.50","0","      3.14","0"
"USC00137859","2002","43.42267","-95.139","433.7","SPIRIT LAKE, IA US","    526.8","","     526.8","0","        79","0","        50","0","         6","0","","","        11","0","        11","0","       168","0","        62","0","       123","0","        27","0","        12"," ","        34"," ","  -22.8","0,0204, ","","","   140"," ,0,0131, ","  41.7"," ,0,0918, ","   36.7","0,0720, ","-0.6","0,1007","-4.4","0,1013","-4.4","0,1013","-7.8","0,1031","-9.4","0,1101","-1.7","0,0502","-3.3","0,0406","-4.4","0,0405","-8.3","0,0404","-11.1","0,0326","    3777.8","8","    3777.8","0","    633.8"," ,0","      577"," ,0","      8.22","0","     13.46","0","      2.99","0"
"USC00137859","2003","43.42267","-95.139","433.7","SPIRIT LAKE, IA US","","","","","","","","","","","","","","","","","","","","","","","","","        16"," ","        23"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00137859","2004","43.42267","-95.139","433.7","SPIRIT LAKE, IA US","    278.2","","     278.2","0","        73","0","        48","0","        12","0","       37","","         9","0","        18","0","       138","0","        52","0","       135","0","         4","0","        17"," ","        31"," ","  -27.8","0,0129, ","   457"," ,0,0209,+","   127"," ,0,0201,+"," 100.8"," ,0,0915, ","   36.1","0,0711, ","-1.1","0,1002","-2.2","0,1031","-5.6","0,1111","-6.7","0,1114","-8.9","0,1130","0.0","0,0514","-3.9","0,0413","-5.6","0,0412","-7.2","0,0322","-12.2","0,0312","","","","","    886.7"," ,0","      609"," ,0","      8.16","0","     13.33","0","      2.99","0"
"USC00137859","2005","43.42267","-95.139","433.7","SPIRIT LAKE, IA US","    484.8","","     484.8","0","        72","0","        57","0","         6","0","","","        14","0","        18","0","       140","0","        66","0","       150","0","        14","0","        17"," ","        37"," ","  -26.1","0,0115, ","","","   254"," ,0,0318, ","  85.3"," ,0,0925, ","   37.2","0,0723, ","-0.6","0,1022","-2.2","0,1024","-12.2","0,1116","-12.2","0,1116","-12.2","0,1116","-0.6","0,0504","-2.8","0,0503","-5.6","0,0323","-7.8","0,0320","-9.4","0,0319","    3550.6","6","    3550.6","0","    779.6"," ,0","      954"," ,0","      8.96","0","     14.14","0","      3.78","0"
"USC00137859","2006","43.42267","-95.139","433.7","SPIRIT LAKE, IA US","    481.7","","     481.7","0","        74","0","        42","0","         5","0","       56","","         8","0","         4","0","       147","0","        42","0","       129","0","        15","0","        20"," ","        23"," ","  -25.0","0,0218, ","   229"," ,0,0313, ","   178"," ,0,0313, ","  97.3"," ,0,0801, ","   37.8","0,0731,+","-1.7","0,1011","-5.0","0,1012","-5.0","0,1012","-7.8","0,1101","-13.3","0,1128","-4.4","0,0408","-4.4","0,0408","-4.4","0,0408","-7.2","0,0323","-12.8","0,0317","    3530.2","2","    3530.2","0","    654.7"," ,0","      593"," ,0","      9.20","0","     14.10","0","      4.29","0"
"USC00137859","2007","43.42267","-95.139","433.7","SPIRIT LAKE, IA US","","","","","        74","0","        44","0","        10","0","       97","","        17","0","        21","0","       131","0","        79","0","       148","0","        17","0","        22"," ","        25"," ","  -27.2","0,0116, ","   584"," ,0,0302, ","   279"," ,0,0301, "," 129.0"," ,0,0818, ","   35.0","0,0717, ","0.0","0,1101","-2.2","0,1103","-5.0","0,1107","-10.6","0,1123","-10.6","0,1123","-2.8","0,0414","-2.8","0,0414","-5.6","0,0412","-7.8","0,0408","-10.6","0,0407","","","","","    864.9"," ,0","     1453"," ,0","      8.54","0","     13.58","0","      3.50","0"
"USC00137859","2008","43.42267","-95.139","433.7","SPIRIT LAKE, IA US","    341.3","","     341.3","0","        61","0","        42","0","         5","0","       96","","        15","0","        32","0","       154","0","        85","0","       128","0","         4","0","        10"," ","        18"," ","  -28.9","0,0220, ","   406"," ,0,1225,+","   279"," ,0,1219, ","  38.6"," ,0,0502, ","   32.8","0,0803,+","-1.1","0,1016","-4.4","0,1028","-4.4","0,1028","-7.2","0,1108","-8.9","0,1118","-1.1","0,0429","-2.8","0,0428","-5.6","0,0414","-8.3","0,0328","-12.8","0,0310","    4061.8","8","    4061.8","0","    568.6"," ,0","     1362"," ,0","      6.70","0","     11.64","0","      1.75","0"
