"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00142972","1894","37.966667","-100.866667","864.4","GARDEN CITY, KS US","","","","","        31","6","        25","6","         3","6","","","","","         8","6","       134","6","        24","6","       205","6","        52","6","","","  -31.1","6,0106, ","","","","","  34.3"," ,6,0819, ","   40.0","6,0725,+","-3.9","6,1008","-3.9","6,1008","-5.0","6,1030","-7.8","6,1105","-11.7","6,1111","0.0","6,0519","-2.8","6,0409","-4.4","6,0404","-10.0","6,0329","-10.0","6,0329","","","","","    290.6"," ,6","","","     11.78","6","     20.23","6","      3.33","6"
"USC00142972","1895","37.966667","-100.866667","864.4","GARDEN CITY, KS US","","","","","","","","","","","","","","","","","","","","","","","","","         2"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    3018.5","5","    3018.5","6","","","","","","","","","",""
"USC00142972","1898","37.966667","-100.866667","864.4","GARDEN CITY, KS US","    643.3","","     643.3","6","","","","","","","","","","","         4","6","       162","6","        11","6","       190","6","        63","6","","","  -23.3","6,1209, ","","","","","","","   39.4","6,0727,+","-0.6","6,0907","-3.9","6,1018","-6.1","6,1020","-7.2","6,1021","-12.2","6,1114","0.0","6,0507","-3.3","6,0426","-4.4","6,0406","-8.9","6,0402","-8.9","6,0402","    2870.4","4","    2870.4","6","","","","","     11.56","6","     19.93","6","      3.19","6"
"USC00142972","1899","37.966667","-100.866667","864.4","GARDEN CITY, KS US","    807.5","","     807.5","6","        48","6","        45","6","         5","6","","","","","        16","6","       153","6","        19","6","       201","6","        80","6","","","  -35.6","6,0212, ","","","","","  35.6"," ,6,0714, ","   41.7","6,0619, ","-0.6","6,1005","-3.9","6,1016","-12.2","6,1102","-12.2","6,1102","-12.2","6,1102","-0.6","6,0501","-3.3","6,0422","-7.2","6,0421","-7.2","6,0421","-8.9","6,0331","    3364.5","5","    3364.5","6","    522.7"," ,6","","","     12.01","6","     20.63","6","      3.40","6"
"USC00142972","1900","37.966667","-100.866667","864.4","GARDEN CITY, KS US","    903.0","","     903.0","6","        41","6","        36","6","         4","6","","","","","         3","6","       145","6","         9","6","       198","6","        84","6","","","  -23.9","6,1231, ","","","","","  48.3"," ,6,0910, ","   41.7","6,0814,+","-0.6","6,1008","-4.4","6,1101","-4.4","6,1101","-6.7","6,1112","-11.1","6,1125","0.0","6,0419","-5.0","6,0412","-5.0","6,0412","-8.9","6,0411","-8.9","6,0411","    2682.4","4","    2682.4","6","    490.3"," ,6","","","     13.45","6","     22.12","6","      4.77","6"
"USC00142972","1901","37.966667","-100.866667","864.4","GARDEN CITY, KS US","    953.6","","     953.6","6","        46","6","        43","6","         4","6","","","","","         8","6","       142","6","        13","6","       203","6","        95","6","","","  -25.6","6,0101, ","","","","","  50.8"," ,6,0910, ","   42.2","6,0704, ","-1.1","6,1016","-5.0","6,1103","-5.0","6,1103","-7.2","6,1112","-9.4","6,1208","0.0","6,0526","-2.2","6,0418","-5.6","6,0406","-6.7","6,0402","-8.9","6,0331","    2797.1","1","    2797.1","6","    465.9"," ,6","","","     13.22","6","     22.07","6","      4.38","6"
"USC00142972","1902","37.966667","-100.866667","864.4","GARDEN CITY, KS US","    783.5","","     783.5","6","        42","6","        37","6","         5","6","","","","","         8","6","       135","6","        21","6","       208","6","        84","6","","","  -25.0","6,1217, ","","","","","  52.1"," ,6,0531, ","   44.4","6,0820, ","-0.6","6,0930","-2.8","6,1028","-5.0","6,1105","-8.3","6,1116","-9.4","6,1127","0.0","6,0426","-2.2","6,0411","-5.6","6,0331","-11.7","6,0317","-11.7","6,0317","    2586.5","5","    2586.5","6","    499.2"," ,6","","","     12.85","6","     21.62","6","      4.07","6"
"USC00142972","1903","37.966667","-100.866667","864.4","GARDEN CITY, KS US","    719.8","","     719.8","6","        50","6","        46","6","         4","6","","","","","         6","6","       150","6","        20","6","       188","6","        71","6","","","  -27.2","6,0216, ","","","","","  88.9"," ,6,0429, ","   41.1","6,0805, ","-1.7","6,0917","-2.8","6,1008","-4.4","6,1016","-7.2","6,1111","-11.1","6,1117","-5.6","6,0430","-5.6","6,0430","-5.6","6,0430","-8.3","6,0324","-10.0","6,0323","    2980.7","7","    2980.7","6","    524.3"," ,6","","","     12.06","6","     20.57","6","      3.56","6"
"USC00142972","1904","37.966667","-100.866667","864.4","GARDEN CITY, KS US","    668.5","","     668.5","6","        55","6","        41","6","         6","6","","","","","         7","6","       153","6","        11","6","       218","6","        64","6","","","  -21.1","6,0126, ","","","","","  47.0"," ,6,0928, ","   37.8","6,0828,+","-5.0","6,1025","-5.0","6,1025","-5.0","6,1025","-13.3","6,1111","-13.3","6,1111","-2.2","6,0426","-2.2","6,0426","-5.0","6,0329","-12.2","6,0326","-12.2","6,0326","    2694.7","7","    2694.7","6","    537.0"," ,6","","","     12.72","6","     21.80","6","      3.63","6"
"USC00142972","1905","37.966667","-100.866667","864.4","GARDEN CITY, KS US","    733.6","","     733.6","6","        55","6","        40","6","         6","6","","","        10","6","        14","6","       136","6","        25","6","       196","6","        81","6","","","  -28.3","6,0213,+","","","   191"," ,6,0110, ","  78.7"," ,6,0423, ","   39.4","6,0827,+","-2.8","6,1011","-2.8","6,1011","-4.4","6,1015","-10.0","6,1020","-10.0","6,1020","-2.2","6,0421","-2.2","6,0421","-5.0","6,0415","-7.8","6,0220","-10.0","6,0219","    2906.7","7","    2906.7","6","    534.6"," ,6","      566"," ,6","     12.01","6","     20.41","6","      3.60","6"
