"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00155280","2008","37.6497","-86.4308","129.5","MCDANIELS, KY US","","","","","","","","","","","","","","","","","","","","","","","        54"," ","        39"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00155280","2009","37.6497","-86.4308","129.5","MCDANIELS, KY US","    548.6","","     548.6","0","       190","0","        91","0","        16","0","","","         1","0","        88","0","        18","0","       167","0","         2","0","        30"," ","        44"," ","  -19.4","0,0116, ","","","  56.9"," ,0,1009, ","   32.2","0,0627,+","0.0","0,1018","-2.2","0,1128","-6.1","0,1205","-8.9","0,1206","-8.9","0,1206","-0.6","0,0409","-2.2","0,0330","-5.0","0,0305","-10.6","0,0304","-10.6","0,0304","","","","","   1508.3"," ,0","     12.68","0","     17.86","0","      7.51","0"
"USC00155280","2010","37.6497","-86.4308","129.5","MCDANIELS, KY US","    848.1","","     848.1","0","       120","0","        71","0","        12","0","       35","","         1","0","       109","0","        43","0","       189","0","        43","0","        26"," ","        38"," ","  -18.3","0,0131, ","   152"," ,0,0210, ","  96.3"," ,0,0502, ","   37.2","0,0813, ","0.0","0,1022","-2.2","0,1029","-5.0","0,1107","-6.7","0,1206","-10.0","0,1207","-1.1","0,0328","-5.6","0,0308","-5.6","0,0308","-6.7","0,0307","-9.4","0,0220","    2636.2","2","    2636.2","0","    979.2"," ,0","     12.93","0","     18.92","0","      6.94","0"
"USC00155280","2011","37.6497","-86.4308","129.5","MCDANIELS, KY US","","","","","","","","","","","","","","","","","","","","","","","        35"," ","        49"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    2613.2","2","    2613.2","K","","","","","","","",""
"USC00155280","2013","37.6497","-86.4308","129.5","MCDANIELS, KY US","","","","","","","","","","","","","","","","","","","","","","","         6"," ","        10"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00155280","2014","37.6497","-86.4308","129.5","MCDANIELS, KY US","","","","","","","","","","","","","","","","","","","","","","","        19"," ","        27"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00155280","2015","37.6497","-86.4308","129.5","MCDANIELS, KY US","","","","","","","","","","","","","","","","","","","","","","","        19"," ","        44"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    2884.1","1","    2884.1","7","","","","","","","",""
"USC00155280","2016","37.6497","-86.4308","129.5","MCDANIELS, KY US","    762.7","","     762.7","7","       144","7","        82","7","        17","7","","","         0","7","        89","7","        19","7","       184","7","         4","7","        23"," ","        46"," ","  -14.4","7,0124, ","","","  75.4"," ,7,0704, ","   33.3","7,0617, ","0.0","7,1110","-3.9","7,1113","-6.1","7,1121","-10.0","7,1210","-10.0","7,1210","-0.6","7,0410","-3.3","7,0307","-4.4","7,0228","-7.2","7,0215","-10.0","7,0214","","","","","   1435.7"," ,7","     13.91","7","     19.32","7","      8.51","7"
"USC00155280","2017","37.6497","-86.4308","129.5","MCDANIELS, KY US","","","","","       140","7","        87","7","        17","7","","","","","","","","","","","","","        23"," ","        36"," ","","","","","  72.6"," ,7,1011, ","","","","","","","","","","","","","","","","","","","","","","","    2097.3","3","    2097.3"," ","   1419.6"," ,7","","","","","",""
"USC00155280","2018","37.6497","-86.4308","129.5","MCDANIELS, KY US","","","","","       170","7","       101","7","        17","7","","","","","","","","","","","","","        16"," ","        41"," ","","","","","  98.0"," ,7,1101, ","","","","","","","","","","","","","","","","","","","","","","","","","","","   1654.8"," ,7","","","","","",""
"USC00155280","2019","37.6497","-86.4308","129.5","MCDANIELS, KY US","    715.1","","     715.1","7","       151","7","        91","7","        25","7","","","         0","7","        93","7","        13","7","       179","7","        11","7","         6"," ","        39"," ","  -16.1","7,0131, ","","","  68.1"," ,7,1007, ","   33.9","7,0911, ","-2.2","7,1101","-2.2","7,1101","-5.0","7,1108","-10.0","7,1112","-10.0","7,1112","0.0","7,0402","-4.4","7,0401","-4.4","7,0401","-7.8","7,0307","-10.6","7,0306","    2537.8","8","    2537.8","7","   1735.3"," ,7","     13.41","7","     18.66","7","      8.16","7"
"USC00155280","2020","37.6497","-86.4308","129.5","MCDANIELS, KY US","    572.3","","     572.3","7","       176","7","        92","7","        15","7","","","         0","7","        79","7","         6","7","       164","7","         1","7","         6"," ","        36"," ","  -10.6","7,1226,+","","","  80.0"," ,7,1020, ","   32.8","7,0607, ","-3.3","7,1102","-3.3","7,1102","-7.2","7,1202","-7.2","7,1202","-10.0","7,1225","-1.1","7,0509","-2.2","7,0416","-5.0","7,0307","-8.3","7,0222","-10.0","7,0215","    2407.0","0","    2407.0","7","   1467.9"," ,7","     13.35","7","     18.43","7","      8.28","7"
"USC00155280","2021","37.6497","-86.4308","129.5","MCDANIELS, KY US","    614.6","","     614.6","7","       154","7","        87","7","        14","7","","","         0","7","        98","7","        16","7","       174","7","         6","7","         7"," ","        18"," ","  -16.7","7,0220, ","","","  63.5"," ,7,0312, ","   32.8","7,0826, ","-1.7","7,1103","-2.8","7,1104","-5.0","7,1119","-7.2","7,1123","","","0.0","7,0421","-2.2","7,0403","-4.4","7,0402","-12.8","7,0221","-12.8","7,0221","    2540.1","1","    2540.1","7","   1298.0"," ,7","     13.28","7","     18.45","7","      8.11","7"
"USC00155280","2022","37.6497","-86.4308","129.5","MCDANIELS, KY US","","","","","       128","7","        81","7","        13","7","","","","","","","","","","","","","         6"," ","        38"," ","","","","","  77.7"," ,7,0718, ","","","","","","","","","","","","","","","","","","","","","","","    2408.2","2","    2408.2"," ","   1337.1"," ,7","","","","","",""
"USC00155280","2023","37.6497","-86.4308","129.5","MCDANIELS, KY US","    538.5","","     538.5","7","       135","7","        74","7","        15","7","","","         0","7","        76","7","         4","7","       181","7","         5","7","         7"," ","        36"," ","   -9.4","7,0204, ","",""," 116.1"," ,7,0103, ","   33.9","7,0826, ","-2.2","7,1031","-2.2","7,1031","-8.3","7,1129","-8.3","7,1129","","","-1.1","7,0424","-2.2","7,0329","-8.3","7,0320","-8.3","7,0320","-9.4","7,0204","","","","","   1299.6"," ,7","     13.98","7","     19.45","7","      8.52","7"
"USC00155280","2024","37.6497","-86.4308","129.5","MCDANIELS, KY US","    670.6","","     670.6","7","       136","7","        87","7","        21","7","","","         1","7","        68","7","        12","7","       196","7","         5","7","         6"," ","        38"," ","  -18.9","7,0121, ","","","  70.1"," ,7,1114, ","   34.4","7,0830, ","-1.1","7,1124","-6.7","7,1130","-6.7","7,1130","-6.7","7,1130","-11.7","7,1206","-1.7","7,0406","-2.8","7,0328","-5.6","7,0319","-6.7","7,0229","-9.4","7,0218","    2157.9","9","    2157.9","7","   1533.3"," ,7","     14.34","7","     19.63","7","      9.05","7"
"USC00155280","2025","37.6497","-86.4308","129.5","MCDANIELS, KY US","","","","","","","","","","","","","","","","","","","","","","","","","         3"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
