"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00163331","1985","30.78417","-90.20222","73.2","FRANKLINTON 5 SW, LA US","","","","","        98","0","        79","0","        19","0","","","         0","0","","","","","","","","","","","","","","","","","     0"," ,0,1231,+","  87.4"," ,0,0903, ","","","","","","","","","","","","","","","","","   1409.3"," ,0","        0"," ,0","","","","","",""
"USC00163331","1986","30.78417","-90.20222","73.2","FRANKLINTON 5 SW, LA US","","","","","        99","0","        73","0","        17","0","        0","","         0","0","","","","","","","","","","","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+","  93.5"," ,0,1125, ","","","","","","","","","","","","","","","","","   1239.0"," ,0","        0"," ,0","","","","","",""
"USC00163331","1987","30.78417","-90.20222","73.2","FRANKLINTON 5 SW, LA US","","","","","        98","0","        76","0","        23","0","        0","","         0","0","","","","","","","","","","","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+","  92.7"," ,0,0318, ","","","","","","","","","","","","","","","","","   1635.8"," ,0","        0"," ,0","","","","","",""
"USC00163331","1988","30.78417","-90.20222","73.2","FRANKLINTON 5 SW, LA US","","","","","       114","0","        99","0","        27","0","        1","","         0","0","","","","","","","","","","","","","","","    25"," ,0,0206, ","    13"," ,0,0206, "," 124.5"," ,0,0202, ","","","","","","","","","","","","","","","","","   2033.9"," ,0","       13"," ,0","","","","","",""
"USC00163331","1989","30.78417","-90.20222","73.2","FRANKLINTON 5 SW, LA US","","","","","       108","0","        90","0","        16","0","","","         0","0","","","","","","","","","","","","","","","","","     0"," ,0,1231,+"," 114.3"," ,0,0330, ","","","","","","","","","","","","","","","","","   1550.5"," ,0","        0"," ,0","","","","","",""
"USC00163331","1990","30.78417","-90.20222","73.2","FRANKLINTON 5 SW, LA US","","","","","        95","0","        67","0","        27","0","        0","","         0","0","","","","","","","","","","","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+"," 128.3"," ,0,0601, ","","","","","","","","","","","","","","","","","   1566.8"," ,0","        0"," ,0","","","","","",""
"USC00163331","1991","30.78417","-90.20222","73.2","FRANKLINTON 5 SW, LA US","","","","","       117","0","        92","0","        31","0","        0","","         0","0","","","","","","","","","","","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+","  68.3"," ,0,0415, ","","","","","","","","","","","","","","","","","   1911.6"," ,0","        0"," ,0","","","","","",""
"USC00163331","1992","30.78417","-90.20222","73.2","FRANKLINTON 5 SW, LA US","","","","","       116","0","        96","0","        30","0","        0","","         0","0","","","","","","","","","","","         2"," ","","","     0"," ,0,1231,+","     0"," ,0,1231,+"," 109.7"," ,0,0826, ","","","","","","","","","","","","","","","","","   2069.3"," ,0","        0"," ,0","","","","","",""
"USC00163331","1993","30.78417","-90.20222","73.2","FRANKLINTON 5 SW, LA US","","","","","       102","0","        82","0","        26","0","        0","","         0","0","","","","","","","","","","","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+"," 131.6"," ,0,0120, ","","","","","","","","","","","","","","","","","   1841.3"," ,0","        0"," ,0","","","","","",""
"USC00163331","1994","30.78417","-90.20222","73.2","FRANKLINTON 5 SW, LA US","","","","","       103","0","        80","0","        17","0","        0","","         0","0","","","","","","","","","","","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+","  70.4"," ,0,0128, ","","","","","","","","","","","","","","","","","   1420.2"," ,0","        0"," ,0","","","","","",""
