"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","MXPN","MXPN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00169865","1957","31.11667","-92.46667","35.4","WOODWORTH 2 SE, LA US","","","","","       121","0","        85","0","        27","0","        0","","         0","0","         0","0","        25","0","","","","","","","   -8.3","0,1212, ","     0"," ,0,1231,+","     0"," ,0,1231,+"," 162.1"," ,0,1114, ","","","-0.6","0,1027","-2.2","0,1130","-8.3","0,1212","-8.3","0,1212","","","-2.2","0,0308","-2.2","0,0308","-4.4","0,0119","-6.7","0,0118","","","","","","","","","   1963.4"," ,0","        0"," ,0","","","","","     13.20","0","",""
"USC00169865","1958","31.11667","-92.46667","35.4","WOODWORTH 2 SE, LA US","   1391.8","","    1391.8","0","       110","0","        78","0","        15","0","        0","","         0","0","         0","0","        46","0","         0","0","       245","0","       104","0","   -8.3","0,1215, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  85.1"," ,0,0824, ","   38.9","0,0807, ","-2.8","0,1129","-2.8","0,1129","-6.1","0,1214","-8.3","0,1215","","","0.0","0,0315","-3.3","0,0220","-4.4","0,0218","-6.7","0,0213","","","","","","","","","   1325.1"," ,0","        0"," ,0","     18.36","0","     24.60","0","     12.12","0","     10987","0"
"USC00169865","1959","31.11667","-92.46667","35.4","WOODWORTH 2 SE, LA US","","","","","       114","0","        83","0","        15","0","        0","","         0","0","         0","0","        43","0","","","","","","","   -6.7","0,1129,+","     0"," ,0,1231,+","     0"," ,0,1231,+","  83.3"," ,0,1217, ","","","-0.6","0,1106","-3.3","0,1107","-5.6","0,1118","-6.7","0,1129","","","-0.6","0,0323","-2.8","0,0221","-5.6","0,0124","-6.7","0,0123","","","","","","","","","   1331.1"," ,0","        0"," ,0","","","","","     12.28","0","     13937","0"
"USC00169865","1960","31.11667","-92.46667","35.4","WOODWORTH 2 SE, LA US","","","","","       120","0","        78","0","        18","0","        0","","         0","0","         0","0","        47","0","","","","","","","  -10.0","0,0304, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  55.4"," ,0,1019, ","","","0.0","0,1121","-5.0","0,1201","-5.0","0,1201","","","","","-2.2","0,0318","-2.2","0,0318","-10.0","0,0304","-10.0","0,0304","-10.0","0,0304","","","","","","","   1343.3"," ,0","        0"," ,0","","","","","     11.89","0","",""
"USC00169865","1961","31.11667","-92.46667","35.4","WOODWORTH 2 SE, LA US","","","","","       121","0","        94","0","        29","0","        0","","         0","0","","","","","         3","0","       255","0","        66","0","","","     0","T,0,0127,+","     0","T,0,0126,+","  95.3"," ,0,1113, ","   36.1","0,0805,+","","","","","","","","","","","","","","","","","","","","","    1174.8","8","    1174.8","0","","","   2105.6"," ,0","        0","T,0","","","     24.50","0","","","     13566","0"
"USC00169865","1962","31.11667","-92.46667","35.4","WOODWORTH 2 SE, LA US","","","","","        93","0","        70","0","        21","0","        0","","         0","0","","","","","","","","","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+","  79.8"," ,0,1224, ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","   1352.0"," ,0","        0"," ,0","","","","","","","     13325","0"
"USC00169865","1963","31.11667","-92.46667","35.4","WOODWORTH 2 SE, LA US","   1480.4","","    1480.4","0","       101","0","        63","0","        14","0","        0","","         0","0","         0","0","        61","0","         6","0","       264","0","       118","0","  -11.7","0,0124, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  73.9"," ,0,1105, ","   38.3","0,0828,+","-2.8","0,1114","-2.8","0,1114","-6.1","0,1215","-6.7","0,1223","-9.4","0,1224","0.0","0,0323","-3.9","0,0223","-4.4","0,0222","-6.7","0,0128","-11.1","0,0125","    1307.4","4","    1307.4","0","","","   1026.9"," ,0","        0"," ,0","     18.64","0","     25.71","0","     11.57","0","     13716","0"
"USC00169865","1964","31.11667","-92.46667","35.4","WOODWORTH 2 SE, LA US","   1359.6","","    1359.6","0","       117","0","        77","0","        18","0","        0","","         0","0","         0","0","        43","0","         0","0","       262","0","        93","0","  -10.6","0,0101, ","     0"," ,0,1231,+","     0"," ,0,1231,+"," 181.1"," ,0,1211, ","   38.9","0,0806, ","-1.1","0,1122","-3.3","0,1201","","","","","","","-0.6","0,0310","-2.2","0,0224","-5.6","0,0223","-10.0","0,0115","-10.0","0,0115","    1336.8","8","    1336.8","0","","","   1607.9"," ,0","        0"," ,0","     18.68","0","     24.98","0","     12.38","0","",""
"USC00169865","1965","31.11667","-92.46667","35.4","WOODWORTH 2 SE, LA US","   1392.0","","    1392.0","0","        98","0","        61","0","        15","0","        0","","         0","0","         0","0","        34","0","         0","0","       269","0","        99","0","   -6.7","0,0117, ","     0"," ,0,1231,+","     0"," ,0,1231,+"," 102.9"," ,0,0301, ","   36.7","0,0722, ","0.0","0,1025","-3.9","0,1208","","","","","","","-3.9","0,0321","-3.9","0,0321","-5.6","0,0118","-6.7","0,0117","","","    1104.0","0","    1104.0","0","     24.47","0","   1179.2"," ,0","        0"," ,0","     19.25","0","     25.64","0","     12.86","0","",""
"USC00169865","1966","31.11667","-92.46667","35.4","WOODWORTH 2 SE, LA US","   1215.4","","    1215.4","0","       114","0","        77","0","        18","0","        0","","         0","0","         0","0","        41","0","         0","0","       256","0","        79","0","   -9.4","0,0130, ","     0"," ,0,1231,+","     0"," ,0,1231,+"," 154.9"," ,0,1112, ","   37.8","0,0721, ","-0.6","0,1102","-5.0","0,1103","-5.0","0,1103","-6.7","0,1225","","","-0.6","0,0325","-2.2","0,0307","-5.6","0,0203","-8.9","0,0131","-8.9","0,0131","    1156.2","2","    1156.2","0","","","   1720.5"," ,0","        0"," ,0","     18.14","0","     24.37","0","     11.91","0","     14787","0"
"USC00169865","1967","31.11667","-92.46667","35.4","WOODWORTH 2 SE, LA US","   1223.7","","    1223.7","0","       104","0","        75","0","        18","0","        0","","         0","0","         0","0","        36","0","         1","0","       272","0","        57","0","   -5.6","0,0208, ","     0"," ,0,1231,+","     0"," ,0,1231,+"," 152.4"," ,0,1215, ","   35.6","0,0811,+","0.0","0,1104","-3.3","0,1223","-4.4","0,1229","","","","","-0.6","0,0307","-3.9","0,0225","-5.0","0,0209","","","","","    1121.0","0","    1121.0","0","","","   1613.6"," ,0","        0"," ,0","     18.65","0","     24.96","0","     12.33","0","",""
"USC00169865","1968","31.11667","-92.46667","35.4","WOODWORTH 2 SE, LA US","   1234.8","","    1234.8","0","       124","0","        95","0","        15","0","        1","","         1","0","         0","0","        45","0","         1","0","       251","0","        74","0","   -6.1","0,0224, ","    51"," ,0,0223, ","    51"," ,0,0223, ","  87.4"," ,0,1201, ","   35.0","0,0811,+","-2.2","0,1112","-2.2","0,1112","-5.6","0,1215","","","","","-1.7","0,0324","-3.3","0,0304","-4.4","0,0301","","","","","    1285.4","4","    1285.4","0","","","   1469.5"," ,0","       51"," ,0","     18.01","0","     24.02","0","     12.00","0","     14239","0"
