"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"USC00235130","1923","40.48699","-91.87631","221.3","LURAY 2 N, MO US","","","","","","","","","","","         4"," ","","","","","","","","","",""
"USC00235130","1998","40.48699","-91.87631","221.3","LURAY 2 N, MO US","        97","0","        65","0","        11","0","","","         0","0","","","","","     0"," ,0,1231,+","  71.9"," ,0,0914, ","   1236.1"," ,0","        0"," ,0"
"USC00235130","2000","40.48699","-91.87631","221.3","LURAY 2 N, MO US","        70","0","        54","0","         2","0","        0","","         0","0","","","     0"," ,0,1231,+","     0"," ,0,1231,+","  53.8"," ,0,0711, ","    724.6"," ,0","        0"," ,0"
"USC00235130","2002","40.48699","-91.87631","221.3","LURAY 2 N, MO US","        68","0","        44","0","         6","0","        0","","         0","0","","","     0"," ,0,1231,+","     0"," ,0,1231,+"," 101.9"," ,0,0612, ","    797.8"," ,0","        0"," ,0"
"USC00235130","2003","40.48699","-91.87631","221.3","LURAY 2 N, MO US","        76","0","        56","0","        11","0","        3","","         1","0","","","   102"," ,0,0303, ","    99"," ,0,0116, ","  92.7"," ,0,0625, ","   1082.7"," ,0","       99"," ,0"
"USC00235130","2004","40.48699","-91.87631","221.3","LURAY 2 N, MO US","        85","0","        60","0","        11","0","        0","","         0","0","","","     0"," ,0,1231,+","     0"," ,0,1231,+","  90.9"," ,0,0827, ","    961.7"," ,0","        0"," ,0"
"USC00235130","2005","40.48699","-91.87631","221.3","LURAY 2 N, MO US","","","","","","","","","         0","0","","","","","     0"," ,0,1231,+","","","","","        0"," ,0"
"USC00235130","2006","40.48699","-91.87631","221.3","LURAY 2 N, MO US","","","","","","","        0","","         0","0","","","     0"," ,0,1231,+","     0"," ,0,1231,+","","","    726.3"," ,0","        0"," ,0"
"USC00235130","2008","40.48699","-91.87631","221.3","LURAY 2 N, MO US","","","","","","","        0","","         0","0","","","     0"," ,0,1231,+","     0"," ,0,1231,+","","","","","        0"," ,0"
"USC00235130","2014","40.48699","-91.87631","221.3","LURAY 2 N, MO US","        85","7","        55","7","        11","7","","","","","","","","","","","  84.3"," ,7,0726, ","   1043.5"," ,7","",""
"USC00235130","2015","40.48699","-91.87631","221.3","LURAY 2 N, MO US","       104","7","        72","7","        15","7","","","","","","","","","","","  85.6"," ,7,0625, ","   1215.1"," ,7","",""
"USC00235130","2016","40.48699","-91.87631","221.3","LURAY 2 N, MO US","        87","7","        52","7","         4","7","","","","","","","","","","","  78.0"," ,7,0805, ","    703.0"," ,7","",""
"USC00235130","2017","40.48699","-91.87631","221.3","LURAY 2 N, MO US","        85","7","        51","7","         9","7","","","","","","","","","","","  38.4"," ,7,0430, ","    758.0"," ,7","",""
"USC00235130","2018","40.48699","-91.87631","221.3","LURAY 2 N, MO US","        98","7","        64","7","         9","7","","","","","","","","","",""," 111.8"," ,7,0906, ","    983.0"," ,7","",""
"USC00235130","2019","40.48699","-91.87631","221.3","LURAY 2 N, MO US","       123","7","        72","7","        15","7","","","","","","","","","","","  56.4"," ,7,0529, ","   1233.7"," ,7","",""
"USC00235130","2021","40.48699","-91.87631","221.3","LURAY 2 N, MO US","       101","7","        65","7","        12","7","","","","","","","","","","","  67.3"," ,7,0813, ","   1061.7"," ,7","",""
"USC00235130","2022","40.48699","-91.87631","221.3","LURAY 2 N, MO US","        93","7","        61","7","         6","7","","","","","","","","","","","  58.7"," ,7,0918, ","    760.5"," ,7","",""
"USC00235130","2024","40.48699","-91.87631","221.3","LURAY 2 N, MO US","        99","7","        59","7","        13","7","","","","","","","","","","","  63.8"," ,7,0428, ","    984.9"," ,7","",""
