"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00241470","1958","46.65","-111.73333","1119.2","CANYON FERRY DAM, MT US","    180.0","","     180.0","0","        77","0","        36","0","         0","0","         1","0","       151","0","        32","0","       139","0","        13","0","  -20.6","0,1208, ","  16.0"," ,0,0703, ","   34.4","0,0813, ","-1.1","0,0930","-2.2","0,1009","-4.4","0,1030","-10.0","0,1115","-10.0","0,1115","-2.2","0,0429","-2.2","0,0429","-6.1","0,0319","-9.4","0,0318","-9.4","0,0318","    3761.8","8","    3761.8","0","    268.7"," ,0","      8.36","0","     14.89","0","      1.83","0"
"USC00241470","1959","46.65","-111.73333","1119.2","CANYON FERRY DAM, MT US","    154.1","","     154.1","0","        74","0","        31","0","         0","0","        23","0","       167","0","        44","0","       107","0","        17","0","  -31.7","0,1116, ","  18.0"," ,0,0626, ","   34.4","0,0722,+","-1.1","0,0929","-3.3","0,1001","-9.4","0,1104","-9.4","0,1104","-9.4","0,1104","-0.6","0,0520","-2.2","0,0509","-4.4","0,0411","-8.9","0,0409","-8.9","0,0409","    4061.1","1","    4061.1","0","    243.6"," ,0","      6.83","0","     13.53","0","      0.13","0"
"USC00241470","1960","46.65","-111.73333","1119.2","CANYON FERRY DAM, MT US","    196.4","","     196.4","0","        57","0","        25","0","         0","0","        19","0","       166","0","        45","0","       122","0","        27","0","  -29.4","0,0120, ","  16.5"," ,0,0825, ","   36.7","0,0720,+","-0.6","0,0922","-2.8","0,1019","-5.0","0,1030","-9.4","0,1109","-9.4","0,1109","-0.6","0,0518","-4.4","0,0430","-4.4","0,0430","-11.7","0,0313","-11.7","0,0313","    4455.5","5","    4455.5","0","    171.9"," ,0","      7.19","0","     13.93","0","      0.45","0"
"USC00241470","1961","46.65","-111.73333","1119.2","CANYON FERRY DAM, MT US","    354.5","","     354.5","0","        65","0","        31","0","         0","0","         6","0","       168","0","        24","0","       125","0","        43","0","  -27.2","0,1210, ","  14.5"," ,0,0629, ","   41.1","0,0805, ","0.0","0,0913","-2.8","0,0922","-7.8","0,1020","-7.8","0,1020","-12.2","0,1031","0.0","0,0508","-3.3","0,0426","-5.6","0,0414","-6.7","0,0406","-12.2","0,0305","    3547.7","7","    3547.7","0","    189.9"," ,0","      8.82","0","     16.13","0","      1.51","0"
"USC00241470","1962","46.65","-111.73333","1119.2","CANYON FERRY DAM, MT US","    110.6","","     110.6","0","       105","0","        44","0","         1","0","        26","0","       147","0","        34","0","       121","0","         4","0","  -37.8","0,0109, ","  36.1"," ,0,0614, ","   32.2","0,0826,+","-1.7","0,1016","-3.3","0,1107","-5.6","0,1115","-7.8","0,1129","-11.7","0,1222","-2.8","0,0430","-2.8","0,0430","-6.7","0,0330","-6.7","0,0330","-10.6","0,0317","    4373.7","7","    4373.7","0","    348.3"," ,0","      7.40","0","     14.39","0","      0.41","0"
"USC00241470","1963","46.65","-111.73333","1119.2","CANYON FERRY DAM, MT US","    168.1","","     168.1","0","       102","0","        42","0","         0","0","        25","0","       152","0","        42","0","       137","0","        16","0","  -33.3","0,0123, ","  20.3"," ,0,0621, ","   36.7","0,0721, ","-2.8","0,1027","-2.8","0,1027","-5.0","0,1029","-17.2","0,1120","-17.2","0,1120","-1.7","0,0502","-2.2","0,0425","-5.6","0,0403","-6.7","0,0402","-8.9","0,0313","    3950.9","9","    3950.9","0","    328.9"," ,0","      7.81","0","     14.72","0","      0.91","0"
"USC00241470","1964","46.65","-111.73333","1119.2","CANYON FERRY DAM, MT US","    138.3","","     138.3","0","        93","0","        37","0","         1","0","        12","0","       166","0","        41","0","       110","0","        17","0","  -32.2","0,1217,+","  34.3"," ,0,0503, ","   36.1","0,0818, ","-0.6","0,0919","-2.8","0,1005","-5.0","0,1018","-10.0","0,1115","-10.0","0,1115","0.0","0,0504","-3.3","0,0419","-4.4","0,0418","-11.7","0,0407","-11.7","0,0407","    4029.6","6","    4029.6","0","    337.4"," ,0","      7.02","0","     13.54","0","      0.49","0"
"USC00241470","1965","46.65","-111.73333","1119.2","CANYON FERRY DAM, MT US","    113.7","","     113.7","0","        98","0","        51","0","         0","0","         5","0","       182","0","        35","0","       103","0","        11","0","  -22.8","0,0318, ","  21.6"," ,0,0820, ","   37.2","0,0802, ","0.0","0,0915","-2.2","0,0916","-6.7","0,0917","-6.7","0,0917","-9.4","0,1112","-2.2","0,0518","-2.2","0,0518","-4.4","0,0413","-8.3","0,0329","-12.2","0,0328","    4118.4","4","    4118.4","0","    369.0"," ,0","      7.15","0","     13.72","0","      0.59","0"
"USC00241470","1966","46.65","-111.73333","1119.2","CANYON FERRY DAM, MT US","    140.7","","     140.7","0","        63","0","        25","0","         0","0","        11","0","       174","0","        39","0","       133","0","        16","0","  -23.9","0,0120, ","  13.5"," ,0,0603, ","   37.2","0,0716, ","-2.8","0,0930","-2.8","0,0930","-6.1","0,1014","-8.3","0,1101","-12.2","0,1106","0.0","0,0604","-2.2","0,0523","-6.7","0,0429","-6.7","0,0429","-11.1","0,0419","    4130.0","0","    4130.0","0","    166.8"," ,0","      7.62","0","     15.10","0","      0.15","0"
"USC00241470","1967","46.65","-111.73333","1119.2","CANYON FERRY DAM, MT US","    218.4","","     218.4","0","       102","0","        45","0","         0","0","         9","0","       160","0","        34","0","       131","0","        21","0","  -26.7","0,1221, ","  21.8"," ,0,1003, ","   36.1","0,0824, ","-0.6","0,1015","-3.9","0,1024","-5.6","0,1102","-8.9","0,1103","-8.9","0,1103","-0.6","0,0514","-2.2","0,0505","-4.4","0,0504","-7.2","0,0422","-9.4","0,0318","    3913.7","7","    3913.7","0","    387.2"," ,0","      8.03","0","     14.86","0","      1.19","0"
