"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00241919","1895","48.31667","-114.2","939.1","COLUMBIA FALLS 5 SW, MT US","","","","","        86","0","        47","0","         1","0","","","","","        55","0","       107","0","        14","0","","","","","  30.5"," ,0,0705, ","   36.1","0,0803, ","","","","","","","","","","","","","","","","","","","","","    4495.5","5","    4495.5","0","    357.8"," ,0","","","     13.53","0","",""
"USC00241919","1900","48.31667","-114.2","939.1","COLUMBIA FALLS 5 SW, MT US","","","","","        78","0","        61","0","         2","0","","","","","","","","","","","","","","","  35.6"," ,0,0513, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    607.0"," ,0","","","","","",""
"USC00241919","1901","48.31667","-114.2","939.1","COLUMBIA FALLS 5 SW, MT US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    4467.7","7","    4467.7"," ","","","","","","","",""
"USC00241919","1902","48.31667","-114.2","939.1","COLUMBIA FALLS 5 SW, MT US","     28.5","","      28.5","0","        70","0","        59","0","         6","0","         7","0","       210","0","        44","0","        86","0","         2","0","","","  -29.4","0,0127, ","  51.8"," ,0,0518, ","   32.8","0,0807,+","-1.7","0,0829","-2.8","0,0908","-4.4","0,1020","-9.4","0,1119","-9.4","0,1119","0.0","0,0612","-2.2","0,0606","-4.4","0,0505","-6.7","0,0414","-17.2","0,0316","","","","","    696.2"," ,0","      5.37","0","     11.85","0","     -1.11","0"
"USC00241919","1903","48.31667","-114.2","939.1","COLUMBIA FALLS 5 SW, MT US","     46.7","","      46.7","0","        82","0","        62","0","         1","0","         9","0","       218","0","        64","0","        84","0","         4","0","","","  -21.7","0,0212, ","  35.6"," ,0,0504, ","   33.9","0,0722, ","-0.6","0,0901","-2.2","0,0914","-5.6","0,0926","-6.7","0,1004","-10.0","0,1112","0.0","0,0715","-3.9","0,0503","-5.6","0,0429","-7.8","0,0405","-8.9","0,0321","    4718.4","4","    4718.4","0","    475.2"," ,0","      5.23","0","     11.70","0","     -1.23","0"
"USC00241919","1904","48.31667","-114.2","939.1","COLUMBIA FALLS 5 SW, MT US","","","","","        73","0","        54","0","         4","0","","","","","","","","","","","","","","","  76.2"," ,0,0323, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    616.5"," ,0","","","","","",""
"USC00241919","1905","48.31667","-114.2","939.1","COLUMBIA FALLS 5 SW, MT US","     80.8","","      80.8","0","        75","0","        48","0","         3","0","        17","0","       198","0","        49","0","        95","0","        18","0","","","  -37.2","0,0211, ","  29.5"," ,0,0124, ","   35.6","0,0808,+","-1.7","0,0816","-2.2","0,0918","-4.4","0,0930","-6.7","0,1011","-12.8","0,1019","-0.6","0,0618","-2.2","0,0615","-5.0","0,0505","-6.7","0,0501","-9.4","0,0412","    4172.1","1","    4172.1","0","    497.2"," ,0","      5.65","0","     12.84","0","     -1.53","0"
"USC00241919","1906","48.31667","-114.2","939.1","COLUMBIA FALLS 5 SW, MT US","     94.9","","      94.9","0","       102","0","        67","0","         2","0","        13","0","       191","0","        48","0","       106","0","        17","0","","","  -22.2","0,0316, ","  30.5"," ,0,0813, ","   36.1","0,0810,+","-3.3","0,0912","-3.3","0,0912","-5.0","0,0926","-6.7","0,1021","-13.9","0,1119","-0.6","0,0623","-2.8","0,0508","-4.4","0,0429","-6.7","0,0418","-8.9","0,0321","    4449.4","4","    4449.4","0","    571.6"," ,0","      6.36","0","     13.66","0","     -0.94","0"
"USC00241919","1907","48.31667","-114.2","939.1","COLUMBIA FALLS 5 SW, MT US","     10.7","","      10.7","0","        89","0","        65","0","         1","0","        21","0","       207","0","        41","0","        99","0","         2","0","","","  -31.7","0,0115, ","  25.7"," ,0,0616, ","   32.8","0,0731, ","-1.1","0,0820","-2.2","0,0918","-7.2","0,1019","-7.2","0,1019","-11.1","0,1103","-1.7","0,0614","-2.8","0,0514","-4.4","0,0504","-7.2","0,0430","-9.4","0,0429","    4653.6","6","    4653.6","0","    591.6"," ,0","      5.17","0","     12.51","0","     -2.16","0"
"USC00241919","1908","48.31667","-114.2","939.1","COLUMBIA FALLS 5 SW, MT US","     98.5","","      98.5","0","        95","0","        79","0","         3","0","         4","0","       189","0","        28","0","       103","0","        19","0","","","  -30.0","0,0202, ","  38.4"," ,0,0525, ","   38.9","0,0731, ","-0.6","0,0827","-3.3","0,0908","-5.0","0,1026","-11.1","0,1111","-11.1","0,1111","-1.7","0,0729","-3.3","0,0505","-5.0","0,0413","-10.0","0,0407","-10.0","0,0407","    4421.2","2","    4421.2","0","    778.7"," ,0","      6.36","0","     13.53","0","     -0.81","0"
