"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"USC00251390","1910","41.0","-98.61667","609.9","CAIRO, NE US","        41","6","        31","6","         5","6","","","","","  62.2"," ,6,0625, ","    454.3"," ,6","",""
"USC00251390","1911","41.0","-98.61667","609.9","CAIRO, NE US","        44","6","        39","6","         5","6","","","","","  48.3"," ,6,1006, ","    551.1"," ,6","",""
"USC00251390","1912","41.0","-98.61667","609.9","CAIRO, NE US","        56","6","        46","6","         4","6","","","","","  38.4"," ,6,1113, ","    518.8"," ,6","",""
"USC00251390","1913","41.0","-98.61667","609.9","CAIRO, NE US","        59","6","        50","6","         6","6","","","","","  61.7"," ,6,0502, ","    699.6"," ,6","",""
"USC00251390","1914","41.0","-98.61667","609.9","CAIRO, NE US","        70","6","        46","6","         9","6","","","",""," 129.5"," ,6,0613, ","    839.0"," ,6","",""
"USC00251390","1919","41.0","-98.61667","609.9","CAIRO, NE US","        66","6","        51","6","        10","6","        14","6","   254"," ,6,0409, ","  44.5"," ,6,0719, ","    675.6"," ,6","     1066"," ,6"
"USC00251390","1920","41.0","-98.61667","609.9","CAIRO, NE US","        59","6","        48","6","         5","6","         5","6","   356"," ,6,0411, ","  45.7"," ,6,0903, ","    638.3"," ,6","      865"," ,6"
"USC00251390","1921","41.0","-98.61667","609.9","CAIRO, NE US","        38","6","        35","6","         5","6","","","",""," 114.3"," ,6,0518, ","    596.4"," ,6","",""
"USC00251390","1922","41.0","-98.61667","609.9","CAIRO, NE US","        43","6","        35","6","         5","6","         3","6","   203"," ,6,0319, ","  60.5"," ,6,0521, ","    481.9"," ,6","      356"," ,6"
"USC00251390","1923","41.0","-98.61667","609.9","CAIRO, NE US","        67","6","        54","6","         5","6","","","",""," 111.0"," ,6,0523, ","    807.0"," ,6","",""
"USC00251390","1924","41.0","-98.61667","609.9","CAIRO, NE US","        67","6","        53","6","         5","6","        17","6","   508"," ,6,1204, "," 109.7"," ,6,0718, ","    684.8"," ,6","     1492"," ,6"
"USC00251390","1925","41.0","-98.61667","609.9","CAIRO, NE US","        63","6","        44","6","         2","6","","","","","  33.3"," ,6,0402, ","    510.9"," ,6","",""
"USC00251390","1926","41.0","-98.61667","609.9","CAIRO, NE US","        71","6","        48","6","         3","6","         9","6","   102"," ,6,0218,+","  60.2"," ,6,1009, ","    525.7"," ,6","      575"," ,6"
"USC00251390","1927","41.0","-98.61667","609.9","CAIRO, NE US","","","","","","","         6","6","   152"," ,6,0320,+","","","","","      528"," ,6"
"USC00251390","1928","41.0","-98.61667","609.9","CAIRO, NE US","        64","6","        44","6","         5","6","         6","6","   305"," ,6,1130, ","  43.2"," ,6,0503, ","    519.3"," ,6","      528"," ,6"
"USC00251390","1929","41.0","-98.61667","609.9","CAIRO, NE US","        67","6","        36","6","         3","6","         2","6","   102"," ,6,0225, ","  33.0"," ,6,0706, ","    449.7"," ,6","      270"," ,6"
"USC00251390","1930","41.0","-98.61667","609.9","CAIRO, NE US","        68","6","        62","6","        12","6","","","","","  53.3"," ,6,0604, ","    860.7"," ,6","",""
"USC00251390","1931","41.0","-98.61667","609.9","CAIRO, NE US","        64","6","        47","6","         4","6","         9","6","   203"," ,6,1231, ","  49.8"," ,6,0504, ","    556.0"," ,6","      825"," ,6"
"USC00251390","1938","41.0","-98.61667","609.9","CAIRO, NE US","        42","6","        39","6","         4","6","","","","","  57.2"," ,6,0707, ","    535.2"," ,6","",""
"USC00251390","1940","41.0","-98.61667","609.9","CAIRO, NE US","        48","6","        37","6","         1","6","","","","","  31.8"," ,6,1216, ","    307.9"," ,6","",""
"USC00251390","1941","41.0","-98.61667","609.9","CAIRO, NE US","        59","6","        50","6","         7","6","","","","","  91.4"," ,6,0903, ","    642.1"," ,6","",""
"USC00251390","1942","41.0","-98.61667","609.9","CAIRO, NE US","        52","6","        46","6","         6","6","","","","","  86.9"," ,6,0902, ","    675.6"," ,6","",""
"USC00251390","1945","41.0","-98.61667","609.9","CAIRO, NE US","        83","6","        53","6","         5","6","","","","","  51.1"," ,6,0531, ","    634.4"," ,6","",""
