"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES"
"USC00256797","1892","41.0","-95.866667","287.1","PLATTSMOUTH RIVER, NE US","","","","","","","         5"," ","","","",""
"USC00256797","1893","41.0","-95.866667","287.1","PLATTSMOUTH RIVER, NE US","","","","","","","        12"," ","","","",""
"USC00256797","1894","41.0","-95.866667","287.1","PLATTSMOUTH RIVER, NE US","        59","6","        37","6","         4","6","         7"," ","  42.2"," ,6,0907, ","    491.2"," ,6"
"USC00256797","1895","41.0","-95.866667","287.1","PLATTSMOUTH RIVER, NE US","        69","6","        49","6","         8","6","         4"," ","  54.6"," ,6,0628, ","    642.3"," ,6"
"USC00256797","1896","41.0","-95.866667","287.1","PLATTSMOUTH RIVER, NE US","        86","6","        72","6","        12","6","         8"," ","  56.9"," ,6,1028, ","    982.0"," ,6"
"USC00256797","1897","41.0","-95.866667","287.1","PLATTSMOUTH RIVER, NE US","","","","","","","         4"," ","","","",""
"USC00256797","1900","41.0","-95.866667","287.1","PLATTSMOUTH RIVER, NE US","","","","","","","         1"," ","","","",""
"USC00256797","1901","41.0","-95.866667","287.1","PLATTSMOUTH RIVER, NE US","","","","","","","         1"," ","","","",""
"USC00256797","1905","41.0","-95.866667","287.1","PLATTSMOUTH RIVER, NE US","","","","","","","         1"," ","","","",""
"USC00256797","1908","41.0","-95.866667","287.1","PLATTSMOUTH RIVER, NE US","","","","","","","         1"," ","","","",""
"USC00256797","1909","41.0","-95.866667","287.1","PLATTSMOUTH RIVER, NE US","","","","","","","         1"," ","","","",""
"USC00256797","1916","41.0","-95.866667","287.1","PLATTSMOUTH RIVER, NE US","","","","","","","         1"," ","","","",""
"USC00256797","1918","41.0","-95.866667","287.1","PLATTSMOUTH RIVER, NE US","","","","","","","         1"," ","","","",""
"USC00256797","1924","41.0","-95.866667","287.1","PLATTSMOUTH RIVER, NE US","","","","","","","         1"," ","","","",""
"USC00256797","1925","41.0","-95.866667","287.1","PLATTSMOUTH RIVER, NE US","","","","","","","         1"," ","","","",""
"USC00256797","1927","41.0","-95.866667","287.1","PLATTSMOUTH RIVER, NE US","","","","","","","         1"," ","","","",""
"USC00256797","1931","41.0","-95.866667","287.1","PLATTSMOUTH RIVER, NE US","","","","","","","         1"," ","","","",""
