"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00267612","1973","38.8822","-119.3511","1524.0","SMITH 6 N, NV US","","","","","","","","","","","","","","","","","","","","","","","","","         9"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00267612","1974","38.8822","-119.3511","1524.0","SMITH 6 N, NV US","","","","","        24","0","        16","0","         0","0","","","","","","","","","        13","0","       166","0","        67","0","         1"," ","","","","","","","  16.0"," ,0,0802, ","   37.2","0,0612, ","","","","","","","","","","","","","","","","","","","","","","","","","    121.5"," ,0","","","","","     20.01","0","",""
"USC00267612","1975","38.8822","-119.3511","1524.0","SMITH 6 N, NV US","","","","","","","","","","","","","","","        10","0","       196","0","","","","","","","         1"," ","  -26.1","0,0102,+","","","","","","","","","-1.7","0,1007","-6.7","0,1008","-6.7","0,1008","-6.7","0,1008","-12.2","0,1024","-2.2","0,0625","-2.2","0,0625","-5.6","0,0430","-8.9","0,0429","-8.9","0,0429","    3563.4","4","    3563.4"," ","","","","","","","","","     -1.63","0"
"USC00267612","1976","38.8822","-119.3511","1524.0","SMITH 6 N, NV US","","","","","        26","0","        16","0","         1","0","","","         0","0","","","","","","","","","","","","","","","","","     0","T,0,0415,+","  30.7"," ,0,0610, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    139.4"," ,0","        0","T,0","","","","","",""
"USC00267612","1977","38.8822","-119.3511","1524.0","SMITH 6 N, NV US","    280.0","","     280.0","0","","","","","","","","","","","         3","0","       192","0","         3","0","       170","0","        64","0","","","  -21.7","0,0109, ","","","","","","","   37.2","0,0801,+","-0.6","0,0917","-3.9","0,0923","-4.4","0,1001","-6.7","0,1101","-10.6","0,1107","-0.6","0,0529","-3.9","0,0518","-4.4","0,0517","-8.3","0,0507","-11.1","0,0403","","","","","","","","","      9.80","0","     20.16","0","     -0.55","0"
"USC00267612","1982","38.8822","-119.3511","1524.0","SMITH 6 N, NV US","    184.6","","     184.6","0","        65","0","        27","0","         1","0","","","","","         6","0","       195","0","         7","0","       147","0","        37","0","","","  -25.6","0,0107, ","","","","","  25.9"," ,0,1024, ","   37.2","0,0730, ","-2.2","0,0911","-2.2","0,0911","-5.6","0,1008","-6.7","0,1103","-9.4","0,1113","0.0","0,0609","-2.2","0,0603","-5.0","0,0423","-7.8","0,0422","-8.9","0,0421","","","","","    268.8"," ,0","","","      8.91","0","     17.73","0","      0.08","0"
"USC00267612","1983","38.8822","-119.3511","1524.0","SMITH 6 N, NV US","    142.4","","     142.4","0","","","","","","","","","","","         0","0","       183","0","         4","0","       146","0","        32","0","","","  -13.9","0,0101, ","","","","","","","   37.8","0,0806, ","-1.1","0,0920","-3.3","0,1015","-5.0","0,1025","-8.9","0,1108","-8.9","0,1108","-1.1","0,0520","-2.8","0,0517","-4.4","0,0426","-6.7","0,0415","-10.0","0,0407","    3444.3","3","    3444.3","0","","","","","      9.76","0","     18.54","0","      0.98","0"
"USC00267612","1984","38.8822","-119.3511","1524.0","SMITH 6 N, NV US","    273.8","","     273.8","0","        38","0","        14","0","         0","0","","","","","         2","0","       194","0","         9","0","       153","0","        62","0","","","  -17.8","0,1225,+","","","","","  18.8"," ,0,0723, ","   38.3","0,0704, ","-1.1","0,0922","-7.8","0,0925","-7.8","0,0925","-7.8","0,0925","-8.9","0,1018","0.0","0,0609","-4.4","0,0516","-4.4","0,0516","-6.7","0,0428","-8.9","0,0421","    3222.1","1","    3222.1","0","    139.2"," ,0","","","      9.49","0","     18.98","0","      0.00","0"
"USC00267612","1986","38.8822","-119.3511","1524.0","SMITH 6 N, NV US","    205.3","","     205.3","0","        32","0","        15","0","         1","0","","","","","         0","0","       182","0","         0","0","       164","0","        62","0","","","  -16.1","0,0209, ","","","","","  32.0"," ,0,0218, ","   37.2","0,0809, ","0.0","0,0916","-2.2","0,0918","-4.4","0,0921","-7.2","0,1012","-9.4","0,1102","-0.6","0,0524","-6.1","0,0522","-6.1","0,0522","-7.2","0,0507","-8.9","0,0403","","","","","    179.6"," ,0","","","     10.15","0","     20.39","0","     -0.09","0"
"USC00267612","1987","38.8822","-119.3511","1524.0","SMITH 6 N, NV US","","","","","        48","0","        25","0","         1","0","","","","","        11","0","       137","0","        22","0","       177","0","        42","0","","","  -23.9","0,0112, ","","","","","  28.7"," ,0,0519, ","   36.7","0,0806,+","0.0","0,0917","-2.2","0,1014","-10.0","0,1115","-10.0","0,1115","-10.0","0,1115","-0.6","0,0503","-3.9","0,0502","-7.8","0,0420","-7.8","0,0420","-8.9","0,0419","    3209.7","7","    3209.7","0","    188.8"," ,0","","","     10.17","0","     19.36","0","      0.99","0"
