"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00268034","1920","38.6","-118.6","1281.1","THORNE, NV US","    563.6","","     563.6","6","","","","","","","","","","","         0","6","       129","6","         2","6","       164","6","        61","6","  -11.7","6,0109, ","","","","","","","   38.9","6,0808, ","-1.7","6,1014","-3.3","6,1021","-5.0","6,1101","-7.2","6,1107","-8.9","6,1205","-1.1","6,0426","-3.9","6,0424","-7.8","6,0401","-7.8","6,0401","-9.4","6,0115","","","","","","","","","     12.39","6","     20.21","6","      4.57","6"
"USC00268034","1921","38.6","-118.6","1281.1","THORNE, NV US","    607.3","","     607.3","6","","","","","","","","","","","         0","6","        99","6","         2","6","       181","6","        70","6","  -12.2","6,0111, ","","","","","","","   38.3","6,0724,+","-1.1","6,1024","-2.8","6,1025","-8.9","6,1118","-8.9","6,1118","-8.9","6,1118","-2.8","6,0425","-2.8","6,0425","-4.4","6,0415","-6.7","6,0329","-9.4","6,0216","    2574.0","0","    2574.0","6","","","","","     13.36","6","     21.39","6","      5.32","6"
"USC00268034","1922","38.6","-118.6","1281.1","THORNE, NV US","","","","","        24","6","        12","6","         0","6","","","","","","","","","         7","6","       171","6","        82","6","","","","","","","  17.8"," ,6,0705, ","   40.6","6,0715, ","","","","","","","","","","","","","","","","","","","","","    2703.7","7","    2703.7"," ","     85.8"," ,6","","","","","     19.57","6","",""
"USC00268034","1923","38.6","-118.6","1281.1","THORNE, NV US","    521.6","","     521.6","6","        18","6","        14","6","         0","6","","","","","         0","6","       133","6","         6","6","       164","6","        62","6","  -16.1","6,0202, ","","","","","  12.7"," ,6,0616, ","   38.9","6,0729,+","0.0","6,1018","-2.2","6,1103","-4.4","6,1127","-8.9","6,1202","-8.9","6,1202","0.0","6,0430","-2.8","6,0407","-6.1","6,0322","-7.2","6,0315","-8.9","6,0304","","","","","     66.3"," ,6","","","     11.90","6","     19.64","6","      4.15","6"
"USC00268034","1924","38.6","-118.6","1281.1","THORNE, NV US","","","","","","","","","","","","","","","","","","","        10","6","       183","6","        78","6","","","","","","","","","   38.9","6,0630, ","","","","","","","","","","","","","","","","","","","","","    2794.4","4","    2794.4"," ","","","","","","","     20.31","6","",""
"USC00268034","1925","38.6","-118.6","1281.1","THORNE, NV US","    486.3","","     486.3","6","","","","","","","","","","","         0","6","       107","6","         0","6","       171","6","        50","6","  -10.0","6,1216,+","","","","","","","   40.6","6,0716, ","-1.1","6,0930","-2.2","6,1103","-4.4","6,1105","-6.7","6,1114","-10.0","6,1215","-2.8","6,0401","-2.8","6,0401","-5.6","6,0312","-6.7","6,0301","-8.9","6,0117","","","","","","","","","     12.50","6","     20.15","6","      4.84","6"
"USC00268034","1926","38.6","-118.6","1281.1","THORNE, NV US","    637.8","","     637.8","6","","","","","","","","","","","         0","6","       104","6","         5","6","       180","6","        72","6","  -16.1","6,1224, ","","","","","","","   40.0","6,0824,+","0.0","6,0927","-3.3","6,1030","-4.4","6,1114","-7.2","6,1209","-10.0","6,1214","-1.1","6,0508","-2.2","6,0326","-4.4","6,0312","-8.9","6,0127","-8.9","6,0127","    2620.4","4","    2620.4","6","","","","","     13.41","6","     21.49","6","      5.33","6"
"USC00268034","1927","38.6","-118.6","1281.1","THORNE, NV US","    592.0","","     592.0","6","        13","6","         7","6","         0","6","","","","","         0","6","       123","6","         1","6","       172","6","        73","6","  -12.8","6,1218, ","","","","","  13.5"," ,6,1031, ","   38.9","6,0719,+","-1.1","6,1006","-2.8","6,1101","-5.6","6,1123","-8.9","6,1205","-8.9","6,1205","-1.1","6,0531","-5.6","6,0417","-5.6","6,0417","-8.9","6,0410","-8.9","6,0410","    2602.8","8","    2602.8","6","     49.5"," ,6","","","     12.65","6","     20.80","6","      4.49","6"
"USC00268034","1928","38.6","-118.6","1281.1","THORNE, NV US","    636.5","","     636.5","6","         8","6","         3","6","         0","6","","","","","         0","6","       121","6","         1","6","       181","6","        73","6","  -13.9","6,1220,+","","","","","  24.4"," ,6,0303, ","   40.6","6,0726, ","0.0","6,1011","-2.2","6,1014","-6.1","6,1116","-10.0","6,1118","-10.0","6,1118","-1.1","6,0425","-2.2","6,0408","-7.8","6,0227","-7.8","6,0227","-9.4","6,0218","    2588.9","9","    2588.9","6","     46.9"," ,6","","","     12.83","6","     20.88","6","      4.78","6"
"USC00268034","1929","38.6","-118.6","1281.1","THORNE, NV US","","","","","        11","6","         8","6","         0","6","","","","","","","","","","","","","","","","","","","","","  13.7"," ,6,0607, ","","","","","","","","","","","","","","","","","","","","","","","    2959.6","6","    2959.6","6","     53.6"," ,6","","","","","","","",""
