"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00298788","1947","35.76667","-105.66667","2288.1","TERERRO, NM US","","","","","","","","","","","","","         6","6","       241","6","","","","","","","         1"," ","         1"," ","  -27.8","6,0116, ","","","","","","","-1.1","6,0913","-4.4","6,1004","-4.4","6,1004","-7.2","6,1020","-8.9","6,1026","-3.3","6,0612","-3.3","6,0612","-5.6","6,0530","-6.7","6,0425","-8.9","6,0413","","","","","","","","","","","","","     -3.26","6"
"USC00298788","1948","35.76667","-105.66667","2288.1","TERERRO, NM US","","","","","","","","","","","","","","","","","","","","","","","         1"," ","         1"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00298788","1950","35.76667","-105.66667","2288.1","TERERRO, NM US","      0.9","","       0.9","0","","","","","","","         4","0","         7","0","       256","0","         6","0","       139","0","         0","0","","","","","  -17.8","0,1110,+","   152"," ,0,0130, ","","","   29.4","0,0614, ","-0.6","0,0903","-2.8","0,0913","-4.4","0,0914","-11.1","0,1103","-11.1","0,1103","0.0","0,0614","-2.2","0,0608","-5.0","0,0514","-7.8","0,0507","-9.4","0,0425","","","","","    374.4"," ,0","      330"," ,0","      7.03","0","     17.21","0","     -3.16","0"
"USC00298788","1952","35.76667","-105.66667","2288.1","TERERRO, NM US","      0.6","","       0.6","0","        45","0","        43","0","         1","0","        16","0","        13","0","       256","0","         9","0","       141","0","         0","0","","","","","  -27.8","0,1127, ","   198"," ,0,1123, ","  25.4"," ,0,0822, ","   30.0","0,0807,+","-0.6","0,0903","-2.8","0,0914","-8.9","0,1007","-8.9","0,1007","-8.9","0,1007","-1.1","0,0623","-3.9","0,0523","-6.1","0,0522","-7.2","0,0422","-8.9","0,0410","    4382.9","9","    4382.9","0","    437.5"," ,0","     1532"," ,0","      5.75","0","     15.37","0","     -3.87","0"
"USC00298788","1953","35.76667","-105.66667","2288.1","TERERRO, NM US","      1.9","","       1.9","0","        50","0","        45","0","         1","0","        17","0","         4","0","       264","0","         8","0","       132","0","         0","0","","","","","  -23.3","0,0222, ","   152"," ,0,1105, ","  43.2"," ,0,1105, ","   30.0","0,0701,+","-0.6","0,0831","-2.2","0,0909","-4.4","0,0925","-7.2","0,1005","-12.8","0,1108","0.0","0,0625","-5.0","0,0619","-5.0","0,0619","-7.8","0,0512","-9.4","0,0504","    4543.8","8","    4543.8","0","    437.8"," ,0","     1424"," ,0","      6.07","0","     16.15","0","     -4.00","0"
"USC00298788","1954","35.76667","-105.66667","2288.1","TERERRO, NM US","      2.8","","       2.8","0","        61","0","        46","0","         2","0","         4","0","         5","0","       236","0","         1","0","       143","0","         0","0","","","","","  -20.0","0,1228, ","   114"," ,0,0121, ","  27.9"," ,0,0324,+","   31.1","0,0721,+","-1.7","0,0921","-2.8","0,0930","-5.6","0,1015","-6.7","0,1016","-9.4","0,1027","-1.1","0,0616","-2.8","0,0610","-6.7","0,0506","-6.7","0,0506","-10.0","0,0403","    4204.9","9","    4204.9","0","    415.1"," ,0","      459"," ,0","      7.21","0","     17.45","0","     -3.04","0"
"USC00298788","1955","35.76667","-105.66667","2288.1","TERERRO, NM US","      1.1","","       1.1","0","        46","0","        45","0","         5","0","        13","0","        19","0","       257","0","         9","0","       110","0","         1","0","","","","","  -28.3","0,0220, ","   203"," ,0,0116, ","  41.7"," ,0,0519, ","   34.4","0,0710, ","-0.6","0,0901","-2.8","0,0921","-6.7","0,1002","-6.7","0,1002","-11.1","0,1024","-1.1","0,0630","-2.2","0,0603","-6.1","0,0518","-8.3","0,0428","-10.0","0,0410","    4542.2","2","    4542.2","0","    586.2"," ,0","     1280"," ,0","      5.49","0","     15.35","0","     -4.37","0"
"USC00298788","1956","35.76667","-105.66667","2288.1","TERERRO, NM US","      0.3","","       0.3","0","        29","0","        22","0","         0","0","         5","0","         3","0","       263","0","         7","0","       137","0","         0","0","","","","","  -17.8","0,1223,+","    76"," ,0,1101, ","  20.3"," ,0,0818, ","   31.1","0,0912,+","0.0","0,0829","-2.8","0,0902","-6.1","0,1013","-6.7","0,1016","-8.9","0,1028","0.0","0,0617","-3.9","0,0518","-5.0","0,0517","-7.2","0,0516","-9.4","0,0421","    4309.2","2","    4309.2","0","    188.0"," ,0","      656"," ,0","      6.20","0","     16.99","0","     -4.59","0"
"USC00298788","1957","35.76667","-105.66667","2288.1","TERERRO, NM US","      0.9","","       0.9","0","        53","0","        49","0","        10","0","","","         4","0","       250","0","         4","0","       103","0","         0","0","","","","","  -26.7","0,1122, ","","","  57.7"," ,0,1021, ","   31.7","0,0703,+","0.0","0,0903","-2.8","0,0912","-5.6","0,0916","-6.7","0,1024","-10.0","0,1107","-2.2","0,0622","-2.2","0,0622","-4.4","0,0523","-6.7","0,0425","-11.7","0,0422","    4450.4","4","    4450.4","0","    788.2"," ,0","","","      5.89","0","     15.05","0","     -3.27","0"
"USC00298788","1958","35.76667","-105.66667","2288.1","TERERRO, NM US","      3.1","","       3.1","0","","","","","","","","","        10","0","       235","0","         5","0","       130","0","         0","0","","","","","  -24.4","0,0121, ","","","","","   31.7","0,0711,+","-0.6","0,0915","-2.2","0,0916","-6.1","0,1016","-11.7","0,1023","-11.7","0,1023","0.0","0,0619","-2.2","0,0610","-10.6","0,0509","-10.6","0,0509","-10.6","0,0509","    4608.7","7","    4608.7","0","","","","","      6.24","0","     16.23","0","     -3.75","0"
