"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES"
"USC00306999","1949","42.31667","-74.63333","622.1","RELAY, NY US","       138","0","        80","0","         4","0","  47.0"," ,0,0829, ","    902.7"," ,0"
"USC00306999","1950","42.31667","-74.63333","622.1","RELAY, NY US","       188","0","       107","0","         7","0","  53.1"," ,0,1205, ","   1159.9"," ,0"
"USC00306999","1951","42.31667","-74.63333","622.1","RELAY, NY US","       163","0","       101","0","        13","0","  45.7"," ,0,0625, ","   1279.3"," ,0"
"USC00306999","1952","42.31667","-74.63333","622.1","RELAY, NY US","       140","0","        79","0","         5","0","  90.2"," ,0,0710, ","   1078.3"," ,0"
"USC00306999","1953","42.31667","-74.63333","622.1","RELAY, NY US","       149","0","       101","0","         4","0"," 148.8"," ,0,0814, ","   1174.4"," ,0"
"USC00306999","1954","42.31667","-74.63333","622.1","RELAY, NY US","       166","0","       102","0","         6","0","  54.6"," ,0,1103, ","   1137.9"," ,0"
"USC00306999","1955","42.31667","-74.63333","622.1","RELAY, NY US","       152","0","        94","0","         9","0","  76.2"," ,0,1016, ","   1199.5"," ,0"
"USC00306999","1956","42.31667","-74.63333","622.1","RELAY, NY US","       172","0","       111","0","         4","0","  47.8"," ,0,0924, ","   1105.1"," ,0"
"USC00306999","1957","42.31667","-74.63333","622.1","RELAY, NY US","       131","0","        83","0","         4","0","  43.9"," ,0,1221, ","    835.1"," ,0"
"USC00306999","1958","42.31667","-74.63333","622.1","RELAY, NY US","       118","0","        88","0","        10","0","  35.6"," ,0,0825,+","   1083.0"," ,0"
