"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HN01","HN01_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","HX01","HX01_ATTRIBUTES","LN01","LN01_ATTRIBUTES","LX01","LX01_ATTRIBUTES","MN01","MN01_ATTRIBUTES","MX01","MX01_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00340684","2010","35.4019","-99.0585","510.8","BESSIE 4 WNW MESONET, OK US","   1237.7","","    1237.7","0","        0","","         0","0","         0","0","        84","0","         7","0","       202","0","        95","0","  -15.0","0,0108, ","     0"," ,0,1231,+","     0"," ,0,1231,+","   41.1","0,0814, ","-0.6","0,1105","-3.9","0,1125","-5.0","0,1126","-6.7","0,1213","-9.4","0,1226","-3.3","0,0322","-3.3","0,0322","-4.4","0,0321","-7.8","0,0224","-12.2","0,0110","    2111.9","9","      30.0","0,3,2","    2111.9","0","      38.3","0,3,2","      -2.8","0,3,2","      -0.6","0,3,2","      14.9","0,3,2","      20.5","0,3,2","    481.6"," ,0","        0"," ,0","     15.97","0","     22.50","0","      9.43","0"
"USC00340684","2011","35.4019","-99.0585","510.8","BESSIE 4 WNW MESONET, OK US","   1624.5","","    1624.5","K","","","","","         2","K","        84","K","        11","K","       227","K","       122","K","  -19.4","K,0210, ","","","","","   43.9","K,0805,+","-0.6","K,1103","-3.9","K,1117","-6.7","K,1205","-6.7","K,1205","","","0.0","K,0330","-2.2","K,0306","-11.1","K,0211","-11.1","K,0211","-11.1","K,0211","    1974.5","5","      32.2","K,3,2","    1974.5","K","      40.6","K,3,2","      -2.8","K,3,2","      -0.6","K,3,2","      15.8","K,3,2","      21.9","K,3,2","    421.1"," ,K","","","     17.18","K","     24.42","K","      9.93","K"
"USC00340684","2012","35.4019","-99.0585","510.8","BESSIE 4 WNW MESONET, OK US","   1429.3","","    1429.3","7","","","","","         0","7","        61","7","         6","7","       229","7","       116","7","  -12.8","7,1226, ","","","","","   44.4","7,0803,+","-1.1","7,1026","-3.3","7,1027","-4.4","7,1127","-8.9","7,1210","-8.9","7,1210","-1.1","K,0303","-2.8","K,0221","-7.8","K,0212","-7.8","K,0212","","","    1687.8","8","      32.2","7,3,2","    1687.8","7","      39.4","7,3,2","       1.7","7,3,2","       2.8","7,3,2","      16.6","7,3,2","      22.7","7,3,2","","","","","     17.75","7","     24.71","7","     10.79","7"
"USC00340684","2013","35.4019","-99.0585","510.8","BESSIE 4 WNW MESONET, OK US","   1177.5","","    1177.5","7","","","","","         0","7","        99","7","        11","7","       194","7","        88","7","  -14.4","7,1207, ","","","","","   41.7","7,0627, ","-4.4","7,1112","-4.4","7,1112","-4.4","7,1112","-6.7","7,1127","-11.7","7,1206","-3.3","7,0424","-3.3","7,0424","-7.2","7,0326","-7.2","7,0326","","","    2060.9","9","      28.9","7,3,2","    2060.9","7","      37.2","7,3,2","      -1.7","7,3,2","       0.6","7,3,2","      14.1","7,3,2","      20.3","7,3,2","","","","","     15.30","7","     21.93","7","      8.67","7"
"USC00340684","2014","35.4019","-99.0585","510.8","BESSIE 4 WNW MESONET, OK US","   1150.9","","    1150.9","7","","","","","         0","7","        86","7","        16","7","       210","7","        86","7","  -16.1","7,0303, ","","","","","   40.0","7,0726,+","0.0","7,1101","-3.9","7,1111","-7.2","7,1112","-7.2","7,1112","-10.0","7,1117","-1.7","7,0415","-2.2","7,0325","-8.3","7,0304","-8.3","7,0304","-16.1","7,0303","    2286.2","2","      28.3","7,3,2","    2286.2","7","      36.7","7,3,2","      -1.7","7,3,2","      -0.6","7,3,2","      14.3","7,3,2","      20.7","7,3,2","","","","","     15.39","7","     22.08","7","      8.71","7"
"USC00340684","2016","35.4019","-99.0585","510.8","BESSIE 4 WNW MESONET, OK US","   1189.4","","    1189.4","7","","","","","         0","7","        72","7","         4","7","       225","7","        91","7","  -17.2","7,1218, ","","","","","   40.6","7,0807, ","0.0","7,1118","-5.0","7,1119","-5.0","7,1119","-7.8","7,1208","-14.4","7,1217","0.0","7,0325","-3.9","7,0320","-6.7","7,0204","-6.7","7,0204","-8.9","7,0110","    1714.1","1","      29.4","7,3,2","    1714.1","7","      38.3","7,3,2","      -2.2","7,3,2","       0.0","7,3,2","      15.1","7,3,2","      22.8","7,3,2","","","","","     16.89","7","     23.75","7","     10.03","7"
"USC00340684","2017","35.4019","-99.0585","510.8","BESSIE 4 WNW MESONET, OK US","   1051.4","","    1051.4","7","","","","","         1","7","        62","7","         8","7","       235","7","        72","7","  -18.3","7,0107, ","","","","","   41.1","7,0722, ","-2.8","7,1027","-2.8","7,1027","-5.0","7,1028","-7.2","7,1208","-8.9","7,1227","-2.8","7,0315","-2.8","7,0315","-7.8","7,0225","-7.8","7,0225","-18.3","7,0107","    1658.0","0","      29.4","7,3,2","    1658.0","7","      38.3","7,3,2","      -1.1","7,3,2","       0.6","7,3,2","      14.6","7,3,2","      22.1","7,3,2","    856.1"," ,7","","","     16.41","7","     23.24","7","      9.59","7"
"USC00340684","2018","35.4019","-99.0585","510.8","BESSIE 4 WNW MESONET, OK US","   1275.6","","    1275.6","7","","","","","         0","7","       100","7","         6","7","       203","7","       100","7","  -16.7","7,0101, ","","","","","   42.8","7,0720,+","-0.6","7,1015","-3.3","7,1109","-6.1","7,1110","-6.7","7,1112","-10.6","7,1113","0.0","7,0416","-3.9","7,0415","-6.1","7,0407","-7.2","7,0221","-12.2","7,0212","    1990.5","5","","","    1990.5","7","","","","","","","","","","","    934.2"," ,7","","","     15.87","7","     22.88","7","      8.85","7"
"USC00340684","2019","35.4019","-99.0585","510.8","BESSIE 4 WNW MESONET, OK US","   1172.3","","    1172.3","7","","","","","         0","7","        91","7","         7","7","       201","7","        91","7","  -12.2","7,1112,+","","","","","   41.1","7,0812,+","-2.2","7,1028","-2.2","7,1028","-4.4","7,1029","-7.2","7,1031","-8.9","7,1111","-0.6","7,0412","-4.4","7,0331","-4.4","7,0331","-7.8","7,0306","-10.6","7,0305","    2222.2","2","      29.4","7,3,2","    2222.2","7","      38.9","7,3,2","       0.0","7,3,2","       1.7","7,3,2","      13.8","7,3,2","      20.8","7,3,2","    948.5"," ,7","","","     15.48","7","     22.14","7","      8.82","7"
"USC00340684","2020","35.4019","-99.0585","510.8","BESSIE 4 WNW MESONET, OK US","   1113.1","","    1113.1","7","","","","","         0","7","        88","7","         3","7","       212","7","        96","7","  -10.0","7,1214,+","","","","","   42.8","7,0714, ","-2.8","7,1024","-2.8","7,1024","-4.4","7,1026","-10.0","7,1214","-10.0","7,1214","-0.6","7,0415","-2.8","7,0321","-5.6","7,0227","-10.0","7,0221","-10.0","7,0221","    2015.4","4","      28.9","7,3,2","    2015.4","7","      38.3","7,3,2","       1.1","7,3,2","       2.8","7,3,2","      14.4","7,3,2","      21.8","7,3,2","","","","","     16.04","7","     23.09","7","      8.98","7"
