"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"USC00347412","1950","36.54473","-101.08424","826.6","RANGE, OK US","        49","0","        40","0","         7","0","","","","","","","","","  45.2"," ,0,0730, ","    612.2"," ,0","",""
"USC00347412","2001","36.54473","-101.08424","826.6","RANGE, OK US","","","","","","","","","","","         1"," ","","","","","","","",""
"USC00347412","2002","36.54473","-101.08424","826.6","RANGE, OK US","","","","","","","","","","","         9"," ","","","","","","","",""
"USC00347412","2003","36.54473","-101.08424","826.6","RANGE, OK US","","","","","","","","","","","         1"," ","","","","","","","",""
"USC00347412","2004","36.54473","-101.08424","826.6","RANGE, OK US","","","","","","","","","","","         8"," ","","","","","","","",""
"USC00347412","2005","36.54473","-101.08424","826.6","RANGE, OK US","","","","","","","","","","","         5"," ","","","","","","","",""
"USC00347412","2006","36.54473","-101.08424","826.6","RANGE, OK US","","","","","","","","","","","         7"," ","","","","","","","",""
"USC00347412","2007","36.54473","-101.08424","826.6","RANGE, OK US","        33","0","        24","0","         4","0","         8","0","         1"," ","         1"," ","   152"," ,0,0121, ","  58.4"," ,0,0324, ","    380.2"," ,0","      430"," ,0"
"USC00347412","2009","36.54473","-101.08424","826.6","RANGE, OK US","","","","","","","","","","","         1"," ","","","","","","","",""
"USC00347412","2011","36.54473","-101.08424","826.6","RANGE, OK US","        24","7","        18","7","         2","7","","","","","","","","","  41.4"," ,7,0811, ","    197.3"," ,7","",""
