"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HN01","HN01_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","HX01","HX01_ATTRIBUTES","LN01","LN01_ATTRIBUTES","LX01","LX01_ATTRIBUTES","MN01","MN01_ATTRIBUTES","MX01","MX01_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00347640","2010","34.1937","-97.5881","282.9","RINGLING 1 N MESONET, OK US","   1328.9","","    1328.9","0","","","","","","","        0","","         0","0","         0","0","        69","0","         5","0","       227","0","        93","0","  -13.3","0,0109, ","     0"," ,0,1231,+","     0"," ,0,1231,+","","","   40.6","0,0802,+","0.0","0,1029","-2.8","0,1125","-7.2","0,1126","-7.2","0,1126","-10.0","0,1226","-3.3","0,0322","-3.3","0,0322","-4.4","0,0224","-6.7","0,0209","-12.2","0,0110","    1984.9","9","      29.4","0,3,2","    1984.9","0","      40.0","0,3,2","      -2.8","0,3,2","      -0.6","0,3,2","      14.2","0,3,2","      21.6","0,3,2","    687.4"," ,0","        0"," ,0","     17.00","0","     23.33","0","     10.67","0"
"USC00347640","2011","34.1937","-97.5881","282.9","RINGLING 1 N MESONET, OK US","   1703.1","","    1703.1","K","","","","","","","","","","","         0","K","        69","K","         8","K","       242","K","       116","K","  -17.2","K,0210, ","","","","","","","   43.9","K,0803, ","-2.2","K,1104","-2.2","K,1104","-4.4","K,1206","-7.2","K,1207","","","0.0","K,0503","-2.8","K,0306","-5.0","K,0212","-9.4","K,0211","-9.4","K,0211","    1635.6","6","","","    1635.6","K","","","","","","","","","","","","","","","     18.31","K","     25.25","K","     11.37","K"
"USC00347640","2012","34.1937","-97.5881","282.9","RINGLING 1 N MESONET, OK US","   1442.1","","    1442.1","7","","","","","","","","","","","         0","7","        47","7","         2","7","       250","7","       111","7","  -10.0","7,1226, ","","","","","","","   43.9","7,0801, ","-1.7","7,1027","-3.3","7,1112","-7.2","7,1210","-7.2","7,1210","-9.4","7,1211","-1.1","K,0304","-5.0","K,0212","-5.0","K,0212","","","","","    1397.4","4","      31.7","7,3,2","    1397.4","7","      41.7","7,3,2","       0.6","7,3,2","       2.8","7,3,2","      16.5","7,3,2","      24.5","7,3,2","","","","","     18.50","7","     25.22","7","     11.78","7"
"USC00347640","2013","34.1937","-97.5881","282.9","RINGLING 1 N MESONET, OK US","   1262.2","","    1262.2","7","","","","","","","","","","","         0","7","        78","7","         4","7","       218","7","        90","7","  -12.8","7,1210, ","","","","","","","   41.1","7,0901, ","0.0","7,1107","-3.9","7,1112","-7.2","7,1113","-7.2","7,1113","-11.1","7,1207","-0.6","7,0503","-5.6","7,0326","-5.6","7,0326","-8.3","7,0116","","","    1693.9","9","","","    1693.9","7","","","","","","","","","","","","","","","     16.60","7","     23.11","7","     10.09","7"
"USC00347640","2014","34.1937","-97.5881","282.9","RINGLING 1 N MESONET, OK US","   1217.0","","    1217.0","7","","","","","","","","","","","         0","7","        76","7","        11","7","       219","7","        83","7","  -13.3","7,0303,+","","","","","","","   40.0","7,0727, ","-0.6","7,1101","-3.9","7,1112","-5.6","7,1113","-9.4","7,1117","-9.4","7,1117","-2.8","7,0415","-2.8","7,0415","-6.7","7,0304","-6.7","7,0304","-13.3","7,0303","    2003.2","2","","","    2003.2","7","","","","","","","","","","","","","","","     16.50","7","     22.98","7","     10.01","7"
"USC00347640","2015","34.1937","-97.5881","282.9","RINGLING 1 N MESONET, OK US","   1203.4","","    1203.4","7","","","","","","","","","","","         0","7","        59","7","         3","7","       235","7","        91","7","  -11.1","7,0108, ","","","","","","","   38.9","7,0807,+","-1.1","7,1121","-4.4","7,1122","-4.4","7,1122","","","","","-1.7","7,0307","-5.0","7,0306","-5.0","7,0306","-8.9","7,0305","-8.9","7,0305","    1753.1","1","      30.6","7,3,2","    1753.1","7","      40.0","7,3,2","       0.6","7,3,2","       0.6","7,3,2","      15.5","7,3,2","      21.9","7,3,2","   1632.4"," ,7","","","     17.19","7","     23.33","7","     11.06","7"
"USC00347640","2016","34.1937","-97.5881","282.9","RINGLING 1 N MESONET, OK US","   1293.2","","    1293.2","7","        86","7","        60","7","         8","7","","","","","         0","7","        56","7","         1","7","       237","7","        95","7","  -13.3","7,1219,+","","","",""," 135.6"," ,7,0417, ","   40.0","7,0811, ","-1.7","7,1119","-2.2","7,1207","-4.4","7,1208","-10.6","7,1217","-10.6","7,1217","-0.6","7,0325","-3.9","7,0226","-5.0","7,0204","-6.7","7,0118","","","    1370.0","0","      31.7","7,3,2","    1370.0","7","      40.6","7,3,2","      -1.1","7,3,2","       0.6","7,3,2","      16.5","7,3,2","      23.2","7,3,2","    889.6"," ,7","","","     18.05","7","     24.41","7","     11.68","7"
"USC00347640","2017","34.1937","-97.5881","282.9","RINGLING 1 N MESONET, OK US","   1178.4","","    1178.4","7","","","","","","","","","","","         0","7","        48","7","         4","7","       258","7","        75","7","  -16.7","7,0107, ","","","","","","","   38.3","7,0722, ","-1.1","7,1027","-3.3","7,1028","-7.2","7,1207","-7.2","7,1207","-12.2","7,1208","-1.7","7,0314","-3.3","7,0225","-5.6","7,0128","-7.8","7,0108","-16.7","7,0107","    1268.4","4","      31.1","7,3,2","    1268.4","7","      40.0","7,3,2","       0.0","7,3,2","       0.6","7,3,2","      16.3","7,3,2","      23.3","7,3,2","    946.8"," ,7","","","     17.81","7","     24.36","7","     11.27","7"
"USC00347640","2018","34.1937","-97.5881","282.9","RINGLING 1 N MESONET, OK US","   1419.8","","    1419.8","7","        87","7","        45","7","        15","7","","","","","         0","7","        68","7","         5","7","       218","7","        96","7","  -16.1","7,0117, ","","","",""," 164.1"," ,7,0921, ","   43.9","7,0722,+","-3.3","7,1110","-3.3","7,1110","-4.4","7,1113","-8.3","7,1114","","","-0.6","7,0415","-2.2","7,0407","-11.1","7,0212","-11.1","7,0212","-11.1","7,0212","    1657.5","5","      31.7","7,3,2","    1657.5","7","      41.7","7,3,2","      -0.6","7,3,2","       0.6","7,3,2","      15.6","7,3,2","      22.3","7,3,2","   1211.7"," ,7","","","     17.29","7","     23.69","7","     10.89","7"
"USC00347640","2019","34.1937","-97.5881","282.9","RINGLING 1 N MESONET, OK US","   1272.7","","    1272.7","7","","","","","","","","","","","         0","7","        63","7","         3","7","       219","7","        94","7","   -9.4","7,0305,+","","","","","","","   39.4","7,0812, ","-2.8","7,1012","-2.8","7,1012","-5.0","7,1031","-8.3","7,1112","","","-1.1","7,0331","-4.4","7,0306","-4.4","7,0306","-9.4","7,0305","-9.4","7,0305","    1782.4","4","","","    1782.4","7","","","","","","","","","","","    781.8"," ,7","","","     16.95","7","     23.14","7","     10.75","7"
