"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00353895","1917","42.333333","-122.8","486.2","HILLCREST ORCHARD, OR US","    314.3","","     314.3","6","","","","","","","","","         0","6","       101","6","         2","6","       139","6","        43","6","","","  -11.1","6,0117, ","","","","","   40.0","6,0715, ","-2.8","6,1017","-2.8","6,1017","","","","","","","0.0","6,0612","-4.4","6,0331","-4.4","6,0331","-9.4","6,0302","-9.4","6,0302","","","","","","","","","     11.29","6","     18.27","6","      4.32","6"
"USC00353895","1918","42.333333","-122.8","486.2","HILLCREST ORCHARD, OR US","","","","","","","","","","","","","         0","6","        89","6","","","","","","","         6"," ","  -11.1","6,1231, ","","","","","","","-2.2","6,1023","-2.2","6,1023","-5.0","6,1129","-6.7","6,1226","-11.1","6,1231","-0.6","6,0525","-3.9","6,0423","-6.7","6,0404","-6.7","6,0404","","","","","","","","","","","","","","","      5.11","6"
"USC00353895","1919","42.333333","-122.8","486.2","HILLCREST ORCHARD, OR US","    258.9","","     258.9","6","","","","","","","","","         3","6","       102","6","         8","6","       142","6","        41","6","         9"," ","  -22.8","6,1215, ","","","","","   38.9","6,0714, ","0.0","6,1003","-2.2","6,1009","-10.0","6,1127","-10.0","6,1127","-10.0","6,1127","0.0","6,0531","-2.2","6,0414","-6.7","6,0325","-6.7","6,0325","-10.0","6,0105","    2846.9","9","    2846.9","6","","","","","     10.35","6","     17.09","6","      3.61","6"
"USC00353895","1920","42.333333","-122.8","486.2","HILLCREST ORCHARD, OR US","","","","","","","","","","","","","         0","6","        91","6","","","","","","","         4"," ","   -7.2","6,0220, ","","","","","","","0.0","6,1029","-3.3","6,1105","-5.0","6,1107","","","","","0.0","6,0505","-3.3","6,0424","-5.0","6,0226","-6.7","6,0225","","","    3226.8","8","    3226.8","6","","","","","","","","","      3.88","6"
"USC00353895","1922","42.333333","-122.8","486.2","HILLCREST ORCHARD, OR US","    368.7","","     368.7","6","        98","6","        60","6","         1","6","","","         0","6","       108","6","         1","6","       160","6","        69","6","         3"," ","  -12.8","6,0119, ","","","  26.7"," ,6,1205, ","   41.7","6,0702, ","-3.3","6,1029","-3.3","6,1029","-4.4","6,1208","-7.2","6,1216","","","-1.1","6,0526","-2.2","6,0417","-5.6","6,0228","-8.9","6,0122","-8.9","6,0122","","","","","    471.6"," ,6","","","     11.64","6","     19.26","6","      4.01","6"
"USC00353895","1923","42.333333","-122.8","486.2","HILLCREST ORCHARD, OR US","","","","","","","","","","","","","","","","","","","","","","","         4"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00353895","1924","42.333333","-122.8","486.2","HILLCREST ORCHARD, OR US","","","","","","","","","","","","","","","","","","","","","","","         6"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00353895","1925","42.333333","-122.8","486.2","HILLCREST ORCHARD, OR US","","","","","        96","6","        64","6","         1","6","         0","6","         0","6","        55","6","         0","6","       177","6","        52","6","         1"," ","   -6.7","6,1208, ","     0"," ,6,1231,+","  26.2"," ,6,0917, ","   41.1","6,0624, ","-2.2","6,1013","-2.2","6,1013","-4.4","6,1121","-6.7","6,1208","","","-0.6","6,0425","-3.9","6,0401","","","","","","","","","","","    468.8"," ,6","        0"," ,6","     12.82","6","     20.46","6","      5.17","6"
"USC00353895","1926","42.333333","-122.8","486.2","HILLCREST ORCHARD, OR US","    412.5","","     412.5","6","        84","6","        53","6","         4","6","         0","6","         0","6","        76","6","         0","6","       209","6","        77","6","","","   -9.4","6,0112, ","     0","T,6,1225, ","  51.6"," ,6,1118, ","   41.7","6,0606, ","0.0","6,0923","-2.8","6,1210","-8.3","6,1214","-8.3","6,1214","","","0.0","6,0509","-2.2","6,0322","-5.0","6,0126","-6.7","6,0113","-9.4","6,0112","    2181.1","1","    2181.1","6","    528.2"," ,6","        0","T,6","     13.74","6","     22.42","6","      5.07","6"
"USC00353895","1928","42.333333","-122.8","486.2","HILLCREST ORCHARD, OR US","","","","","","","","","","","","","","","","","","","","","","","         1"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
