"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HN01","HN01_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","HX01","HX01_ATTRIBUTES","LN01","LN01_ATTRIBUTES","LX01","LX01_ATTRIBUTES","MN01","MN01_ATTRIBUTES","MX01","MX01_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"USC00403447","2000","35.05692","-89.7524","112.2","GERMANTOWN 4 SE, TN US","","","","","","","","","","","","","","","","","","","","","","","","","","","         4"," ","         2"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00403447","2001","35.05692","-89.7524","112.2","GERMANTOWN 4 SE, TN US","","","   1163.7","","    1163.7","0","       110","0","        77","0","        21","0","","","         1","0","         0","0","        61","0","         3","0","       228","0","        78","0","         5"," ","        35"," ","  -13.9","0,0103, ","","","    25"," ,0,0101, "," 136.4"," ,0,1129, ","   36.7","0,0822,+","0.0","0,1027","-3.9","0,1121","-4.4","0,1220","-7.8","0,1226","","","-5.0","0,0327","-5.0","0,0327","-5.0","0,0327","-7.2","0,0203","-9.4","0,0110","","","","","","","","","","","","","","","","","   1571.8"," ,0","       25"," ,0","     17.00","0","     23.50","0","     10.49","0","","","",""
"USC00403447","2002","35.05692","-89.7524","112.2","GERMANTOWN 4 SE, TN US","","","","","","","","","","","","","","","         2","0","","","","","","","","","","","         1"," ","        28"," ","","","","","    76"," ,0,0206, ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","      101"," ,0","","","","","","","","","",""
"USC00403447","2003","35.05692","-89.7524","112.2","GERMANTOWN 4 SE, TN US","","","","","","","       123","0","        89","0","        22","0","        2","","         0","0","         0","0","        75","0","","","","","","","         1"," ","        34"," ","  -14.4","0,0124, ","    25"," ,0,0225,+","    13"," ,0,0224, ","  94.2"," ,0,0517, ","","","-0.6","0,1114","-4.4","0,1125","-4.4","0,1125","","","","","-1.7","0,0331","-2.2","0,0310","-5.0","0,0226","-7.8","0,0209","-10.6","0,0208","","","","","","","","","","","","","","","","","   1637.1"," ,0","       13"," ,0","","","","","      9.79","0","","","",""
"USC00403447","2004","35.05692","-89.7524","112.2","GERMANTOWN 4 SE, TN US","","","","","","","       130","0","        94","0","        20","0","","","         2","0","         0","0","        58","0","         2","0","       214","0","        50","0","         2"," ","        22"," ","  -11.7","0,1225, ","","","    51"," ,0,1223, ","  74.7"," ,0,0205, ","   36.7","0,0714, ","-1.1","0,1128","-3.9","0,1202","-8.3","0,1215","-8.3","0,1215","-8.9","0,1223","-1.7","0,0322","-2.8","0,0310","-6.7","0,0209","-6.7","0,0209","-8.9","0,0208","","","","","","","","","","","","","","","","","   1576.0"," ,0","       76"," ,0","     16.72","0","     22.82","0","     10.62","0","","","",""
"USC00403447","2005","35.05692","-89.7524","112.2","GERMANTOWN 4 SE, TN US","","","","","","","","","","","","","","","","","","","","","","","","","","","         1"," ","        18"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00403447","2006","35.05692","-89.7524","112.2","GERMANTOWN 4 SE, TN US","","","   1166.9","","    1166.9","0","       100","0","        68","0","        13","0","        2","","         0","0","         0","0","        61","0","         1","0","       231","0","        88","0","         9"," ","        20"," ","  -11.1","0,1208, ","    25"," ,0,0212,+","    10"," ,0,0211, ","  64.8"," ,0,0123, ","   39.4","0,0720, ","0.0","0,1014","-3.3","0,1103","-5.0","0,1121","-8.3","0,1204","-11.1","0,1208","-1.7","0,0324","-2.2","0,0304","-8.9","0,0220","-8.9","0,0220","-8.9","0,0220","","","","","","","","","","","","","","","","","   1115.5"," ,0","       10"," ,0","     17.16","0","     23.68","0","     10.62","0","","","",""
"USC00403447","2007","35.05692","-89.7524","112.2","GERMANTOWN 4 SE, TN US","","","   1317.6","","    1317.6","0","        97","0","        69","0","         7","0","        1","","         1","0","         0","0","        67","0","         3","0","       233","0","        97","0","         3"," ","        24"," ","   -8.9","0,0216,+","    51"," ,0,0202, ","    38"," ,0,0202, ","  48.8"," ,0,0415,+","   41.1","0,0816, ","-2.2","0,1107","-2.2","0,1107","-5.0","0,1217","","","","","-1.1","0,0409","-3.3","0,0408","-7.2","0,0218","-7.2","0,0218","-8.9","0,0216","    1652.2","2","","","    1652.2","0","","","","","","","","","","","    939.5"," ,0","       38"," ,0","     17.41","0","     23.85","0","     10.98","0","","","",""
"USC00403447","2008","35.05692","-89.7524","112.2","GERMANTOWN 4 SE, TN US","","","   1065.0","","    1065.0","0","       117","0","        81","0","        17","0","        1","","         1","0","         0","0","        77","0","         6","0","       214","0","        72","0","         6"," ","        36"," ","  -11.1","0,1222, ","   102"," ,0,0308, ","   102"," ,0,0308, ","  86.1"," ,0,1210, ","   37.8","0,0722,+","-0.6","0,1028","-2.2","0,1110","-8.3","0,1122","-8.3","0,1122","-11.1","0,1222","-1.1","0,0415","-2.2","0,0324","-5.6","0,0309","-6.7","0,0126","-8.9","0,0121","    1736.1","1","","","    1736.1","0","","","","","","","","","","","   1438.3"," ,0","      102"," ,0","     15.97","0","     22.19","0","      9.75","0","","","",""
"USC00403447","2009","35.05692","-89.7524","112.2","GERMANTOWN 4 SE, TN US","","","   1007.1","","    1007.1","0","       124","0","        91","0","        23","0","        3","","         1","0","         0","0","        65","0","         4","0","       215","0","        55","0","        11"," ","        43"," ","  -12.8","0,0116, ","   152"," ,0,0301, ","   152"," ,0,0301, ","  70.4"," ,0,1010, ","   37.2","0,0628,+","-2.2","0,1127","-2.2","0,1127","-6.7","0,1205","-6.7","0,1205","","","-1.1","0,0305","-2.2","0,0304","-6.1","0,0303","-7.8","0,0205","-8.9","0,0122","    1890.2","2","","","    1890.2","0","","","","","","","","","","","   1564.9"," ,0","      165"," ,0","     16.05","0","     21.78","0","     10.32","0","","","",""
"USC00403447","2010","35.05692","-89.7524","112.2","GERMANTOWN 4 SE, TN US","","","   1290.4","","    1290.4","0","        97","0","        63","0","        15","0","        5","","         1","0","         0","0","        86","0","        15","0","       223","0","        93","0","         3"," ","        33"," ","  -13.3","0,0108, ","   102"," ,0,0208, ","   102"," ,0,0208, ","  98.3"," ,0,0502, ","   40.0","0,0804, ","-0.6","0,1030","-2.2","0,1106","-7.2","0,1206","-7.2","0,1206","-9.4","0,1213","-4.4","0,0306","-4.4","0,0306","-4.4","0,0306","-7.8","0,0225","-10.0","0,0201","    1993.5","5","","","    1993.5","0","","","","","","","","","","","   1180.9"," ,0","      140"," ,0","     16.25","0","     22.51","0","      9.99","0","","","",""
"USC00403447","2011","35.05692","-89.7524","112.2","GERMANTOWN 4 SE, TN US","       2.0","7","   1187.1","","    1187.1","7","       114","7","        85","7","        18","7","       10","","         4","7","         0","7","        57","7","         7","7","       213","7","        84","7","         1"," ","        25"," ","  -12.8","7,0211, ","   102"," ,7,0210,+","    91"," ,7,0110, "," 105.9"," ,7,0427, ","   40.6","7,0804, ","-0.6","7,1030","-3.9","7,1118","-5.6","7,1211","","","","","0.0","K,0316","-2.2","K,0311","-5.6","K,0308","-11.1","K,0212","-11.1","K,0212","    1845.4","4","","","    1845.4","7","","","","","","","","","","","   1477.3"," ,7","      287"," ,7","     16.73","7","     22.53","7","     10.92","7","        17","7","     111.8","7"
"USC00403447","2012","35.05692","-89.7524","112.2","GERMANTOWN 4 SE, TN US","       2.0","7","   1153.6","","    1153.6","7","       108","7","        71","7","        13","7","        0","","         0","7","         0","7","        46","7","         1","7","       234","7","        74","7","","","        19"," ","   -7.2","7,0103, ","     0","T,7,1227,+","     8"," ,7,1226, ","  67.8"," ,7,0601, ","   38.3","7,0706,+","-1.7","7,1108","-2.8","7,1113","-4.4","7,1212","-6.7","7,1230","","","-2.2","7,0226","-2.2","7,0226","-6.1","7,0213","-7.2","7,0103","","","    1441.6","6","","","    1441.6","7","","","","","","","","","","","   1192.5"," ,7","        8"," ,7","     17.40","7","     23.47","7","     11.33","7","        21","7","     111.8","7"
"USC00403447","2013","35.05692","-89.7524","112.2","GERMANTOWN 4 SE, TN US","       1.8","7","   1005.0","","    1005.0","7","       122","7","        75","7","        23","7","        0","","         0","7","         0","7","        80","7","         6","7","       194","7","        48","7","         7"," ","        18"," ","   -7.8","7,1128, ","     0","T,7,1207, ","     0","T,7,1231,+","  79.2"," ,7,0723, ","   36.7","7,0628, ","0.0","7,1108","-3.3","7,1113","-5.6","7,1114","-7.8","7,1128","","","-2.8","7,0328","-2.8","7,0328","-6.1","7,0303","","","","","    1955.9","9","      26.7","7,5,1","    1955.9","7","      28.9","7,5,1","       4.4","7,5,1","       5.6","7,5,1","      15.7","7,5,1","      17.5","7,5,1","   1499.3"," ,7","        0","T,7","     15.42","7","     20.99","7","      9.85","7","        14","7","     111.8","7"
