"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HN01","HN01_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","HX01","HX01_ATTRIBUTES","LN01","LN01_ATTRIBUTES","LX01","LX01_ATTRIBUTES","MN01","MN01_ATTRIBUTES","MX01","MX01_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00412354","1979","31.91461","-105.20982","1130.2","DELL CITY 5 SSW, TX US","","","","","","","","","","","","","","","","","","","","","","","","","","","         8"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00412354","1980","31.91461","-105.20982","1130.2","DELL CITY 5 SSW, TX US","","","","","        47","0","        22","0","         2","0","        0","","         2","0","","","","","","","","","","","","","         2"," ","","","     0"," ,0,1231,+","    51"," ,0,0209,+","  50.8"," ,0,1116, ","","","","","","","","","","","","","","","","","","","","","","","","","    1787.9","9","","","    1787.9"," ","","","","","","","","","","","    235.4"," ,0","      102"," ,0","","","","","","","",""
"USC00412354","1981","31.91461","-105.20982","1130.2","DELL CITY 5 SSW, TX US","","","","","","","","","","","","","","","","","","","","","","","","","","","         2"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00412354","1982","31.91461","-105.20982","1130.2","DELL CITY 5 SSW, TX US","    958.6","","     958.6","0","        33","0","        21","0","         1","0","","","         3","0","         0","0","        92","0","         0","0","       248","0","       117","0","         2"," ","         4"," ","  -13.9","0,0114, ","","","    76"," ,0,0113, ","  30.5"," ,0,1001, ","   40.0","0,0628, ","","","-3.3","0,1029","-3.3","0,1029","-4.4","0,1104","-6.7","0,1231","","","0.0","0,0425","-4.4","0,0308","-4.4","0,0308","-6.7","0,0307","-8.9","0,0206","","","      27.2","0,0,2","","","      40.6","0,0,2","      -1.7","0,0,2","       1.7","0,0,2","      14.3","0,0,2","      23.9","0,0,2","    215.8"," ,0","      165"," ,0","     16.07","0","     25.25","0","      6.89","0","",""
"USC00412354","1983","31.91461","-105.20982","1130.2","DELL CITY 5 SSW, TX US","    970.2","","     970.2","0","","","","","","","","","","","         1","0","        95","0","         5","0","       236","0","       120","0","","","","","  -17.8","0,1229, ","","","","","","","   40.0","0,0717,+","","","0.0","0,1110","-2.2","0,1116","-7.8","0,1128","-7.8","0,1128","-11.1","0,1224","0.0","0,0503","-2.8","0,0414","-5.0","0,0409","-12.8","0,0104","-12.8","0,0104","    1844.9","9","      30.6","0,0,2","    1844.9","0","      41.1","0,0,2","      -1.1","0,0,2","       1.7","0,0,2","      14.3","0,0,2","      23.7","0,0,2","","","","","     15.95","0","     24.97","0","      6.92","0","",""
"USC00412354","1984","31.91461","-105.20982","1130.2","DELL CITY 5 SSW, TX US","    925.8","","     925.8","0","        40","0","        27","0","         0","0","","","         0","0","         0","0","       101","0","         0","0","       239","0","       107","0","","","","","  -10.0","0,0221, ","","","     0"," ,0,1231,+","  22.9"," ,0,1024, ","   38.3","0,0711,+","","","-1.1","0,1110","-2.2","0,1111","-6.1","0,1127","","","","","-0.6","0,0430","-4.4","0,0324","-4.4","0,0324","-8.3","0,0306","-10.0","0,0221","    1799.9","9","      27.8","0,0,2","    1799.9","0","      40.6","0,0,2","       0.6","0,0,2","       3.9","0,0,2","      14.1","0,0,2","      22.9","0,0,2","    253.2"," ,0","        0"," ,0","     15.77","0","     24.61","0","      6.92","0","",""
"USC00412354","1985","31.91461","-105.20982","1130.2","DELL CITY 5 SSW, TX US","    852.4","","     852.4","0","        46","0","        27","0","         1","0","","","","","         0","0","        97","0","         4","0","       244","0","        99","0","","","","","  -14.4","0,1214,+","","","","","  44.7"," ,0,0623, ","   39.4","0,0617,+","","","-1.7","0,1102","-5.6","0,1115","-5.6","0,1115","-9.4","0,1212","-9.4","0,1212","-2.2","0,0402","-2.2","0,0402","-6.7","0,0305","-6.7","0,0305","-12.8","0,0203","    1790.9","9","      28.3","0,0,2","    1790.9","0","      45.0","0,0,2","       0.0","0,0,2","       2.8","0,0,2","      14.2","0,0,2","      25.2","0,0,2","    252.2"," ,0","","","     15.60","0","     24.89","0","      6.30","0","",""
"USC00412354","1986","31.91461","-105.20982","1130.2","DELL CITY 5 SSW, TX US","","","","","        61","0","        31","0","         2","0","        0","","         0","0","","","","","","","","","","","","","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+","  30.0"," ,0,0702, ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    360.3"," ,0","        0"," ,0","","","","","","","",""
"USC00412354","1987","31.91461","-105.20982","1130.2","DELL CITY 5 SSW, TX US","","","","","","","","","","","        0","","         0","0","","","","","","","","","","","","","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","        0"," ,0","","","","","","","",""
"USC00412354","1988","31.91461","-105.20982","1130.2","DELL CITY 5 SSW, TX US","","","","","","","","","","","        0","","         0","0","","","","","","","","","","","","","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","        0"," ,0","","","","","","","",""
"USC00412354","1989","31.91461","-105.20982","1130.2","DELL CITY 5 SSW, TX US","   1120.5","","    1120.5","0","        37","0","        13","0","         0","0","        0","","         0","0","         1","0","        93","0","         2","0","       268","0","       135","0","","","","","  -20.0","0,1222, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  21.1"," ,0,0528, ","   42.2","0,0703, ","","","-1.1","0,1019","-3.3","0,1020","-4.4","0,1103","-7.2","0,1205","-16.7","0,1212","-0.6","0,0428","-2.8","0,0411","-8.3","0,0306","-8.3","0,0306","-9.4","0,0206","    1516.1","1","","","    1516.1","0","","","","","","","","","","","    145.1"," ,0","        0"," ,0","     16.99","0","     26.71","0","      7.27","0","",""
"USC00412354","1991","31.91461","-105.20982","1130.2","DELL CITY 5 SSW, TX US","","","","","        53","0","        42","0","         5","0","        0","","         0","0","","","","","","","","","","","","","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+","  38.9"," ,0,0522, ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    465.2"," ,0","        0"," ,0","","","","","","","",""
"USC00412354","1992","31.91461","-105.20982","1130.2","DELL CITY 5 SSW, TX US","    939.8","","     939.8","0","        55","0","        28","0","         2","0","        0","","         0","0","         0","0","       106","0","         0","0","       247","0","       120","0","","","","","  -11.1","0,1128, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  48.3"," ,0,0523, ","   41.7","0,0707, ","","","-1.1","0,1104","-3.3","0,1107","-5.0","0,1113","-7.2","0,1125","-10.0","0,1126","-2.8","0,0404","-2.8","0,0404","-5.0","0,0312","-6.7","0,0124","","","","","      29.4","0,0,2","","","      37.8","0,0,2","      -3.9","0,0,2","       1.7","0,0,2","      14.5","0,0,2","      20.9","0,0,2","    321.8"," ,0","        0"," ,0","     16.14","0","     25.81","0","      6.47","0","",""
"USC00412354","1993","31.91461","-105.20982","1130.2","DELL CITY 5 SSW, TX US","   1043.0","","    1043.0","0","","","","","","","","","","","         0","0","        87","0","         0","0","       243","0","       118","0","","","","","  -12.8","0,1127, ","","","","","","","   41.7","0,0708, ","","","-0.6","0,1022","-6.1","0,1030","-6.1","0,1030","-9.4","0,1126","-9.4","0,1126","-0.6","0,0415","-2.8","0,0409","-6.7","0,0313","-6.7","0,0313","","","    1533.5","5","      31.7","0,0,2","    1533.5","0","      36.1","0,0,2","       0.6","0,0,2","       4.4","0,0,2","      15.4","0,0,2","      21.5","0,0,2","","","","","     16.70","0","     26.12","0","      7.28","0","",""
"USC00412354","1994","31.91461","-105.20982","1130.2","DELL CITY 5 SSW, TX US","   1195.6","","    1195.6","0","        38","0","        22","0","         0","0","        0","","         0","0","         0","0","        84","0","         0","0","       265","0","       124","0","","","","","  -13.9","0,0131, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  14.2"," ,0,0728, ","   46.1","0,0628, ","","","0.0","0,1105","-3.9","0,1120","-5.0","0,1128","-8.9","0,1130","-8.9","0,1130","-1.7","0,0407","-3.9","0,0329","-6.1","0,0328","-7.2","0,0310","-12.8","0,0202","    1561.3","3","      31.7","0,0,2","    1561.3","0","      38.9","0,0,2","      -1.1","0,0,2","       3.9","0,0,2","      16.3","0,0,2","      22.9","0,0,2","    158.6"," ,0","        0"," ,0","     17.48","0","     27.39","0","      7.57","0","",""
