"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00413063","1908","27.1354","-98.1202","42.4","FALFURRIAS, TX US","   2354.5","","    2354.5","0","        41","0","        37","0","         9","0","        0","","         0","0","         0","0","         3","0","         0","0","       337","0","       192","0","","","","","   -1.1","0,0220, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  65.5"," ,0,0515, ","   40.0","0,0810,+","0.0","0,1115","","","","","","","-1.1","0,0220","","","","","","","","","","","","","    564.6"," ,0","        0"," ,0","     23.93","0","     30.87","0","     16.98","0"
"USC00413063","1909","27.1354","-98.1202","42.4","FALFURRIAS, TX US","   2244.6","","    2244.6","0","        39","0","        35","0","         7","0","        0","","         0","0","         0","0","        12","0","         0","0","       337","0","       191","0","","","","","   -5.0","0,0216, ","     0"," ,0,1231,+","     0"," ,0,1231,+"," 131.1"," ,0,0827, ","   41.7","0,0818, ","-3.3","0,1213","-3.3","0,1213","","","","","-1.7","0,0225","-5.0","0,0216","-5.0","0,0216","","","","","     370.1","1","     370.1","0","    645.6"," ,0","        0"," ,0","     23.40","0","     30.74","0","     16.05","0"
"USC00413063","1910","27.1354","-98.1202","42.4","FALFURRIAS, TX US","   2024.1","","    2024.1","0","        38","0","        32","0","         4","0","        0","","         0","0","         0","0","        13","0","         0","0","       338","0","       170","0","","","","","   -8.9","0,0107, ","     0"," ,0,1231,+","     0"," ,0,1231,+"," 101.6"," ,0,0518, ","   42.8","0,0704, ","-2.2","0,1029","-2.2","0,1029","","","","","-1.7","0,0219","-6.7","0,0218","-6.7","0,0218","-6.7","0,0218","-8.9","0,0107","     454.2","2","     454.2","0","    551.2"," ,0","        0"," ,0","     22.69","0","     30.66","0","     14.72","0"
"USC00413063","1911","27.1354","-98.1202","42.4","FALFURRIAS, TX US","   2303.1","","    2303.1","0","        45","0","        38","0","         2","0","        0","","         0","0","         0","0","         9","0","         0","0","       320","0","       197","0","","","","","  -12.2","0,0104, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  48.0"," ,0,1031, ","   41.1","0,0828,+","-2.8","0,1129","-2.8","0,1129","-6.7","0,1130","-6.7","0,1130","-1.1","0,0224","-6.1","0,0105","-6.1","0,0105","-12.2","0,0104","-12.2","0,0104","     327.0","0","     327.0","0","    431.3"," ,0","        0"," ,0","     23.48","0","     31.01","0","     15.95","0"
"USC00413063","1912","27.1354","-98.1202","42.4","FALFURRIAS, TX US","   2058.8","","    2058.8","0","        46","0","        40","0","         6","0","        0","","         0","0","         0","0","        18","0","         0","0","       309","0","       161","0","","","","","   -6.7","0,0113, ","     0"," ,0,1231,+","     0","T,0,0204,+","  99.1"," ,0,1016, ","   40.6","0,0925,+","-0.6","0,1103","","","","","","","-1.1","0,0222","-5.6","0,0207","-5.6","0,0207","-6.7","0,0113","","","     642.9","9","     642.9","0","    633.9"," ,0","        0","T,0","     22.19","0","     29.34","0","     15.04","0"
"USC00413063","1913","27.1354","-98.1202","42.4","FALFURRIAS, TX US","   1929.6","","    1929.6","0","        55","0","        50","0","         7","0","        0","","         0","0","         0","0","        16","0","         0","0","       316","0","       154","0","","","","","   -2.8","0,0107, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  55.6"," ,0,0908, ","   40.6","0,0907,+","0.0","0,1027","","","","","","","-0.6","0,0327","-2.8","0,0107","","","","","","","     621.6","6","     621.6","0","    584.8"," ,0","        0"," ,0","     22.12","0","     29.46","0","     14.78","0"
"USC00413063","1914","27.1354","-98.1202","42.4","FALFURRIAS, TX US","   1994.3","","    1994.3","0","        54","0","        48","0","        10","0","        0","","         0","0","         0","0","         9","0","         0","0","       311","0","       145","0","","","","","   -6.1","0,0131, ","     0"," ,0,1231,+","     0","T,0,1215,+","  89.4"," ,0,0517, ","   42.2","0,0804, ","0.0","0,1214","","","","","","","0.0","0,0323","-4.4","0,0226","-4.4","0,0226","","","","","     437.8","8","     437.8","0","    813.0"," ,0","        0","T,0","     22.16","0","     29.25","0","     15.07","0"
"USC00413063","1915","27.1354","-98.1202","42.4","FALFURRIAS, TX US","   2104.0","","    2104.0","0","        37","0","        32","0","         3","0","        0","","         0","0","         0","0","        18","0","         0","0","       320","0","       165","0","","","","","   -3.9","0,0125, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  49.5"," ,0,0504, ","   42.8","0,0819, ","-0.6","0,1115","-3.3","0,1221","","","","","-0.6","0,0322","-3.9","0,0125","","","","","","","     704.3","3","     704.3","0","    391.0"," ,0","        0"," ,0","     22.55","0","     30.00","0","     15.10","0"
"USC00413063","1916","27.1354","-98.1202","42.4","FALFURRIAS, TX US","   2099.8","","    2099.8","0","        49","0","        39","0","         9","0","        0","","         0","0","         0","0","        14","0","         0","0","       343","0","       170","0","","","","","   -6.7","0,1222, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  76.2"," ,0,0818, ","   42.8","0,0606, ","0.0","0,1114","-6.1","0,1209","-6.1","0,1209","-6.7","0,1222","0.0","0,0215","-5.0","0,0203","-5.0","0,0203","","","","","     295.7","7","     295.7","0","    694.0"," ,0","        0"," ,0","     23.13","0","     31.10","0","     15.15","0"
"USC00413063","1917","27.1354","-98.1202","42.4","FALFURRIAS, TX US","   2139.3","","    2139.3","0","        29","0","        24","0","         2","0","        0","","         0","0","         0","0","        15","0","         0","0","       327","0","       185","0","","","","","   -8.3","0,0305, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  43.2"," ,0,0829, ","   41.7","0,0823,+","-0.6","0,1030","-7.8","0,1230","-7.8","0,1230","-7.8","0,1230","-8.3","0,0305","-8.3","0,0305","-8.3","0,0305","-8.3","0,0305","","","     471.5","5","     471.5","0","    228.1"," ,0","        0"," ,0","     22.94","0","     31.04","0","     14.85","0"
