"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"USC00414363","1950","30.36133","-100.30508","668.4","HUMBLE PUMP STATION 5 WNW, TX US","        42","0","        37","0","         7","0","","","","","","","","","","","  50.8"," ,0,0531, ","    485.6"," ,0","",""
"USC00414363","1952","30.36133","-100.30508","668.4","HUMBLE PUMP STATION 5 WNW, TX US","        29","0","        22","0","         0","0","","","","","","","","","","","  16.0"," ,0,0517, ","    203.2"," ,0","",""
"USC00414363","1960","30.36133","-100.30508","668.4","HUMBLE PUMP STATION 5 WNW, TX US","        38","0","        35","0","         8","0","","","","","","","","","","","  83.8"," ,0,0815, ","    570.7"," ,0","",""
"USC00414363","1967","30.36133","-100.30508","668.4","HUMBLE PUMP STATION 5 WNW, TX US","        31","0","        27","0","         6","0","        0","","         0","0","         3"," ","     0"," ,0,1231,+","    13"," ,0,0206, "," 127.0"," ,0,0719, ","    620.2"," ,0","       13"," ,0"
"USC00414363","1968","30.36133","-100.30508","668.4","HUMBLE PUMP STATION 5 WNW, TX US","        44","0","        44","0","        18","0","        0","","         0","0","","","     0"," ,0,1231,+","     0","T,0,1108,+","  44.5"," ,0,0401, ","    786.7"," ,0","        0","T,0"
"USC00414363","1971","30.36133","-100.30508","668.4","HUMBLE PUMP STATION 5 WNW, TX US","        34","0","        34","0","         9","0","        0","","         0","0","","","     0"," ,0,1231,+","     0"," ,0,1231,+","  86.6"," ,0,0725, ","    652.8"," ,0","        0"," ,0"
"USC00414363","1973","30.36133","-100.30508","668.4","HUMBLE PUMP STATION 5 WNW, TX US","        37","0","        35","0","         5","0","        0","","         0","0","","","     0"," ,0,1231,+","     0"," ,0,1231,+","  55.6"," ,0,1013, ","    604.2"," ,0","        0"," ,0"
"USC00414363","1974","30.36133","-100.30508","668.4","HUMBLE PUMP STATION 5 WNW, TX US","        31","0","        30","0","        11","0","        0","","         0","0","","","     0"," ,0,1231,+","     0"," ,0,1231,+"," 119.9"," ,0,0829, ","    771.4"," ,0","        0"," ,0"
"USC00414363","1975","30.36133","-100.30508","668.4","HUMBLE PUMP STATION 5 WNW, TX US","        35","0","        33","0","         9","0","        0","","         0","0","","","     0"," ,0,1231,+","     0"," ,0,1231,+","  83.8"," ,0,1103, ","    744.0"," ,0","        0"," ,0"
"USC00414363","1976","30.36133","-100.30508","668.4","HUMBLE PUMP STATION 5 WNW, TX US","        44","0","        42","0","         5","0","        0","","         0","0","","","     0"," ,0,1231,+","     0"," ,0,1231,+","  57.9"," ,0,0920, ","    662.7"," ,0","        0"," ,0"
"USC00414363","1977","30.36133","-100.30508","668.4","HUMBLE PUMP STATION 5 WNW, TX US","        20","0","        20","0","         6","0","        0","","         0","0","","","     0"," ,0,1231,+","     0"," ,0,1231,+","  67.3"," ,0,0416, ","    457.7"," ,0","        0"," ,0"
"USC00414363","1979","30.36133","-100.30508","668.4","HUMBLE PUMP STATION 5 WNW, TX US","        28","0","        28","0","         3","0","        0","","         0","0","","","     0"," ,0,1231,+","     0"," ,0,1231,+","  36.8"," ,0,0521, ","    416.9"," ,0","        0"," ,0"
"USC00414363","1980","30.36133","-100.30508","668.4","HUMBLE PUMP STATION 5 WNW, TX US","        26","0","        25","0","         7","0","        0","","         0","0","","","     0"," ,0,1231,+","     0"," ,0,1231,+","  67.3"," ,0,1019, ","    432.8"," ,0","        0"," ,0"
"USC00414363","1981","30.36133","-100.30508","668.4","HUMBLE PUMP STATION 5 WNW, TX US","        30","0","        30","0","        12","0","        0","","         0","0","","","     0"," ,0,1231,+","     0"," ,0,1231,+","  68.3"," ,0,1007, ","    639.1"," ,0","        0"," ,0"
"USC00414363","1983","30.36133","-100.30508","668.4","HUMBLE PUMP STATION 5 WNW, TX US","        29","0","        26","0","         6","0","","","         0","0","","","","","     0"," ,0,1231,+","  74.9"," ,0,1020, ","    472.4"," ,0","        0"," ,0"
"USC00414363","1986","30.36133","-100.30508","668.4","HUMBLE PUMP STATION 5 WNW, TX US","        41","0","        40","0","        11","0","        0","","         0","0","","","     0"," ,0,1231,+","     0"," ,0,1231,+","  87.1"," ,0,1006, ","    800.3"," ,0","        0"," ,0"
"USC00414363","1987","30.36133","-100.30508","668.4","HUMBLE PUMP STATION 5 WNW, TX US","        39","0","        39","0","         8","0","        0","","         0","0","","","     0"," ,0,1231,+","     0"," ,0,1231,+"," 104.1"," ,0,0715, ","    731.9"," ,0","        0"," ,0"
"USC00414363","1989","30.36133","-100.30508","668.4","HUMBLE PUMP STATION 5 WNW, TX US","        17","0","        17","0","         4","0","        0","","         0","0","","","     0"," ,0,1231,+","     0"," ,0,1231,+","  68.6"," ,0,0217, ","    385.6"," ,0","        0"," ,0"
"USC00414363","1990","30.36133","-100.30508","668.4","HUMBLE PUMP STATION 5 WNW, TX US","        36","0","        35","0","        11","0","        0","","         0","0","","","     0"," ,0,1231,+","     0"," ,0,1231,+"," 162.6"," ,0,0716, ","    907.1"," ,0","        0"," ,0"
