"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HN01","HN01_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","HX01","HX01_ATTRIBUTES","LN01","LN01_ATTRIBUTES","LX01","LX01_ATTRIBUTES","MN01","MN01_ATTRIBUTES","MNPN","MNPN_ATTRIBUTES","MX01","MX01_ATTRIBUTES","MXPN","MXPN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00417944","1947","31.37083","-100.49432","576.1","SAN ANGELO WEATHER FORECAST OFFICE, TX US","","","","","","","","","","","","","","","","","","","","","","","","","        13"," ","         1"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00417944","1948","31.37083","-100.49432","576.1","SAN ANGELO WEATHER FORECAST OFFICE, TX US","","","","","","","","","","","","","","","","","","","","","","","","","        20"," ","         6"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00417944","2004","31.37083","-100.49432","576.1","SAN ANGELO WEATHER FORECAST OFFICE, TX US","   1201.6","","    1201.6","0","        94","0","        58","0","         8","0","        0","","         0","0","         0","0","        46","0","         5","0","       245","0","        85","0","","","","","   -8.3","0,1225, ","     0","T,0,0226,+","    13"," ,0,1222, ","  53.1"," ,0,0829, ","   41.1","0,0602, ","","","-5.6","0,1201","-5.6","0,1201","-5.6","0,1201","-6.7","0,1202","","","-2.8","0,0227","-2.8","0,0227","-4.4","0,0216","-6.7","0,0214","","","    1267.3","3","      28.9","0,1,2","    1267.3","0","      35.6","0,1,2","       0.6","0,1,2","       2.2","0,1,2","      17.2","0,1,2","","","      21.5","0,1,2","","","    791.9"," ,0","       21"," ,0","     17.97","0","     24.59","0","     11.35","0","     50325","0"
"USC00417944","2005","31.37083","-100.49432","576.1","SAN ANGELO WEATHER FORECAST OFFICE, TX US","   1248.4","","    1248.4","0","        58","0","        38","0","         5","0","        0","","         0","0","         0","0","        47","0","         1","0","       266","0","       109","0","","","","","  -12.8","0,1210, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  48.5"," ,0,0306, ","   41.1","0,0704, ","","","-0.6","0,1025","-4.4","0,1116","-4.4","0,1116","-7.2","0,1206","-10.6","0,1208","-1.1","0,0402","-4.4","0,0317","-4.4","0,0317","-6.7","0,0117","","","    1327.6","6","","","    1327.6","0","","","","","","","","","","","","","","","    533.3"," ,0","        0"," ,0","     18.07","0","     25.48","0","     10.67","0","     48532","0"
"USC00417944","2006","31.37083","-100.49432","576.1","SAN ANGELO WEATHER FORECAST OFFICE, TX US","   1461.3","","    1461.3","0","        45","0","        24","0","         4","0","        0","","         0","0","         0","0","        57","0","         1","0","       285","0","       119","0","","","","","  -10.6","0,1204, ","     0","T,0,1130, ","     0","T,0,1201,+","  98.0"," ,0,0828, ","   39.4","0,0812,+","    2679.0","0","-1.7","0,1116","-2.2","0,1118","-7.8","0,1201","-7.8","0,1201","-10.6","0,1204","-2.8","0,0325","-2.8","0,0325","-5.0","0,0324","-6.7","0,0221","-9.4","0,0212","    1174.1","1","      31.1","0,1,2","    1174.1","0","      38.9","0,1,2","       4.4","0,1,2","       7.2","0,1,2","      18.4","0,1,2","     11.66","0","      24.2","0,1,2","     24.69","0","    444.6"," ,0","        0","T,0","     19.20","0","     27.11","0","     11.30","0","     57558","0"
"USC00417944","2007","31.37083","-100.49432","576.1","SAN ANGELO WEATHER FORECAST OFFICE, TX US","","","","","        81","0","        48","0","         7","0","        1","","         1","0","","","","","","","","","","","","","","","","","    25"," ,0,0117, ","    43"," ,0,0117, "," 120.9"," ,0,0818, ","","","","","","","","","","","","","","","","","","","","","","","","","    1430.4","4","      28.3","0,1,2","    1430.4","0","      36.1","0,1,2","       1.7","0,1,2","       2.2","0,1,2","      16.4","0,1,2","","","      22.6","0,1,2","","","    757.4"," ,0","       71"," ,0","","","","","","","",""
"USC00417944","2008","31.37083","-100.49432","576.1","SAN ANGELO WEATHER FORECAST OFFICE, TX US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","      29.4","0,1,2","","","      37.8","0,1,2","       1.1","0,1,2","       5.6","0,1,2","      16.7","0,1,2","","","      24.0","0,1,2","","","","","","","","","","","","","",""
"USC00417944","2009","31.37083","-100.49432","576.1","SAN ANGELO WEATHER FORECAST OFFICE, TX US","   1315.3","","    1315.3","0","        74","0","        39","0","         9","0","        2","","         0","0","         0","0","        72","0","         1","0","       279","0","       112","0","","","","","   -7.8","0,1226,+","    25"," ,0,1205,+","    18"," ,0,1205, ","  63.8"," ,0,0912, ","   41.1","0,0614, ","","","0.0","0,1031","-3.9","0,1118","-6.1","0,1125","-7.2","0,1205","","","-2.2","0,0408","-2.2","0,0408","-4.4","0,0301","-7.2","0,0222","","","    1284.3","3","","","    1284.3","0","","","","","","","","","","","","","","","    626.3"," ,0","       31"," ,0","     18.17","0","     26.05","0","     10.29","0","     53424","0"
"USC00417944","2010","31.37083","-100.49432","576.1","SAN ANGELO WEATHER FORECAST OFFICE, TX US","   1378.1","","    1378.1","0","        60","0","        36","0","         5","0","        1","","         2","0","         0","0","        69","0","         1","0","       257","0","       113","0","","","","","  -13.3","0,0109, ","    51"," ,0,0223, ","    61"," ,0,0224, ","  63.0"," ,0,1024, ","   40.6","0,0802,+","","","-0.6","0,1106","-3.9","0,1126","-7.2","0,1127","-7.2","0,1127","","","0.0","0,0330","-2.2","0,0323","-6.1","0,0225","-6.7","0,0112","-8.9","0,0111","    1635.9","9","","","    1635.9","0","","","","","","","","","","","","","","","    538.7"," ,0","      104"," ,0","     18.01","0","     25.69","0","     10.33","0","",""
"USC00417944","2011","31.37083","-100.49432","576.1","SAN ANGELO WEATHER FORECAST OFFICE, TX US","   1791.6","","    1791.6","7","        34","7","        15","7","         2","7","        0","","         0","7","         0","7","        73","7","         4","7","       268","7","       156","7","","","","","  -12.2","7,0203, ","     0"," ,7,1231,+","    15"," ,7,0201, ","  67.6"," ,7,1009, ","   42.8","7,0529, ","","","-1.1","K,1029","-2.2","7,1128","-6.7","7,1207","-6.7","7,1207","","","0.0","7,0406","-2.8","7,0310","-4.4","7,0306","-11.1","7,0212","-11.1","7,0212","    1299.6","6","      32.8","7,3,2","    1299.6","7","      37.8","7,3,2","       3.3","7,3,2","       3.3","7,3,2","      19.8","7,3,2","","","      23.1","7,3,2","","","    251.8"," ,7","       15"," ,7","     19.43","7","     27.86","7","     11.01","7","     58686","7"
