"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HN01","HN01_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","HX01","HX01_ATTRIBUTES","LN01","LN01_ATTRIBUTES","LX01","LX01_ATTRIBUTES","MN01","MN01_ATTRIBUTES","MX01","MX01_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00418160","1910","29.77139","-96.14556","59.7","SEALY, TX US","","","","","","","","","","","","","","","","","","","","","","","","","","","         5"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00418160","1911","29.77139","-96.14556","59.7","SEALY, TX US","","","","","","","","","","","","","","","","","","","","","","","","","","","        57"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00418160","1912","29.77139","-96.14556","59.7","SEALY, TX US","","","","","        72","0","        45","0","        11","0","        0","","         0","0","","","","","","","","","","","         4"," ","        50"," ","","","     0","T,0,0112, ","     0","T,0,0112, ","  78.2"," ,0,1203, ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    709.0"," ,0","        0","T,0","","","","","",""
"USC00418160","1913","29.77139","-96.14556","59.7","SEALY, TX US","","","","","        92","0","        55","0","        15","0","        0","","         0","0","","","","","","","","","","","        11"," ","        69"," ","","","     0"," ,0,1231,+","     0","T,0,0106, "," 106.9"," ,0,1022, ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","   1048.9"," ,0","        0","T,0","","","","","",""
"USC00418160","1914","29.77139","-96.14556","59.7","SEALY, TX US","","","","","        89","0","        57","0","        14","0","        0","","         0","0","","","","","","","","","","","        13"," ","        61"," ","","","     0","T,0,0224, ","     0","T,0,1216,+","  87.9"," ,0,1011, ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","   1136.3"," ,0","        0","T,0","","","","","",""
"USC00418160","1915","29.77139","-96.14556","59.7","SEALY, TX US","","","","","        77","0","        49","0","         9","0","        0","","         0","0","","","","","","","","","","","        17"," ","        50"," ","","","     0","T,0,0308, ","     0","T,0,0401,+","  67.6"," ,0,0817, ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    779.1"," ,0","        0","T,0","","","","","",""
"USC00418160","1916","29.77139","-96.14556","59.7","SEALY, TX US","","","","","        78","0","        52","0","        11","0","        0","","         0","0","","","","","","","","","","","        26"," ","        67"," ","","","     0"," ,0,1231,+","     0","T,0,1114, "," 102.1"," ,0,0913, ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    823.9"," ,0","        0","T,0","","","","","",""
"USC00418160","1917","29.77139","-96.14556","59.7","SEALY, TX US","","","","","","","","","","","","","","","","","","","","","","","","","","","         3"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00418160","1918","29.77139","-96.14556","59.7","SEALY, TX US","","","","","","","","","","","","","","","","","","","","","","","","","         1"," ","        16"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00418160","1919","29.77139","-96.14556","59.7","SEALY, TX US","","","","","        86","0","        64","0","        24","0","        0","","         0","0","","","","","","","","","","","","","        41"," ","","","     0"," ,0,1231,+","     0","T,0,0102,+"," 152.4"," ,0,0616, ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","   1618.8"," ,0","        0","T,0","","","","","",""
"USC00418160","1920","29.77139","-96.14556","59.7","SEALY, TX US","","","","","        96","0","        61","0","        11","0","        0","","         0","0","","","","","","","","","","","        12"," ","        42"," ","","","     0"," ,0,1231,+","     0","T,0,0307, "," 106.7"," ,0,0123, ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","   1034.4"," ,0","        0","T,0","","","","","",""
"USC00418160","1921","29.77139","-96.14556","59.7","SEALY, TX US","","","","","        89","0","        58","0","        12","0","        0","","         0","0","","","","","","","","","","","         9"," ","        29"," ","","","     0"," ,0,1231,+","     0"," ,0,1231,+"," 163.6"," ,0,0622, ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","   1117.6"," ,0","        0"," ,0","","","","","",""
"USC00418160","1922","29.77139","-96.14556","59.7","SEALY, TX US","   1900.2","","    1900.2","0","        99","0","        68","0","        10","0","        0","","         0","0","         0","0","        12","0","         0","0","       280","0","       115","0","         5"," ","        29"," ","   -4.4","0,0303,+","     0"," ,0,1231,+","     0","T,0,0301,+"," 184.2"," ,0,0329, ","   39.4","0,0818, ","-0.6","0,1219","","","","","","","","","-2.2","0,0304","-2.2","0,0304","-4.4","0,0303","","","","","     560.4","4","","","     560.4","0","","","","","","","","","","","   1190.6"," ,0","        0","T,0","     21.54","0","     26.64","0","     16.44","0"
"USC00418160","1923","29.77139","-96.14556","59.7","SEALY, TX US","","","","","       116","0","        74","0","        23","0","        2","","         0","0","         0","0","        10","0","         1","0","       258","0","        93","0","","","        24"," ","   -6.1","0,0320, ","    25"," ,0,0205,+","    20"," ,0,0204, "," 115.8"," ,0,0412, ","   37.8","0,0816, ","0.0","0,1214","","","","","","","","","-6.1","0,0320","-6.1","0,0320","-6.1","0,0320","","","","","","","","","","","","","","","","","","","","","   1570.9"," ,0","       30"," ,0","     20.40","0","     25.06","0","     15.75","0"
"USC00418160","1924","29.77139","-96.14556","59.7","SEALY, TX US","   1637.2","","    1637.2","0","        58","0","        40","0","        13","0","        0","","         0","0","         0","0","        19","0","         2","0","       264","0","       109","0","         1"," ","        16"," ","   -7.8","0,0106, ","     0"," ,0,1231,+","     0","T,0,1220,+","  73.7"," ,0,0123, ","   42.2","0,0826, ","-1.1","0,1219","-7.2","0,1220","-7.2","0,1220","-7.2","0,1220","","","-0.6","0,0314","-6.7","0,0121","-6.7","0,0121","-6.7","0,0121","","","","","","","","","","","","","","","","","","","    815.9"," ,0","        0","T,0","     19.92","0","     25.30","0","     14.55","0"
"USC00418160","1925","29.77139","-96.14556","59.7","SEALY, TX US","   1970.3","","    1970.3","0","        70","0","        50","0","        12","0","        0","","         0","0","         0","0","        13","0","         0","0","       273","0","       147","0","","","        13"," ","   -6.7","0,1228, ","     0"," ,0,1231,+","     0","T,0,1230,+"," 169.7"," ,0,1013, ","   40.0","0,0714, ","-0.6","0,1221","-2.8","0,1222","-6.7","0,1228","-6.7","0,1228","","","-4.4","0,0128","-4.4","0,0128","-4.4","0,0128","","","","","     666.0","0","","","     666.0","0","","","","","","","","","","","    986.5"," ,0","        0","T,0","     21.59","0","     26.73","0","     16.45","0"
"USC00418160","1926","29.77139","-96.14556","59.7","SEALY, TX US","   1687.1","","    1687.1","0","        96","0","        70","0","        16","0","        0","","         2","0","         0","0","        11","0","         0","0","       271","0","       104","0","         2"," ","        20"," ","   -3.9","0,0125, ","     0"," ,0,1231,+","   147"," ,0,0124, ","  86.4"," ,0,1224, ","   40.0","0,0921,+","-1.1","0,1214","","","","","","","","","0.0","0,0126","-3.9","0,0125","","","","","","","     889.4","4","","","     889.4","0","","","","","","","","","","","   1362.3"," ,0","      205"," ,0","     20.84","0","     25.63","0","     16.04","0"
"USC00418160","1927","29.77139","-96.14556","59.7","SEALY, TX US","   1978.8","","    1978.8","0","        76","0","        42","0","        13","0","        0","","         0","0","         0","0","        13","0","         0","0","       295","0","       122","0","         1"," ","        19"," ","   -4.4","0,1231,+","     0"," ,0,1231,+","     0","T,0,1221,+","  84.6"," ,0,1206, ","   38.9","0,0831,+","-1.1","0,1207","-4.4","0,1208","-4.4","0,1208","","","","","-0.6","0,0302","-2.8","0,0219","","","","","","","     580.1","1","","","     580.1","0","","","","","","","","","","","    932.9"," ,0","        0","T,0","     22.13","0","     27.31","0","     16.95","0"
"USC00418160","1928","29.77139","-96.14556","59.7","SEALY, TX US","   1715.1","","    1715.1","0","        84","0","        58","0","        10","0","        0","","         0","0","         0","0","        13","0","         1","0","       282","0","       126","0","        13"," ","        15"," ","  -10.6","0,0102, ","     0"," ,0,1231,+","     0","T,0,0121, ","  63.2"," ,0,0901, ","   37.8","0,0823,+","-1.1","0,1208","","","","","","","","","-1.1","0,0225","-2.8","0,0105","-7.2","0,0104","-7.2","0,0104","-10.6","0,0102","     752.6","6","","","     752.6","0","","","","","","","","","","","    903.9"," ,0","        0","T,0","     20.69","0","     25.92","0","     15.47","0"
