"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00512679","1905","20.8905","-156.2127","213.4","KAILUA 446, HI US","    927.8","","     927.8","6","       269","6","       221","6","        39","6","","","","","         0","6","         0","6","         0","6","       352","6","         0","6","   11.7","6,0107,+","","","",""," 115.6"," ,6,0302, ","   27.8","6,0909,+","","","","","   3528.9"," ,6","","","     20.81","6","     24.27","6","     17.35","6"
"USC00512679","1906","20.8905","-156.2127","213.4","KAILUA 446, HI US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","       9.7","7","       9.7","6","","","","","","","","","",""
"USC00512679","1907","20.8905","-156.2127","213.4","KAILUA 446, HI US","   1076.8","","    1076.8","6","","","","","","","","","","","         0","6","         0","6","         0","6","       361","6","         0","6","   13.3","6,0409,+","","","","","","","   28.9","6,0919,+","","","","","","","","","     21.27","6","     24.66","6","     17.88","6"
"USC00512679","1908","20.8905","-156.2127","213.4","KAILUA 446, HI US","    910.3","","     910.3","6","","","","","","","","","","","         0","6","         0","6","         0","6","       357","6","         0","6","   10.6","6,0207, ","","","","","","","   28.3","6,1012,+","       5.2","2","       5.2","6","","","","","     20.78","6","     24.40","6","     17.16","6"
"USC00512679","1909","20.8905","-156.2127","213.4","KAILUA 446, HI US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","      30.4","4","      30.4","6","","","","","","","","","",""
"USC00512679","1911","20.8905","-156.2127","213.4","KAILUA 446, HI US","    753.7","","     753.7","6","","","","","","","","","","","         0","6","         0","6","         0","6","       334","6","         0","6","   12.2","6,0105,+","","","","","","","   27.2","6,0720, ","","","","","","","","","     20.34","6","     23.47","6","     17.20","6"
"USC00512679","1912","20.8905","-156.2127","213.4","KAILUA 446, HI US","    893.3","","     893.3","6","       290","6","       189","6","        19","6","","","","","         0","6","         0","6","         0","6","       339","6","         0","6","   11.7","6,0306, ","","","",""," 174.0"," ,6,1203, ","   28.3","6,0203, ","      40.0","0","      40.0","6","   2554.0"," ,6","","","     20.67","6","     23.83","6","     17.51","6"
"USC00512679","1913","20.8905","-156.2127","213.4","KAILUA 446, HI US","   1038.4","","    1038.4","6","","","","","","","","","","","         0","6","         0","6","         0","6","       355","6","         0","6","   13.3","6,1226,+","","","","","","","   29.4","6,1230, ","       5.3","3","       5.3","6","","","","","     21.16","6","     24.52","6","     17.80","6"
"USC00512679","1914","20.8905","-156.2127","213.4","KAILUA 446, HI US","    975.6","","     975.6","6","       291","6","       250","6","        67","6","","","","","         0","6","         0","6","         0","6","       341","6","         0","6","   12.8","6,0113, ","","","",""," 182.9"," ,6,0406, ","   30.6","6,0219, ","      19.8","8","      19.8","6","   5503.6"," ,6","","","     20.98","6","     24.17","6","     17.79","6"
"USC00512679","1915","20.8905","-156.2127","213.4","KAILUA 446, HI US","   1047.1","","    1047.1","6","","","","","","","","","","","         0","6","         0","6","         0","6","       347","6","         0","6","   10.6","6,0316,+","","","","","","","   29.4","6,0919,+","      34.3","3","      34.3","6","","","","","     21.09","6","     24.75","6","     17.44","6"
"USC00512679","1916","20.8905","-156.2127","213.4","KAILUA 446, HI US","","","","","","","","","","","","","","","         0","6","         0","6","","","","","","","   12.2","6,0217, ","","","","","","","","","       4.8","8","       4.8","6","","","","","","","","","     18.04","6"
"USC00512679","1918","20.8905","-156.2127","213.4","KAILUA 446, HI US","   1070.2","","    1070.2","6","","","","","","","","","","","         0","6","         0","6","         0","6","       343","6","         0","6","   13.3","6,1107,+","","","","","","","   31.7","6,0926, ","","","","","","","","","     21.24","6","     24.50","6","     17.98","6"
"USC00512679","1919","20.8905","-156.2127","213.4","KAILUA 446, HI US","   1134.9","","    1134.9","6","       256","6","       175","6","        16","6","","","","","         0","6","         0","6","         0","6","       359","6","         0","6","   10.0","6,0329, ","","","",""," 205.0"," ,6,1006, ","   28.9","6,0809, ","       8.1","1","       8.1","6","   2394.7"," ,6","","","     21.43","6","     24.89","6","     17.96","6"
"USC00512679","1920","20.8905","-156.2127","213.4","KAILUA 446, HI US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","       3.8","8","       3.8","6","","","","","","","","","",""
"USC00512679","1921","20.8905","-156.2127","213.4","KAILUA 446, HI US","   1168.3","","    1168.3","6","       286","6","       196","6","        29","6","","","","","         0","6","         0","6","         0","6","       351","6","         0","6","   14.4","6,0309,+","","","",""," 173.5"," ,6,1121, ","   29.4","6,1006, ","","","","","   3348.8"," ,6","","","     21.52","6","     24.65","6","     18.39","6"
"USC00512679","1923","20.8905","-156.2127","213.4","KAILUA 446, HI US","   1269.5","","    1269.5","6","       296","6","       203","6","        40","6","","","","","         0","6","         0","6","         0","6","       357","6","         1","6","   15.0","6,1228,+","","","",""," 224.3"," ,6,0331, ","   32.2","6,0903, ","","","","","   3856.0"," ,6","","","     21.85","6","     25.26","6","     18.45","6"
"USC00512679","1924","20.8905","-156.2127","213.4","KAILUA 446, HI US","   1061.1","","    1061.1","6","       271","6","       174","6","        28","6","","","","","         0","6","         0","6","         0","6","       362","6","         0","6","   12.2","6,0119, ","","","",""," 121.2"," ,6,0430, ","   28.3","6,0610, ","       4.5","5","       4.5","6","   2819.8"," ,6","","","     21.23","6","     25.32","6","     17.13","6"
"USC00512679","1925","20.8905","-156.2127","213.4","KAILUA 446, HI US","","","","","       271","6","       194","6","        29","6","","","","","","","","","","","","","","","","","","","",""," 110.2"," ,6,1010, ","","","","","","","   2688.8"," ,6","","","","","","","",""
"USC00512679","1926","20.8905","-156.2127","213.4","KAILUA 446, HI US","   1550.4","","    1550.4","6","       231","6","       146","6","        15","6","","","","","         0","6","         0","6","         0","6","       364","6","         0","6","   13.3","6,0405,+","","","",""," 112.3"," ,6,1114, ","   31.1","6,0608, ","","","","","   1975.0"," ,6","","","     22.60","6","     26.53","6","     18.67","6"
"USC00512679","1927","20.8905","-156.2127","213.4","KAILUA 446, HI US","","","","","       296","6","       210","6","        37","6","","","","","         0","6","         0","6","","","","","","","   12.8","6,0212, ","","","",""," 125.7"," ,6,0414, ","","","       1.3","3","       1.3","6","   3551.8"," ,6","","","","","","","     18.64","6"
"USC00512679","1928","20.8905","-156.2127","213.4","KAILUA 446, HI US","","","","","","","","","","","","","","","         0","6","         0","6","","","","","","","   11.1","6,0202, ","","","","","","","","","","","","","","","","","","","","","     18.36","6"
"USC00512679","1929","20.8905","-156.2127","213.4","KAILUA 446, HI US","   1355.7","","    1355.7","6","","","","","","","","","","","         0","6","         0","6","         0","6","       356","6","         0","6","   12.2","6,1117, ","","","","","","","   30.0","6,1008, ","","","","","","","","","     22.02","6","     25.55","6","     18.49","6"
"USC00512679","1930","20.8905","-156.2127","213.4","KAILUA 446, HI US","","","","","       307","6","       229","6","        33","6","","","","","         0","6","         0","6","","","","","","","   10.6","6,0125, ","","","",""," 137.2"," ,6,0223, ","","","","","","","   3624.6"," ,6","","","","","","","     17.97","6"
"USC00512679","1931","20.8905","-156.2127","213.4","KAILUA 446, HI US","","","","","","","","","","","","","","","         0","6","         0","6","","","","","","","   13.9","6,1219,+","","","","","","","","","       2.2","2","       2.2","6","","","","","","","","","     18.25","6"
"USC00512679","1932","20.8905","-156.2127","213.4","KAILUA 446, HI US","   1188.2","","    1188.2","6","       313","6","       223","6","        24","6","","","","","         0","6","         0","6","         0","6","       358","6","         0","6","   12.8","6,0307, ","","","",""," 221.0"," ,6,0214, ","   29.4","6,1005,+","","","","","   3455.2"," ,6","","","     21.57","6","     24.97","6","     18.16","6"
"USC00512679","1933","20.8905","-156.2127","213.4","KAILUA 446, HI US","    959.6","","     959.6","6","       279","6","       174","6","        11","6","","","","","         0","6","         0","6","         0","6","       363","6","         0","6","   11.7","6,0405, ","","","",""," 123.2"," ,6,0306, ","   28.3","6,0920,+","       3.5","5","       3.5","6","   1913.2"," ,6","","","     20.95","6","     24.68","6","     17.23","6"
"USC00512679","1934","20.8905","-156.2127","213.4","KAILUA 446, HI US","","","","","","","","","","","","","","","         0","6","         0","6","","","","","","","   13.3","6,0409,+","","","","","","","","","","","","","","","","","","","","","     18.05","6"
"USC00512679","1935","20.8905","-156.2127","213.4","KAILUA 446, HI US","   1243.7","","    1243.7","6","       266","6","       182","6","        17","6","","","","","         0","6","         0","6","         0","6","       362","6","         0","6","   13.3","6,0217, ","","","",""," 120.4"," ,6,0228, ","   30.6","6,0705, ","       0.8","8","       0.8","6","   2555.2"," ,6","","","     21.75","6","     25.64","6","     17.86","6"
"USC00512679","1936","20.8905","-156.2127","213.4","KAILUA 446, HI US","","","","","       306","6","       228","6","        30","6","","","","","","","","","","","","","","","","","","","",""," 111.8"," ,6,0407, ","","","","","","","   3329.0"," ,6","","","","","","","",""
"USC00512679","1937","20.8905","-156.2127","213.4","KAILUA 446, HI US","","","","","","","","","","","","","","","         0","6","         0","6","","","","","","","   12.8","6,0212,+","","","","","","","","","      25.1","1","      25.1","6","","","","","","","","","     18.05","6"
"USC00512679","1938","20.8905","-156.2127","213.4","KAILUA 446, HI US","   1357.9","","    1357.9","6","","","","","","","","","","","         0","6","         0","6","         0","6","       364","6","         0","6","   15.0","6,1122,+","","","","","","","   28.9","6,1107,+","","","","","","","","","     22.12","6","     25.53","6","     18.70","6"
"USC00512679","1939","20.8905","-156.2127","213.4","KAILUA 446, HI US","","","","","       311","6","       236","6","        28","6","","","","","         0","6","         0","6","","","","","","","   14.4","6,0507, ","","","",""," 108.0"," ,6,0305, ","","","       0.0","0","       0.0","6","   3357.0"," ,6","","","","","","","     18.15","6"
"USC00512679","1940","20.8905","-156.2127","213.4","KAILUA 446, HI US","   1461.5","","    1461.5","6","","","","","","","","","         0","6","         0","6","         0","6","         0","6","       366","6","         0","6","   12.2","6,0224, ","","","     0"," ,6,1231,+","","","   28.9","6,0105, ","","","","","","","        0"," ,6","     22.35","6","     26.01","6","     18.69","6"
"USC00512679","1941","20.8905","-156.2127","213.4","KAILUA 446, HI US","   1244.4","","    1244.4","6","","","","","","","","","","","         0","6","         0","6","         0","6","       364","6","         0","6","   11.7","6,0208, ","","","","","","","   28.9","6,0816,+","       2.0","0","       2.0","6","","","","","     21.74","6","     25.21","6","     18.26","6"
