"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"USC00512960","1915","21.3753","-157.8222","277.4","KALIHI RES SITE 777, HI US","       203","6","       179","6","        35","6","","","","","","","",""," 119.4"," ,6,1111, ","","","","","   3250.0"," ,6","",""
"USC00512960","1916","21.3753","-157.8222","277.4","KALIHI RES SITE 777, HI US","       219","6","       199","6","        48","6","","","","","","","",""," 145.8"," ,6,0119, ","","","","","   4011.0"," ,6","",""
"USC00512960","1917","21.3753","-157.8222","277.4","KALIHI RES SITE 777, HI US","       211","6","       186","6","        22","6","","","","","","","",""," 327.2"," ,6,0320, ","","","","","   2927.6"," ,6","",""
"USC00512960","1918","21.3753","-157.8222","277.4","KALIHI RES SITE 777, HI US","       188","6","       181","6","        44","6","","","","","","","",""," 111.8"," ,6,1125, ","","","","","   3629.0"," ,6","",""
"USC00512960","1933","21.3753","-157.8222","277.4","KALIHI RES SITE 777, HI US","       287","6","       183","6","        18","6","","","","","","","",""," 133.6"," ,6,0201, ","","","","","   2292.3"," ,6","",""
"USC00512960","1937","21.3753","-157.8222","277.4","KALIHI RES SITE 777, HI US","       279","6","       195","6","        28","6","","","","","","","",""," 102.9"," ,6,0101, ","","","","","   2748.2"," ,6","",""
"USC00512960","1940","21.3753","-157.8222","277.4","KALIHI RES SITE 777, HI US","","","","","","","","","         0","6","","","     0"," ,6,1231,+","","","","","","","","","        0"," ,6"
"USC00512960","1941","21.3753","-157.8222","277.4","KALIHI RES SITE 777, HI US","","","","","","","","","","","","","","","","","       2.5","5","       2.5","6","","","",""
"USC00512960","1942","21.3753","-157.8222","277.4","KALIHI RES SITE 777, HI US","       261","6","       168","6","        26","6","","","","","","","",""," 209.3"," ,6,0803, ","","","","","   2936.9"," ,6","",""
"USC00512960","1944","21.3753","-157.8222","277.4","KALIHI RES SITE 777, HI US","       267","6","       134","6","        13","6","","","","","","","","","  57.4"," ,6,1025, ","","","","","   1547.0"," ,6","",""
"USC00512960","1945","21.3753","-157.8222","277.4","KALIHI RES SITE 777, HI US","       285","6","       130","6","        12","6","","","","","","","","","  80.8"," ,6,0416, ","","","","","   1401.5"," ,6","",""
"USC00512960","1946","21.3753","-157.8222","277.4","KALIHI RES SITE 777, HI US","       265","6","       153","6","        10","6","","","","","","","","","  93.5"," ,6,1223, ","","","","","   1725.4"," ,6","",""
"USC00512960","1947","21.3753","-157.8222","277.4","KALIHI RES SITE 777, HI US","        49","6","        45","6","        29","6","","","","","","","",""," 213.4"," ,6,0318, ","","","","","   2109.8"," ,6","",""
"USC00512960","1952","21.3753","-157.8222","277.4","KALIHI RES SITE 777, HI US","       260","0","       149","0","        19","0","","","","","","","",""," 146.1"," ,0,0119, ","","","","","   2097.1"," ,0","",""
"USC00512960","1953","21.3753","-157.8222","277.4","KALIHI RES SITE 777, HI US","       255","0","       136","0","         9","0","","","","","","","","","  90.4"," ,0,0216, ","","","","","   1460.9"," ,0","",""
"USC00512960","1954","21.3753","-157.8222","277.4","KALIHI RES SITE 777, HI US","       244","0","       167","0","        17","0","","","","","","","",""," 201.7"," ,0,1128, ","","","","","   2550.4"," ,0","",""
"USC00512960","1957","21.3753","-157.8222","277.4","KALIHI RES SITE 777, HI US","       240","0","       141","0","        14","0","","","","","","","","","  99.6"," ,0,0121, ","","","","","   2015.4"," ,0","",""
"USC00512960","1959","21.3753","-157.8222","277.4","KALIHI RES SITE 777, HI US","       186","0","        88","0","        15","0","","","","","","","","","  97.0"," ,0,0806, ","","","","","   1412.0"," ,0","",""
"USC00512960","1963","21.3753","-157.8222","277.4","KALIHI RES SITE 777, HI US","       247","0","       187","0","        19","0","        0","","         0","0","     0"," ,0,1231,+","     0"," ,0,1231,+"," 249.9"," ,0,1004, ","","","","","   3290.8"," ,0","        0"," ,0"
"USC00512960","1964","21.3753","-157.8222","277.4","KALIHI RES SITE 777, HI US","       269","0","       185","0","        29","0","        0","","         0","0","     0"," ,0,1231,+","     0"," ,0,1231,+","  90.4"," ,0,1209, ","","","","","   2940.8"," ,0","        0"," ,0"
"USC00512960","1965","21.3753","-157.8222","277.4","KALIHI RES SITE 777, HI US","       224","0","       161","0","        27","0","        0","","         0","0","     0"," ,0,1231,+","     0"," ,0,1231,+"," 238.8"," ,0,0502, ","","","","","   3709.3"," ,0","        0"," ,0"
"USC00512960","1967","21.3753","-157.8222","277.4","KALIHI RES SITE 777, HI US","","","","","","","        0","","         0","0","     0"," ,0,1231,+","     0"," ,0,1231,+","","","","","","","","","        0"," ,0"
"USC00512960","1968","21.3753","-157.8222","277.4","KALIHI RES SITE 777, HI US","","","","","","","        0","","         0","0","     0"," ,0,1231,+","     0"," ,0,1231,+","","","","","","","","","        0"," ,0"
"USC00512960","1969","21.3753","-157.8222","277.4","KALIHI RES SITE 777, HI US","       255","0","       162","0","        30","0","        0","","         0","0","     0"," ,0,1231,+","     0"," ,0,1231,+"," 184.9"," ,0,0316, ","","","","","   3492.6"," ,0","        0"," ,0"
"USC00512960","1970","21.3753","-157.8222","277.4","KALIHI RES SITE 777, HI US","","","","","","","        0","","         0","0","     0"," ,0,1231,+","     0"," ,0,1231,+","","","","","","","","","        0"," ,0"
"USC00512960","1971","21.3753","-157.8222","277.4","KALIHI RES SITE 777, HI US","       251","0","       149","0","        22","0","        0","","         0","0","     0"," ,0,1231,+","     0"," ,0,1231,+"," 120.4"," ,0,0519, ","","","","","   2570.4"," ,0","        0"," ,0"
"USC00512960","1972","21.3753","-157.8222","277.4","KALIHI RES SITE 777, HI US","       245","0","       144","0","        17","0","        0","","         0","0","     0"," ,0,1231,+","     0"," ,0,1231,+","  91.4"," ,0,0303, ","","","","","   2605.8"," ,0","        0"," ,0"
"USC00512960","1973","21.3753","-157.8222","277.4","KALIHI RES SITE 777, HI US","       289","0","       176","0","        22","0","        0","","         0","0","     0"," ,0,1231,+","     0"," ,0,1231,+"," 106.7"," ,0,0224, ","","","","","   2645.0"," ,0","        0"," ,0"
"USC00512960","1974","21.3753","-157.8222","277.4","KALIHI RES SITE 777, HI US","       304","0","       191","0","        25","0","        0","","         0","0","     0"," ,0,1231,+","     0"," ,0,1231,+"," 194.6"," ,0,1121, ","","","","","   3076.6"," ,0","        0"," ,0"
"USC00512960","1975","21.3753","-157.8222","277.4","KALIHI RES SITE 777, HI US","       258","0","       150","0","        21","0","        0","","         0","0","     0"," ,0,1231,+","     0"," ,0,1231,+"," 157.5"," ,0,1125, ","","","","","   2356.1"," ,0","        0"," ,0"
"USC00512960","1976","21.3753","-157.8222","277.4","KALIHI RES SITE 777, HI US","       291","0","       168","0","        19","0","        0","","         0","0","     0"," ,0,1231,+","     0"," ,0,1231,+","  98.0"," ,0,0304,+","","","","","   2166.0"," ,0","        0"," ,0"
"USC00512960","1977","21.3753","-157.8222","277.4","KALIHI RES SITE 777, HI US","","","","","","","        0","","         0","0","     0"," ,0,1231,+","     0"," ,0,1231,+","","","","","","","","","        0"," ,0"
"USC00512960","1978","21.3753","-157.8222","277.4","KALIHI RES SITE 777, HI US","       261","0","       192","0","        27","0","        0","","         0","0","     0"," ,0,1231,+","     0"," ,0,1231,+"," 115.8"," ,0,0628, ","","","","","   3040.2"," ,0","        0"," ,0"
"USC00512960","1979","21.3753","-157.8222","277.4","KALIHI RES SITE 777, HI US","","","","","","","        0","","         0","0","     0"," ,0,1231,+","     0"," ,0,1231,+","","","","","","","","","        0"," ,0"
"USC00512960","1980","21.3753","-157.8222","277.4","KALIHI RES SITE 777, HI US","","","","","","","        0","","         0","0","     0"," ,0,1231,+","     0"," ,0,1231,+","","","","","","","","","        0"," ,0"
"USC00512960","1981","21.3753","-157.8222","277.4","KALIHI RES SITE 777, HI US","","","","","","","        0","","         0","0","     0"," ,0,1231,+","     0"," ,0,1231,+","","","","","","","","","        0"," ,0"
"USC00512960","1982","21.3753","-157.8222","277.4","KALIHI RES SITE 777, HI US","","","","","","","        0","","         0","0","     0"," ,0,1231,+","     0"," ,0,1231,+","","","","","","","","","        0"," ,0"
"USC00512960","1983","21.3753","-157.8222","277.4","KALIHI RES SITE 777, HI US","       253","0","       178","0","        14","0","        0","","         0","0","     0"," ,0,1231,+","     0"," ,0,1231,+","  58.9"," ,0,0520, ","","","","","   1979.9"," ,0","        0"," ,0"
"USC00512960","1984","21.3753","-157.8222","277.4","KALIHI RES SITE 777, HI US","","","","","","","","","         0","0","","","     0"," ,0,1231,+","","","","","","","","","        0"," ,0"
"USC00512960","1985","21.3753","-157.8222","277.4","KALIHI RES SITE 777, HI US","       248","0","       156","0","        27","0","        0","","         0","0","     0"," ,0,1231,+","     0"," ,0,1231,+"," 238.8"," ,0,0506, ","","","","","   2759.5"," ,0","        0"," ,0"
"USC00512960","1986","21.3753","-157.8222","277.4","KALIHI RES SITE 777, HI US","","","","","","","        0","","         0","0","     0"," ,0,1231,+","     0"," ,0,1231,+","","","","","","","   3350.0"," ,0","        0"," ,0"
"USC00512960","1987","21.3753","-157.8222","277.4","KALIHI RES SITE 777, HI US","","","","","","","        0","","         0","0","     0"," ,0,1231,+","     0"," ,0,1231,+","","","","","","","","","        0"," ,0"
"USC00512960","1988","21.3753","-157.8222","277.4","KALIHI RES SITE 777, HI US","       272","0","       187","0","        34","0","","","         0","0","","","     0"," ,0,1231,+"," 203.2"," ,0,0104, ","","","","","   3276.0"," ,0","        0"," ,0"
"USC00512960","1989","21.3753","-157.8222","277.4","KALIHI RES SITE 777, HI US","       273","0","       174","0","        33","0","        0","","         0","0","     0"," ,0,1231,+","     0"," ,0,1231,+"," 307.3"," ,0,0408, ","","","","","   3350.2"," ,0","        0"," ,0"
"USC00512960","1990","21.3753","-157.8222","277.4","KALIHI RES SITE 777, HI US","       294","0","       199","0","        40","0","        0","","         0","0","     0"," ,0,1231,+","     0"," ,0,1231,+"," 205.2"," ,0,1116, ","","","","","   3841.9"," ,0","        0"," ,0"
"USC00512960","1991","21.3753","-157.8222","277.4","KALIHI RES SITE 777, HI US","       270","0","       185","0","        34","0","        0","","         0","0","     0"," ,0,1231,+","     0"," ,0,1231,+"," 230.1"," ,0,0319, ","","","","","   3161.8"," ,0","        0"," ,0"
"USC00512960","1992","21.3753","-157.8222","277.4","KALIHI RES SITE 777, HI US","       266","0","       184","0","        29","0","        0","","         0","0","     0"," ,0,1231,+","     0"," ,0,1231,+"," 120.9"," ,0,1230, ","","","","","   2941.5"," ,0","        0"," ,0"
"USC00512960","1993","21.3753","-157.8222","277.4","KALIHI RES SITE 777, HI US","       246","0","       160","0","        19","0","        0","","         0","0","     0"," ,0,1231,+","     0"," ,0,1231,+"," 134.6"," ,0,0722, ","","","","","   2322.6"," ,0","        0"," ,0"
"USC00512960","1994","21.3753","-157.8222","277.4","KALIHI RES SITE 777, HI US","       288","0","       197","0","        35","0","        0","","         0","0","     0"," ,0,1231,+","     0"," ,0,1231,+"," 322.6"," ,0,0324, ","","","","","   3376.4"," ,0","        0"," ,0"
"USC00512960","1995","21.3753","-157.8222","277.4","KALIHI RES SITE 777, HI US","       250","0","       169","0","        30","0","        0","","         0","0","     0"," ,0,1231,+","     0"," ,0,1231,+"," 144.3"," ,0,1031, ","","","","","   2911.5"," ,0","        0"," ,0"
