"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USR0000ADRL","1999","33.3597","-109.8331","2264.1","DRY LAKE ARIZONA, AZ US","     73.2","","      73.2","U","         0","U","       106","U","         4","U","       146","U","         0","U","  -15.0","U,0211, ","   30.6","U,0701,+","-3.9","U,1017","-3.9","U,1017","-4.4","U,1122","-7.2","U,1204","","","0.0","U,0605","-2.2","U,0502","-4.4","U,0430","-7.8","U,0410","-10.0","U,0405","","","","","     11.00","U","     17.46","U","      4.55","U"
"USR0000ADRL","2000","33.3597","-109.8331","2264.1","DRY LAKE ARIZONA, AZ US","    393.9","","     393.9","U","         0","U","        90","U","         4","U","       163","U","         5","U","  -11.1","U,0103, ","   33.3","U,0728,+","0.0","U,1027","-3.9","U,1031","-9.4","U,1107","-9.4","U,1107","-9.4","U,1107","0.0","U,0517","-3.9","U,0401","-5.0","U,0322","-8.9","U,0321","-8.9","U,0321","    2331.9","9","    2331.9","U","     12.43","U","     18.39","U","      6.47","U"
"USR0000ADRL","2001","33.3597","-109.8331","2264.1","DRY LAKE ARIZONA, AZ US","    283.6","","     283.6","U","         0","U","       103","U","         8","U","       173","U","         1","U","  -10.6","U,0118, ","   32.2","U,0630, ","0.0","U,1114","-2.2","U,1124","-7.2","U,1127","-7.2","U,1127","-10.0","U,1216","-4.4","U,0422","-4.4","U,0422","-4.4","U,0422","-6.7","U,0224","-10.6","U,0118","    2715.8","8","    2715.8","U","     12.13","U","     17.91","U","      6.34","U"
"USR0000ADRL","2002","33.3597","-109.8331","2264.1","DRY LAKE ARIZONA, AZ US","    376.5","","     376.5","U","         0","U","        81","U","         5","U","       169","U","        12","U","  -10.6","U,0124, ","   34.4","U,0701,+","0.0","U,1027","-2.2","U,1204","-4.4","U,1218","-7.8","U,1221","","","0.0","U,0420","-2.8","U,0325","-4.4","U,0319","-10.0","U,0303","-10.0","U,0303","    2334.6","6","    2334.6","U","     12.60","U","     18.69","U","      6.50","U"
"USR0000ADRL","2003","33.3597","-109.8331","2264.1","DRY LAKE ARIZONA, AZ US","    385.9","","     385.9","U","         0","U","        85","U","         4","U","       156","U","        15","U","  -12.2","U,1228, ","   35.0","U,0709, ","-1.7","U,1103","-2.8","U,1104","-6.1","U,1122","-10.0","U,1123","-10.0","U,1123","0.0","U,0510","-2.8","U,0423","-4.4","U,0329","-6.7","U,0206","","","    2528.6","6","    2528.6","U","     12.76","U","     18.58","U","      6.94","U"
"USR0000ADRL","2005","33.3597","-109.8331","2264.1","DRY LAKE ARIZONA, AZ US","    348.5","","     348.5","U","         0","U","        81","U","         0","U","       155","U","         3","U","  -10.0","U,1128, ","   33.3","U,0712, ","0.0","U,1112","-6.1","U,1127","-6.1","U,1127","-10.0","U,1128","-10.0","U,1128","0.0","U,0425","-2.2","U,0401","-4.4","U,0331","-7.2","U,0315","","","","","","","     12.52","U","     18.34","U","      6.70","U"
"USR0000ADRL","2006","33.3597","-109.8331","2264.1","DRY LAKE ARIZONA, AZ US","    280.4","","     280.4","U","         0","U","        77","U","         3","U","       151","U","         8","U","  -13.9","U,1130, ","   33.3","U,0714,+","0.0","U,1019","-12.8","U,1129","-12.8","U,1129","-12.8","U,1129","-12.8","U,1129","-0.6","U,0428","-4.4","U,0406","-4.4","U,0406","-9.4","U,0313","-9.4","U,0313","    2168.6","6","    2168.6","U","     12.55","U","     18.58","U","      6.52","U"
"USR0000ADRL","2007","33.3597","-109.8331","2264.1","DRY LAKE ARIZONA, AZ US","    337.0","","     337.0","U","         0","U","        92","U","         8","U","       174","U","         7","U","  -15.0","U,0114, ","   33.9","U,0703, ","0.0","U,1021","-3.3","U,1123","-4.4","U,1125","-8.3","U,1214","-9.4","U,1215","0.0","U,0506","-2.2","U,0413","-5.0","U,0328","-8.9","U,0303","-8.9","U,0303","    2561.7","7","    2561.7","U","     12.52","U","     18.50","U","      6.53","U"
"USR0000ADRL","2008","33.3597","-109.8331","2264.1","DRY LAKE ARIZONA, AZ US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    2529.2","2","    2529.2","U","","","","","",""
"USR0000ADRL","2010","33.3597","-109.8331","2264.1","DRY LAKE ARIZONA, AZ US","    268.7","","     268.7","U","         0","U","       106","U","         6","U","       150","U","         1","U","  -16.1","U,1231, ","   32.8","U,0606, ","-1.7","U,1109","-2.2","U,1110","-4.4","U,1112","-6.7","U,1125","-9.4","U,1130","-1.7","U,0524","-2.2","U,0503","-4.4","U,0315","-6.7","U,0310","-12.2","U,0223","    2760.6","6","    2760.6","U","     11.65","U","     17.33","U","      5.97","U"
"USR0000ADRL","2011","33.3597","-109.8331","2264.1","DRY LAKE ARIZONA, AZ US","    373.3","","     373.3","U","         2","U","        99","U","        10","U","       162","U","         6","U","  -21.1","U,0203, ","   33.9","U,0627, ","-1.7","U,1007","-4.4","U,1105","-4.4","U,1105","-8.3","U,1204","-12.2","U,1205","0.0","U,0519","-2.8","U,0501","-7.2","U,0410","-7.2","U,0410","-9.4","U,0227","    2498.0","0","    2498.0","U","     12.11","U","     18.26","U","      5.96","U"
"USR0000ADRL","2012","33.3597","-109.8331","2264.1","DRY LAKE ARIZONA, AZ US","    354.0","","     354.0","U","         0","U","        74","U","         5","U","       172","U","         7","U","   -9.4","U,1219, ","   32.8","U,0701,+","-5.0","U,1110","-5.0","U,1110","-5.0","U,1110","-7.2","U,1111","-9.4","U,1219","-4.4","U,0415","-4.4","U,0415","-4.4","U,0415","-8.9","U,0320","-8.9","U,0320","    2464.5","5","    2464.5","U","     12.97","U","     18.80","U","      7.13","U"
"USR0000ADRL","2013","33.3597","-109.8331","2264.1","DRY LAKE ARIZONA, AZ US","    255.8","","     255.8","U","         0","U","        87","U","        16","U","       142","U","         2","U","  -17.2","U,0115, ","   32.8","U,0627, ","-0.6","U,1030","-2.2","U,1105","-5.0","U,1124","-7.8","U,1205","-10.6","U,1206","-2.2","U,0419","-2.2","U,0419","-4.4","U,0418","-7.2","U,0227","-9.4","U,0225","    2470.3","3","    2470.3","U","     11.64","U","     17.31","U","      5.97","U"
"USR0000ADRL","2014","33.3597","-109.8331","2264.1","DRY LAKE ARIZONA, AZ US","    282.1","","     282.1","U","         0","U","        59","U","         1","U","       147","U","         2","U","  -10.0","U,1227, ","   33.9","U,0701, ","-1.1","U,1103","-3.9","U,1116","-6.1","U,1125","-9.4","U,1226","-9.4","U,1226","-1.1","U,0427","-5.0","U,0403","-5.0","U,0403","","","","","    2452.3","3","    2452.3","U","     12.70","U","     18.37","U","      7.02","U"
"USR0000ADRL","2015","33.3597","-109.8331","2264.1","DRY LAKE ARIZONA, AZ US","    314.3","","     314.3","U","         0","U","        65","U","         4","U","       138","U","         1","U","  -11.7","U,1227, ","   32.8","U,0623, ","0.0","U,1104","-5.0","U,1105","-5.0","U,1105","-7.8","U,1213","-9.4","U,1215","0.0","U,0516","-3.3","U,0416","-5.0","U,0225","-6.7","U,0123","-10.0","U,0103","    2387.9","9","    2387.9","U","     12.42","U","     18.01","U","      6.82","U"
"USR0000ADRL","2016","33.3597","-109.8331","2264.1","DRY LAKE ARIZONA, AZ US","    327.7","","     327.7","U","         0","U","        64","U","         8","U","       158","U","         7","U","  -11.7","U,0203, ","   35.0","U,0619, ","-1.7","U,1122","-3.3","U,1127","-4.4","U,1128","-6.7","U,1130","","","0.0","U,0429","-2.2","U,0416","-6.1","U,0205","-10.0","U,0204","-10.0","U,0204","    2436.2","2","    2436.2","U","     12.86","U","     18.70","U","      7.01","U"
