"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USR0000AEAG","1996","64.7761","-141.1619","268.2","EAGLE ALASKA, AK US","","","","","","","","","       167","U","        56","U","         0","U","","","   31.1","U,0624, ","","","","","","","","","","","","","","","","","","","","","","","","","","","      0.99","U","",""
"USR0000AEAG","1997","64.7761","-141.1619","268.2","EAGLE ALASKA, AK US","","","","","       104","U","       236","U","       161","U","        60","U","         0","U","  -48.3","U,0101, ","   30.0","U,0701, ","-1.7","U,0820","-2.2","U,0915","-5.0","U,0920","-7.2","U,1003","-10.0","U,1005","-1.1","U,0602","-2.2","U,0601","-5.0","U,0508","-7.8","U,0507","-11.7","U,0422","","","","","     -2.21","U","      3.95","U","     -8.37","U"
"USR0000AEAG","1998","64.7761","-141.1619","268.2","EAGLE ALASKA, AK US","     30.5","","      30.5","U","       101","U","       232","U","       140","U","        56","U","         2","U","  -48.3","U,0104, ","   34.4","U,0704, ","-1.7","U,0819","-2.2","U,0914","-6.1","U,0915","-10.0","U,0930","-10.0","U,0930","-3.3","U,0515","-3.3","U,0515","-6.7","U,0426","-6.7","U,0426","-10.6","U,0402","    7171.4","4","    7171.4","U","     -2.13","U","      3.84","U","     -8.10","U"
"USR0000AEAG","2000","64.7761","-141.1619","268.2","EAGLE ALASKA, AK US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    7388.5","5","    7388.5","U","","","","","",""
"USR0000AEAG","2009","64.7761","-141.1619","268.2","EAGLE ALASKA, AK US","","","","","       107","U","       258","U","       143","U","        84","U","         3","U","  -51.7","U,0104, ","   33.3","U,0729, ","-0.6","U,0803","-2.2","U,0810","-5.0","U,0924","-7.2","U,0930","-10.6","U,1015","-0.6","U,0717","-3.3","U,0519","-5.6","U,0518","-7.8","U,0517","-8.9","U,0423","","","","","     -3.32","U","      3.72","U","    -10.36","U"
"USR0000AEAG","2010","64.7761","-141.1619","268.2","EAGLE ALASKA, AK US","      1.9","","       1.9","U","        98","U","       247","U","       135","U","        63","U","         0","U","  -48.9","U,0112, ","   31.7","U,0804, ","-1.1","U,0821","-2.2","U,0826","-5.6","U,0919","-7.2","U,0920","-11.1","U,0924","-1.1","U,0519","-3.3","U,0515","-4.4","U,0511","-6.7","U,0507","-11.1","U,0416","    7158.7","7","    7158.7","U","     -2.60","U","      4.16","U","     -9.36","U"
"USR0000AEAG","2012","64.7761","-141.1619","268.2","EAGLE ALASKA, AK US","","","","","       131","U","       248","U","","","","","","","  -47.8","U,1222, ","","","-2.2","U,0822","-2.2","U,0822","-5.6","U,0829","-7.8","U,0911","-9.4","U,1009","0.0","U,0709","-2.2","U,0521","-4.4","U,0518","-6.7","U,0504","-10.6","U,0503","","","","","","","","","    -12.01","U"
"USR0000AEAG","2014","64.7761","-141.1619","268.2","EAGLE ALASKA, AK US","      3.9","","       3.9","U","       104","U","       252","U","       142","U","        57","U","         0","U","  -43.9","U,0112, ","   29.4","U,0706, ","-3.3","U,0830","-3.3","U,0830","-6.1","U,0903","-7.8","U,0904","-10.6","U,0925","-0.6","U,0731","-7.2","U,0523","-7.2","U,0523","-7.2","U,0523","-21.1","U,0412","","","","","     -2.19","U","      4.65","U","     -9.02","U"
"USR0000AEAG","2015","64.7761","-141.1619","268.2","EAGLE ALASKA, AK US","      3.4","","       3.4","U","        89","U","       253","U","       127","U","        65","U","         1","U","  -46.1","U,0207, ","   32.8","U,0523, ","-0.6","U,0808","-4.4","U,0829","-4.4","U,0829","-7.2","U,0922","-11.1","U,1001","-1.1","U,0609","-2.8","U,0513","-5.6","U,0507","-7.2","U,0504","-8.9","U,0416","    7151.2","2","    7151.2","U","     -1.96","U","      4.57","U","     -8.49","U"
"USR0000AEAG","2016","64.7761","-141.1619","268.2","EAGLE ALASKA, AK US","      5.9","","       5.9","U","        88","U","       254","U","       140","U","        61","U","         0","U","  -42.8","U,1209, ","   31.7","U,0715, ","-1.1","U,0829","-2.8","U,0831","-4.4","U,0907","-7.2","U,0928","-10.6","U,1003","0.0","U,0724","-2.2","U,0528","-4.4","U,0426","-6.7","U,0419","-13.9","U,0415","    6896.5","5","    6896.5","U","     -1.25","U","      5.26","U","     -7.76","U"
