"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USR0000AGUN","1995","36.7044","-112.5833","1609.3","GUNSIGHT ARIZONA, AZ US","    608.8","","     608.8","U","         0","U","        68","U","         0","U","       183","U","        56","U","   -7.8","U,0118, ","   39.4","U,0728, ","-0.6","U,1022","-2.8","U,1127","-5.0","U,1218","-6.7","U,1221","","","0.0","U,0423","-2.2","U,0410","-4.4","U,0329","-7.8","U,0118","","","","","","","     13.77","U","     20.80","U","      6.73","U"
"USR0000AGUN","1996","36.7044","-112.5833","1609.3","GUNSIGHT ARIZONA, AZ US","    850.6","","     850.6","U","         0","U","        90","U","         1","U","       188","U","        81","U","  -11.7","U,1218, ","   39.4","U,0723, ","-2.8","U,1020","-2.8","U,1020","-6.7","U,1021","-6.7","U,1021","-8.9","U,1217","-1.7","U,0419","-2.2","U,0414","-4.4","U,0302","-11.1","U,0227","-11.1","U,0227","    2019.8","8","    2019.8","U","     14.36","U","     21.62","U","      7.11","U"
"USR0000AGUN","1997","36.7044","-112.5833","1609.3","GUNSIGHT ARIZONA, AZ US","    671.6","","     671.6","U","         0","U","       112","U","         2","U","       191","U","        59","U","  -12.8","U,0115, ","   38.9","U,0715, ","0.0","U,1012","-2.8","U,1025","-4.4","U,1203","-8.3","U,1210","-9.4","U,1211","-0.6","U,0424","-3.3","U,0413","-6.1","U,0305","-10.0","U,0301","-10.0","U,0301","    2413.9","9","    2413.9","U","     13.52","U","     20.67","U","      6.38","U"
"USR0000AGUN","1998","36.7044","-112.5833","1609.3","GUNSIGHT ARIZONA, AZ US","    619.4","","     619.4","U","         0","U","        99","U","         3","U","       164","U","        52","U","  -11.7","U,1207, ","   40.6","U,0716, ","0.0","U,1005","-2.2","U,1017","-5.0","U,1109","-6.7","U,1110","-11.7","U,1207","0.0","U,0514","-2.2","U,0402","-5.0","U,0329","-7.8","U,0308","-8.9","U,0228","    2527.2","2","    2527.2","U","     12.81","U","     19.70","U","      5.92","U"
"USR0000AGUN","1999","36.7044","-112.5833","1609.3","GUNSIGHT ARIZONA, AZ US","    582.5","","     582.5","U","         0","U","       104","U","         0","U","       201","U","        48","U","  -10.0","U,0211, ","   39.4","U,0701, ","0.0","U,1016","-2.2","U,1118","-5.6","U,1122","-8.9","U,1123","-8.9","U,1123","-1.1","U,0430","-4.4","U,0410","-4.4","U,0410","-8.3","U,0212","-10.0","U,0211","    2362.4","4","    2362.4","U","     13.94","U","     21.51","U","      6.38","U"
"USR0000AGUN","2000","36.7044","-112.5833","1609.3","GUNSIGHT ARIZONA, AZ US","    860.7","","     860.7","U","         0","U","        98","U","         0","U","       184","U","        83","U","   -8.9","U,1118, ","   39.4","U,0729, ","0.0","U,1031","-4.4","U,1107","-4.4","U,1107","-6.7","U,1112","-8.9","U,1118","0.0","U,0402","-2.2","U,0322","-4.4","U,0225","-7.2","U,0129","","","    1985.1","1","    1985.1","U","     14.42","U","     21.67","U","      7.17","U"
"USR0000AGUN","2001","36.7044","-112.5833","1609.3","GUNSIGHT ARIZONA, AZ US","    801.3","","     801.3","U","         0","U","       102","U","         0","U","       200","U","        75","U","  -14.4","U,1216, ","   39.4","U,0703, ","0.0","U,1114","-3.3","U,1124","-6.7","U,1126","-6.7","U,1126","-8.9","U,1127","0.0","U,0504","-2.2","U,0409","-4.4","U,0216","-8.3","U,0209","-9.4","U,0131","    2480.4","4","    2480.4","U","     14.05","U","     21.26","U","      6.85","U"
"USR0000AGUN","2002","36.7044","-112.5833","1609.3","GUNSIGHT ARIZONA, AZ US","    839.1","","     839.1","U","         0","U","       111","U","         1","U","       189","U","        81","U","  -13.3","U,0131, ","   41.1","U,0713, ","-0.6","U,1103","-2.2","U,1104","-5.6","U,1218","-7.8","U,1219","","","0.0","U,0419","-5.0","U,0319","-5.0","U,0319","-7.8","U,0315","-11.1","U,0302","    2261.7","7","    2261.7","U","     14.10","U","     21.70","U","      6.50","U"
"USR0000AGUN","2003","36.7044","-112.5833","1609.3","GUNSIGHT ARIZONA, AZ US","    891.6","","     891.6","U","         0","U","        93","U","         1","U","       189","U","        88","U","  -11.1","U,1228, ","   41.1","U,0710, ","0.0","U,1104","-2.8","U,1105","-7.2","U,1122","-7.2","U,1122","-9.4","U,1123","0.0","U,0423","-3.3","U,0406","-5.0","U,0328","-7.2","U,0209","-8.9","U,0206","    2349.0","0","    2349.0","U","     14.51","U","     21.87","U","      7.15","U"
"USR0000AGUN","2004","36.7044","-112.5833","1609.3","GUNSIGHT ARIZONA, AZ US","    698.2","","     698.2","U","         0","U","        98","U","         0","U","       193","U","        67","U","  -11.1","U,0213,+","   37.8","U,0811,+","0.0","U,1023","-2.8","U,1101","-5.0","U,1102","-8.9","U,1129","-8.9","U,1129","0.0","U,0306","-3.9","U,0301","-11.1","U,0213","-11.1","U,0213","-11.1","U,0213","    2221.6","6","    2221.6","U","     13.73","U","     20.88","U","      6.57","U"
