"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USR0000AHPK","2002","31.6753","-110.88","2170.2","HOPKINS ARIZONA, AZ US","    690.5","","     690.5","U","         0","U","        42","U","         2","U","       217","U","        46","U","  -10.6","U,0131, ","   37.2","U,0703, ","0.0","U,1018","-5.0","U,1218","-5.0","U,1218","-7.2","U,1224","","","-0.6","U,0407","-2.2","U,0325","-5.0","U,0316","-10.6","U,0131","-10.6","U,0131","","","","","     15.79","U","     22.74","U","      8.84","U"
"USR0000AHPK","2003","31.6753","-110.88","2170.2","HOPKINS ARIZONA, AZ US","    666.6","","     666.6","U","         0","U","        44","U","         0","U","       226","U","        38","U","   -8.3","U,1228, ","   36.1","U,0628, ","0.0","U,1030","-5.6","U,1212","-5.6","U,1212","-7.8","U,1227","","","-2.2","U,0423","-2.2","U,0423","-5.0","U,0228","","","","","    1729.0","0","    1729.0","U","     15.64","U","     22.15","U","      9.11","U"
"USR0000AHPK","2005","31.6753","-110.88","2170.2","HOPKINS ARIZONA, AZ US","    517.5","","     517.5","U","         0","U","        38","U","         0","U","       184","U","        31","U","   -5.0","U,0130,+","   36.1","U,0705,+","-2.8","U,1127","-2.8","U,1127","","","","","","","-0.6","U,0410","-2.2","U,0316","-5.0","U,0130","","","","","    2037.7","7","    2037.7","U","     14.89","U","     20.55","U","      9.23","U"
"USR0000AHPK","2006","31.6753","-110.88","2170.2","HOPKINS ARIZONA, AZ US","    428.9","","     428.9","U","         0","U","        33","U","         5","U","       184","U","         7","U","   -8.3","U,1129, ","   34.4","U,0614, ","-8.3","U,1129","-8.3","U,1129","-8.3","U,1129","-8.3","U,1129","","","-1.1","U,0428","-3.9","U,0322","-6.7","U,0320","-6.7","U,0320","","","    1519.6","6","    1519.6","U","     14.95","U","     20.39","U","      9.51","U"
"USR0000AHPK","2007","31.6753","-110.88","2170.2","HOPKINS ARIZONA, AZ US","    468.3","","     468.3","U","         0","U","        57","U","         4","U","       196","U","        13","U","  -10.0","U,0122,+","   33.9","U,0701,+","-0.6","U,1124","-2.8","U,1210","-5.6","U,1221","-7.8","U,1227","","","-1.1","U,0421","-2.8","U,0413","-6.1","U,0301","-10.0","U,0122","-10.0","U,0122","    1858.9","9","    1858.9","U","     14.45","U","     19.72","U","      9.18","U"
"USR0000AHPK","2008","31.6753","-110.88","2170.2","HOPKINS ARIZONA, AZ US","    384.5","","     384.5","U","         0","U","        40","U","         0","U","       188","U","         9","U","  -10.0","U,1227, ","   34.4","U,0620,+","-0.6","U,1128","-2.8","U,1209","-8.3","U,1226","-8.3","U,1226","-10.0","U,1227","-3.3","U,0318","-3.3","U,0318","-6.1","U,0317","-8.3","U,0205","","","    1813.9","9","    1813.9","U","     14.51","U","     20.02","U","      9.01","U"
"USR0000AHPK","2009","31.6753","-110.88","2170.2","HOPKINS ARIZONA, AZ US","    510.1","","     510.1","U","         0","U","        45","U","         0","U","       203","U","         7","U","   -6.7","U,0210, ","   33.3","U,0719, ","-4.4","U,1028","-4.4","U,1028","-4.4","U,1028","","","","","-1.1","U,0417","-2.8","U,0416","-6.7","U,0210","-6.7","U,0210","","","    1554.2","2","    1554.2","U","     15.19","U","     21.02","U","      9.35","U"
"USR0000AHPK","2011","31.6753","-110.88","2170.2","HOPKINS ARIZONA, AZ US","    585.4","","     585.4","U","         1","U","        43","U","         4","U","       213","U","        16","U","  -18.3","U,0203, ","   38.3","U,0627, ","-2.2","U,1105","-2.2","U,1105","-4.4","U,1202","-7.2","U,1204","-8.9","U,1223","-4.4","U,0410","-4.4","U,0410","-4.4","U,0410","-6.7","U,0227","-18.3","U,0203","    1656.4","4","    1656.4","U","     14.98","U","     20.90","U","      9.06","U"
"USR0000AHPK","2012","31.6753","-110.88","2170.2","HOPKINS ARIZONA, AZ US","    476.3","","     476.3","U","         0","U","        39","U","         3","U","       218","U","         9","U","   -7.8","U,1231, ","   35.6","U,0622, ","-2.2","U,1110","-2.2","U,1110","-4.4","U,1111","-7.8","U,1231","","","-3.3","U,0415","-3.3","U,0415","-6.7","U,0320","-6.7","U,0320","","","    1681.0","0","    1681.0","U","     15.46","U","     21.26","U","      9.67","U"
"USR0000AHPK","2013","31.6753","-110.88","2170.2","HOPKINS ARIZONA, AZ US","    488.5","","     488.5","U","         0","U","        41","U","         6","U","       196","U","        18","U","  -11.7","U,0115,+","   35.6","U,0611, ","-0.6","U,1124","-5.0","U,1205","-5.0","U,1205","-8.9","U,1206","-8.9","U,1206","-1.1","U,0410","-2.2","U,0310","-6.1","U,0225","-7.8","U,0221","-11.7","U,0115","    1668.4","4","    1668.4","U","     14.67","U","     20.41","U","      8.94","U"
