"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USR0000AMOS","1994","35.0336","-113.8925","1804.4","MOSS BASIN ARIZONA, AZ US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    2418.3","3","    2418.3"," ","","","","","",""
"USR0000AMOS","1995","35.0336","-113.8925","1804.4","MOSS BASIN ARIZONA, AZ US","    403.9","","     403.9","U","         0","U","        77","U","         0","U","       163","U","        25","U","  -10.0","U,0118,+","   37.8","U,0728, ","-0.6","U,1103","-2.8","U,1127","-5.6","U,1218","-7.8","U,1220","-9.4","U,1222","-1.7","U,0507","-2.8","U,0506","-5.6","U,0329","-8.9","U,0324","-8.9","U,0324","","","","","     12.73","U","     19.43","U","      6.04","U"
"USR0000AMOS","1996","35.0336","-113.8925","1804.4","MOSS BASIN ARIZONA, AZ US","    471.1","","     471.1","U","         0","U","        85","U","         1","U","       182","U","        26","U","  -13.3","U,0227, ","   36.1","U,0723, ","-2.2","U,1020","-2.2","U,1020","-5.0","U,1028","-6.7","U,1130","","","0.0","U,0526","-2.2","U,0330","-8.3","U,0229","-8.3","U,0229","-13.3","U,0227","    2060.4","4","    2060.4","U","     13.35","U","     20.15","U","      6.54","U"
"USR0000AMOS","1997","35.0336","-113.8925","1804.4","MOSS BASIN ARIZONA, AZ US","    343.9","","     343.9","U","         0","U","        98","U","         4","U","       178","U","        12","U","   -9.4","U,1225, ","   34.4","U,0716,+","-0.6","U,1025","-2.2","U,1113","-5.6","U,1203","-6.7","U,1210","-9.4","U,1225","-1.1","U,0414","-2.2","U,0412","-4.4","U,0302","-7.8","U,0301","","","    2395.0","0","    2395.0","U","     12.53","U","     19.21","U","      5.86","U"
"USR0000AMOS","1998","35.0336","-113.8925","1804.4","MOSS BASIN ARIZONA, AZ US","    290.1","","     290.1","U","         0","U","       116","U","         1","U","       142","U","        16","U","  -10.6","U,1223, ","   36.1","U,0716, ","0.0","U,1018","-2.2","U,1106","-6.1","U,1109","-7.8","U,1110","-9.4","U,1222","-0.6","U,0514","-2.2","U,0417","-4.4","U,0416","-7.2","U,0330","","","    2846.5","5","    2846.5","U","     11.17","U","     17.78","U","      4.55","U"
"USR0000AMOS","1999","35.0336","-113.8925","1804.4","MOSS BASIN ARIZONA, AZ US","    356.3","","     356.3","U","         0","U","        81","U","         0","U","       179","U","         8","U","   -7.2","U,0404,+","   34.4","U,0701, ","0.0","U,1121","-6.1","U,1123","-6.1","U,1123","","","","","-0.6","U,0501","-4.4","U,0410","-4.4","U,0410","-7.2","U,0404","","","    2519.8","8","    2519.8","U","     13.31","U","     19.99","U","      6.63","U"
"USR0000AMOS","2000","35.0336","-113.8925","1804.4","MOSS BASIN ARIZONA, AZ US","    582.3","","     582.3","U","         0","U","        65","U","         0","U","       179","U","        35","U","   -6.7","U,1116, ","   36.1","U,0729, ","0.0","U,1012","-2.2","U,1111","-6.1","U,1112","-6.7","U,1116","","","-0.6","U,0419","-2.2","U,0310","-5.6","U,0306","","","","","    1907.9","9","    1907.9","U","     13.88","U","     20.49","U","      7.26","U"
"USR0000AMOS","2001","35.0336","-113.8925","1804.4","MOSS BASIN ARIZONA, AZ US","    514.8","","     514.8","U","         0","U","        92","U","         1","U","       191","U","        16","U","   -8.9","U,1213, ","   36.1","U,0703, ","-1.1","U,1123","-2.2","U,1124","-5.6","U,1126","-6.7","U,1211","-8.9","U,1213","0.0","U,0422","-5.0","U,0411","-5.0","U,0411","-7.2","U,0215","","","    2405.1","1","    2405.1","U","     13.38","U","     19.88","U","      6.87","U"
"USR0000AMOS","2002","35.0336","-113.8925","1804.4","MOSS BASIN ARIZONA, AZ US","    548.5","","     548.5","U","         0","U","        84","U","         1","U","       171","U","        36","U","  -11.1","U,0130, ","   35.6","U,0713,+","0.0","U,1003","-2.2","U,1204","-7.2","U,1219","-7.2","U,1219","","","0.0","U,0521","-2.2","U,0325","-5.0","U,0319","-7.2","U,0131","-11.1","U,0130","    2165.0","0","    2165.0","U","     13.46","U","     20.31","U","      6.62","U"
"USR0000AMOS","2003","35.0336","-113.8925","1804.4","MOSS BASIN ARIZONA, AZ US","    496.8","","     496.8","U","         0","U","        85","U","         1","U","       170","U","        24","U","   -8.3","U,0302, ","   37.8","U,0710, ","-3.9","U,1104","-3.9","U,1104","-4.4","U,1122","-6.7","U,1228","","","0.0","U,0510","-4.4","U,0406","-4.4","U,0406","-8.3","U,0302","","","    2388.4","4","    2388.4","U","     13.41","U","     19.97","U","      6.85","U"
