"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USR0000ASKI","2003","60.4839","-150.4606","179.8","SKILAK GUARD STATION ALASKA, AK US","     23.6","","      23.6","U","        23","U","       185","U","        77","U","        46","U","         0","U","  -26.7","U,1202, ","   31.7","U,0809, ","-2.2","U,0914","-2.2","U,0914","-5.6","U,1016","-13.3","U,1113","-13.3","U,1113","-0.6","U,0520","-3.3","U,0419","-5.0","U,0407","-6.7","U,0406","-8.9","U,0405","    4656.6","6","    4656.6","U","      4.44","U","      9.68","U","     -0.81","U"
"USR0000ASKI","2004","60.4839","-150.4606","179.8","SKILAK GUARD STATION ALASKA, AK US","     46.9","","      46.9","U","        31","U","       183","U","        78","U","        76","U","         4","U","  -35.0","U,0118, ","   33.3","U,0817, ","-2.2","U,0914","-2.2","U,0914","-6.1","U,1018","-7.8","U,1031","-11.1","U,1101","0.0","U,0515","-3.3","U,0421","-7.8","U,0402","-7.8","U,0402","-21.7","U,0401","    5296.7","7","    5296.7","U","      4.31","U","      9.73","U","     -1.10","U"
"USR0000ASKI","2005","60.4839","-150.4606","179.8","SKILAK GUARD STATION ALASKA, AK US","     14.7","","      14.7","U","        26","U","       173","U","        76","U","        71","U","         0","U","  -26.7","U,0212, ","   31.1","U,0812, ","-2.2","U,1003","-2.2","U,1003","-5.6","U,1016","-6.7","U,1025","-10.0","U,1026","0.0","U,0516","-3.3","U,0417","-5.6","U,0416","-7.8","U,0404","-10.0","U,0330","    4864.2","2","    4864.2","U","      4.69","U","     10.05","U","     -0.67","U"
"USR0000ASKI","2006","60.4839","-150.4606","179.8","SKILAK GUARD STATION ALASKA, AK US","      0.3","","       0.3","U","        45","U","       201","U","        98","U","        38","U","         0","U","  -31.1","U,0126, ","   30.0","U,0526, ","-2.2","U,0930","-2.2","U,0930","-8.9","U,1027","-8.9","U,1027","-8.9","U,1027","-0.6","U,0605","-2.2","U,0508","-5.6","U,0420","-8.9","U,0416","-8.9","U,0416","    5466.1","1","    5466.1","U","      2.47","U","      7.83","U","     -2.89","U"
"USR0000ASKI","2007","60.4839","-150.4606","179.8","SKILAK GUARD STATION ALASKA, AK US","","","","","        45","U","       193","U","        92","U","        50","U","         0","U","  -32.2","U,0109, ","   31.7","U,0813, ","0.0","U,0917","-2.2","U,1003","-5.6","U,1008","-9.4","U,1009","-9.4","U,1009","-1.1","U,0519","-2.2","U,0512","-6.1","U,0413","-9.4","U,0401","-9.4","U,0401","    5786.4","4","    5786.4","U","      3.11","U","      8.67","U","     -2.44","U"
"USR0000ASKI","2010","60.4839","-150.4606","179.8","SKILAK GUARD STATION ALASKA, AK US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    5296.3","3","    5296.3","U","","","","","",""
"USR0000ASKI","2011","60.4839","-150.4606","179.8","SKILAK GUARD STATION ALASKA, AK US","      0.3","","       0.3","U","        37","U","       197","U","        79","U","        37","U","         0","U","  -27.2","U,0116, ","   27.8","U,0720, ","-1.7","U,0928","-3.3","U,1010","-4.4","U,1011","-6.7","U,1019","-8.9","U,1031","-1.7","U,0513","-2.8","U,0512","-4.4","U,0420","-8.3","U,0328","-13.3","U,0320","","","","","      2.89","U","      8.24","U","     -2.45","U"
"USR0000ASKI","2012","60.4839","-150.4606","179.8","SKILAK GUARD STATION ALASKA, AK US","      0.6","","       0.6","U","        56","U","       204","U","        98","U","        32","U","         0","U","  -29.4","U,0118, ","   28.9","U,0622, ","0.0","U,0909","-2.2","U,0929","-5.0","U,0930","-8.9","U,1017","-8.9","U,1017","-2.8","U,0518","-2.8","U,0518","-5.0","U,0503","-6.7","U,0502","-15.6","U,0326","    5666.2","2","    5666.2","U","      1.52","U","      6.85","U","     -3.82","U"
"USR0000ASKI","2013","60.4839","-150.4606","179.8","SKILAK GUARD STATION ALASKA, AK US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    5759.3","3","    5759.3","U","","","","","",""
"USR0000ASKI","2014","60.4839","-150.4606","179.8","SKILAK GUARD STATION ALASKA, AK US","      1.2","","       1.2","U","         4","U","       181","U","        56","U","        45","U","         0","U","  -20.0","U,0212,+","   27.2","U,0704,+","-0.6","U,0922","-2.2","U,0925","-6.7","U,1007","-6.7","U,1007","-8.9","U,1026","0.0","U,0520","-2.8","U,0424","-10.6","U,0411","-10.6","U,0411","-10.6","U,0411","","","","","      4.97","U","     10.13","U","     -0.20","U"
