"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USR0000CBEN","1995","37.8431","-118.4778","1661.2","BENTON CALIFORNIA, CA US","    239.5","","     239.5","U","         0","U","       154","U","         1","U","       176","U","        53","U","  -13.9","U,1224, ","   37.2","U,0814, ","0.0","U,1005","-3.3","U,1006","-6.7","U,1023","-6.7","U,1023","-8.9","U,1222","-1.1","U,0619","-2.2","U,0425","-5.6","U,0414","-7.8","U,0307","-9.4","U,0116","    3165.1","1","    3165.1","U","     11.23","U","     20.51","U","      1.95","U"
"USR0000CBEN","1996","37.8431","-118.4778","1661.2","BENTON CALIFORNIA, CA US","    438.5","","     438.5","U","         0","U","       159","U","         2","U","       185","U","        80","U","  -15.0","U,1224, ","   38.9","U,0723, ","0.0","U,0919","-3.3","U,1020","-6.7","U,1021","-6.7","U,1021","-10.0","U,1022","-0.6","U,0528","-2.8","U,0422","-5.6","U,0419","-8.9","U,0326","-8.9","U,0326","    2544.2","2","    2544.2","U","     12.03","U","     21.53","U","      2.54","U"
"USR0000CBEN","1997","37.8431","-118.4778","1661.2","BENTON CALIFORNIA, CA US","    269.4","","     269.4","U","         2","U","       169","U","         2","U","       194","U","        48","U","  -19.4","U,0114, ","   38.9","U,0806, ","-1.1","U,1007","-2.8","U,1008","-4.4","U,1025","-7.2","U,1027","-10.6","U,1203","-0.6","U,0502","-7.8","U,0413","-7.8","U,0413","-7.8","U,0413","-8.9","U,0306","    2743.9","9","    2743.9","U","     11.27","U","     20.70","U","      1.84","U"
"USR0000CBEN","1998","37.8431","-118.4778","1661.2","BENTON CALIFORNIA, CA US","    287.3","","     287.3","U","         0","U","       196","U","         3","U","       141","U","        55","U","  -17.2","U,1222, ","   39.4","U,0718, ","-1.1","U,1006","-2.8","U,1007","-4.4","U,1010","-7.8","U,1106","-10.6","U,1120","-2.2","U,0529","-2.2","U,0529","-5.0","U,0527","-7.2","U,0413","-8.9","U,0227","    3319.1","1","    3319.1","U","      9.92","U","     19.16","U","      0.69","U"
"USR0000CBEN","1999","37.8431","-118.4778","1661.2","BENTON CALIFORNIA, CA US","    274.6","","     274.6","U","         0","U","       177","U","         1","U","       188","U","        60","U","  -11.7","U,0129, ","   38.9","U,0701, ","-0.6","U,1017","-2.8","U,1018","-5.6","U,1109","-6.7","U,1118","-10.6","U,1121","-1.1","U,0517","-4.4","U,0514","-4.4","U,0514","-9.4","U,0410","-9.4","U,0410","    3073.3","3","    3073.3","U","     11.24","U","     21.30","U","      1.18","U"
"USR0000CBEN","2001","37.8431","-118.4778","1661.2","BENTON CALIFORNIA, CA US","    404.1","","     404.1","U","         0","U","       164","U","         4","U","       204","U","        76","U","  -14.4","U,1130, ","   37.8","U,0827, ","-0.6","U,1022","-2.8","U,1031","-5.0","U,1101","-6.7","U,1110","-10.0","U,1126","0.0","U,0504","-2.8","U,0418","-5.0","U,0415","-8.3","U,0408","-10.0","U,0301","    2758.2","2","    2758.2","U","     11.82","U","     21.26","U","      2.39","U"
"USR0000CBEN","2002","37.8431","-118.4778","1661.2","BENTON CALIFORNIA, CA US","    464.6","","     464.6","U","         3","U","       176","U","         2","U","       182","U","        80","U","  -18.9","U,1218, ","   41.1","U,0710, ","0.0","U,0929","-2.8","U,1021","-4.4","U,1024","-8.3","U,1102","-14.4","U,1217","-0.6","U,0522","-2.8","U,0512","-6.1","U,0501","-8.3","U,0418","-8.9","U,0316","    2809.1","1","    2809.1","U","     11.64","U","     21.73","U","      1.55","U"
"USR0000CBEN","2003","37.8431","-118.4778","1661.2","BENTON CALIFORNIA, CA US","    483.0","","     483.0","U","         2","U","       174","U","         1","U","       179","U","        89","U","  -18.3","U,1228,+","   40.0","U,0722, ","-1.7","U,1011","-5.0","U,1031","-5.0","U,1031","-7.2","U,1101","-13.3","U,1102","0.0","U,0514","-2.8","U,0511","-6.7","U,0509","-6.7","U,0509","-10.6","U,0210","    2792.8","8","    2792.8","U","     12.04","U","     21.71","U","      2.37","U"
"USR0000CBEN","2004","37.8431","-118.4778","1661.2","BENTON CALIFORNIA, CA US","    340.2","","     340.2","U","         2","U","       160","U","         1","U","       192","U","        71","U","  -20.0","U,0104, ","   38.3","U,0811, ","-2.8","U,0920","-2.8","U,0920","-6.1","U,1028","-6.7","U,1105","-11.7","U,1129","-1.7","U,0508","-8.3","U,0418","-8.3","U,0418","-8.3","U,0418","-10.6","U,0214","    2761.3","3","    2761.3","U","     11.32","U","     20.84","U","      1.81","U"
"USR0000CBEN","2005","37.8431","-118.4778","1661.2","BENTON CALIFORNIA, CA US","    348.8","","     348.8","U","         1","U","       163","U","         2","U","       177","U","        61","U","  -17.8","U,0106, ","   39.4","U,0718,+","0.0","U,1004","-2.8","U,1005","-5.6","U,1105","-7.8","U,1126","-15.0","U,1127","0.0","U,0619","-3.9","U,0607","-8.3","U,0420","-8.3","U,0420","-10.0","U,0115","    3047.5","5","    3047.5","U","     11.33","U","     20.84","U","      1.81","U"
"USR0000CBEN","2007","37.8431","-118.4778","1661.2","BENTON CALIFORNIA, CA US","    466.4","","     466.4","U","         0","U","       164","U","         5","U","       203","U","        87","U","  -17.2","U,0113, ","   40.0","U,0705,+","-0.6","U,0914","-2.2","U,0930","-6.1","U,1104","-7.8","U,1121","-11.1","U,1122","0.0","U,0606","-6.1","U,0421","-6.1","U,0421","-8.3","U,0419","-8.9","U,0304","    2811.1","1","    2811.1","U","     11.76","U","     21.89","U","      1.62","U"
"USR0000CBEN","2008","37.8431","-118.4778","1661.2","BENTON CALIFORNIA, CA US","    415.5","","     415.5","U","         3","U","       174","U","         5","U","       184","U","        82","U","  -18.3","U,1218, ","   38.3","U,0709, ","-5.6","U,1010","-5.6","U,1010","-5.6","U,1010","-7.8","U,1012","-9.4","U,1206","0.0","U,0509","-2.8","U,0501","-5.0","U,0424","-7.2","U,0421","-8.9","U,0208","    3107.9","9","    3107.9","U","     11.28","U","     21.01","U","      1.56","U"
"USR0000CBEN","2009","37.8431","-118.4778","1661.2","BENTON CALIFORNIA, CA US","    373.5","","     373.5","U","         2","U","       170","U","         0","U","       183","U","        71","U","  -17.8","U,1209,+","   38.3","U,0722, ","-0.6","U,0930","-2.8","U,1002","-7.8","U,1005","-7.8","U,1005","-13.3","U,1206","-0.6","U,0430","-6.7","U,0429","-6.7","U,0429","-6.7","U,0429","-9.4","U,0415","    2764.2","2","    2764.2","U","     11.47","U","     21.03","U","      1.90","U"
"USR0000CBEN","2010","37.8431","-118.4778","1661.2","BENTON CALIFORNIA, CA US","    359.0","","     359.0","U","         0","U","       174","U","         2","U","       159","U","        70","U","  -16.7","U,0124, ","   39.4","U,0719, ","0.0","U,1008","-5.0","U,1026","-5.0","U,1026","-7.2","U,1027","-8.9","U,1124","-3.9","U,0527","-3.9","U,0527","-4.4","U,0524","-8.9","U,0406","-8.9","U,0406","    3120.0","0","    3120.0","U","     10.98","U","     20.28","U","      1.68","U"
"USR0000CBEN","2011","37.8431","-118.4778","1661.2","BENTON CALIFORNIA, CA US","    319.1","","     319.1","U","         0","U","       184","U","         3","U","       169","U","        76","U","  -12.8","U,1214,+","   37.8","U,0702, ","-0.6","U,1006","-2.8","U,1027","-4.4","U,1028","-8.3","U,1103","-10.6","U,1105","-0.6","U,0603","-2.2","U,0602","-5.6","U,0530","-6.7","U,0414","-8.9","U,0322","    2964.0","0","    2964.0","U","     10.99","U","     20.99","U","      1.01","U"
"USR0000CBEN","2012","37.8431","-118.4778","1661.2","BENTON CALIFORNIA, CA US","    434.7","","     434.7","U","         0","U","       162","U","         0","U","       203","U","        85","U","  -16.7","U,0117, ","   40.0","U,0711, ","0.0","U,1020","-2.2","U,1024","-10.6","U,1109","-10.6","U,1109","-10.6","U,1109","-0.6","U,0528","-2.2","U,0527","-7.2","U,0412","-7.2","U,0412","-10.6","U,0406","    2695.6","6","    2695.6","U","     12.27","U","     22.66","U","      1.88","U"
"USR0000CBEN","2013","37.8431","-118.4778","1661.2","BENTON CALIFORNIA, CA US","    477.3","","     477.3","U","         1","U","       168","U","         3","U","       200","U","        75","U","  -18.9","U,1206, ","   40.6","U,0719,+","-1.1","U,0927","-2.2","U,0928","-5.0","U,1030","-7.8","U,1125","-9.4","U,1203","0.0","U,0524","-3.3","U,0418","-6.7","U,0323","-6.7","U,0323","-8.9","U,0228","    2617.8","8","    2617.8","U","     12.19","U","     22.37","U","      2.02","U"
"USR0000CBEN","2015","37.8431","-118.4778","1661.2","BENTON CALIFORNIA, CA US","    255.0","","     255.0","U","         0","U","       149","U","         1","U","       179","U","        31","U","  -17.2","U,1225, ","   37.2","U,0630, ","0.0","U,1022","-3.9","U,1104","-6.7","U,1105","-6.7","U,1105","-11.1","U,1111","0.0","U,0510","-3.9","U,0415","-6.1","U,0410","-6.7","U,0406","-10.6","U,0305","    2386.8","8","    2386.8","U","     11.67","U","     20.88","U","      2.45","U"
"USR0000CBEN","2016","37.8431","-118.4778","1661.2","BENTON CALIFORNIA, CA US","    439.2","","     439.2","U","         0","U","       162","U","         1","U","       201","U","        81","U","  -17.2","U,1226, ","   40.0","U,0728, ","-1.1","U,0914","-2.8","U,1002","-4.4","U,1018","-7.8","U,1117","-8.9","U,1118","-1.1","U,0522","-2.2","U,0502","-5.6","U,0324","-6.7","U,0219","-9.4","U,0204","    2826.9","9","    2826.9","U","     12.12","U","     22.05","U","      2.19","U"
"USR0000CBEN","2017","37.8431","-118.4778","1661.2","BENTON CALIFORNIA, CA US","    469.1","","     469.1","U","         2","U","       166","U","         5","U","       186","U","        73","U","  -18.9","U,0125,+","   37.8","U,0715,+","0.0","U,0921","-2.8","U,0922","-4.4","U,1004","-8.3","U,1106","-8.9","U,1107","0.0","U,0613","-2.8","U,0419","-4.4","U,0409","-8.3","U,0307","-10.0","U,0306","    2860.3","3","    2860.3","U","     11.86","U","     21.57","U","      2.15","U"
"USR0000CBEN","2018","37.8431","-118.4778","1661.2","BENTON CALIFORNIA, CA US","    488.4","","     488.4","U","         1","U","       150","U","         1","U","       197","U","        86","U","  -20.0","U,0220, ","   40.6","U,0718, ","0.0","U,0918","-3.3","U,1018","-4.4","U,1108","-10.6","U,1109","-10.6","U,1109","-0.6","U,0517","-4.4","U,0418","-4.4","U,0418","-8.9","U,0319","-8.9","U,0319","    2692.3","3","    2692.3","U","     12.18","U","     22.10","U","      2.26","U"
"USR0000CBEN","2019","37.8431","-118.4778","1661.2","BENTON CALIFORNIA, CA US","    329.6","","     329.6","U","         3","U","       172","U","         4","U","       178","U","        61","U","  -18.9","U,0211, ","   37.2","U,0827,+","-0.6","U,0929","-3.3","U,0930","-7.8","U,1011","-7.8","U,1011","-8.9","U,1030","-1.1","U,0520","-2.2","U,0518","-5.0","U,0403","-7.8","U,0315","-11.1","U,0223","    2939.7","7","    2939.7","U","     10.69","U","     20.07","U","      1.31","U"
"USR0000CBEN","2020","37.8431","-118.4778","1661.2","BENTON CALIFORNIA, CA US","    480.7","","     480.7","U","         0","U","       165","U","         1","U","       199","U","        85","U","  -11.6","U,0110, ","   38.9","U,0801,+","-0.6","U,0910","-2.2","U,1024","-6.7","U,1026","-6.7","U,1026","-8.9","U,1109","-0.6","U,0608","-2.8","U,0520","-5.8","U,0404","-7.6","U,0403","-9.2","U,0318","    2923.4","4","    2923.4","U","     12.26","U","     22.76","U","      1.76","U"
"USR0000CBEN","2021","37.8431","-118.4778","1661.2","BENTON CALIFORNIA, CA US","    560.7","","     560.7","U","         0","U","       168","U","         2","U","       201","U","        84","U","  -16.9","U,1220, ","   39.9","U,0710, ","-1.1","U,1001","-3.0","U,1009","-4.4","U,1121","-6.7","U,1122","-9.4","U,1125","-0.3","U,0522","-6.1","U,0415","-6.1","U,0415","-7.8","U,0401","-8.9","U,0303","    2668.3","3","    2668.3","U","     12.26","U","     22.33","U","      2.19","U"
"USR0000CBEN","2022","37.8431","-118.4778","1661.2","BENTON CALIFORNIA, CA US","    516.3","","     516.3","U","         0","U","       160","U","         1","U","       191","U","        76","U","  -16.1","U,0102, ","   38.7","U,0906, ","-5.3","U,1023","-5.3","U,1023","-5.3","U,1023","-7.5","U,1109","-9.1","U,1119","-0.9","U,0618","-2.6","U,0513","-6.2","U,0512","-11.2","U,0413","-11.2","U,0413","    2770.4","4","    2770.4","U","     12.02","U","     21.76","U","      2.27","U"
"USR0000CBEN","2023","37.8431","-118.4778","1661.2","BENTON CALIFORNIA, CA US","    273.8","","     273.8","U","         0","U","       177","U","         5","U","       178","U","        43","U","  -15.3","U,0103, ","   39.4","U,0716,+","-2.2","U,0922","-2.2","U,0922","-6.1","U,1027","-7.2","U,1030","-8.9","U,1110","-1.3","U,0508","-3.4","U,0507","-4.8","U,0505","-7.6","U,0419","-9.3","U,0405","    3232.0","0","    3232.0","U","     10.17","U","     19.31","U","      1.02","U"
