"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USR0000CEST","2002","40.3667","-105.55","2383.5","ESTES PARK COLORADO, CO US","     77.8","","      77.8","U","        12","U","       195","U","        31","U","       112","U","         5","U","  -29.4","U,0302, ","   32.8","U,0730, ","-1.7","U,0919","-5.0","U,1012","-5.0","U,1012","-7.2","U,1015","-10.6","U,1029","-1.1","U,0525","-2.2","U,0524","-10.0","U,0509","-10.0","U,0509","-10.0","U,0509","    4113.4","4","    4113.4","U","      6.70","U","     14.16","U","     -0.75","U"
"USR0000CEST","2003","40.3667","-105.55","2383.5","ESTES PARK COLORADO, CO US","     67.1","","      67.1","U","         6","U","       182","U","        25","U","       111","U","         3","U","  -23.9","U,0207,+","   33.9","U,0714, ","-1.7","U,0913","-3.9","U,0914","-8.3","U,1025","-8.3","U,1025","-9.4","U,1031","0.0","U,0626","-2.2","U,0512","-7.8","U,0408","-7.8","U,0408","-12.2","U,0329","    4166.3","3","    4166.3","U","      7.21","U","     14.35","U","      0.08","U"
"USR0000CEST","2004","40.3667","-105.55","2383.5","ESTES PARK COLORADO, CO US","      8.9","","       8.9","U","         6","U","       187","U","        24","U","        86","U","         0","U","  -26.7","U,0212, ","   31.1","U,0713, ","0.0","U,0921","-3.9","U,1012","-13.3","U,1101","-13.3","U,1101","-13.3","U,1101","0.0","U,0622","-3.9","U,0514","-6.7","U,0501","-6.7","U,0501","-11.7","U,0412","    4087.1","1","    4087.1","U","      6.52","U","     13.54","U","     -0.50","U"
"USR0000CEST","2005","40.3667","-105.55","2383.5","ESTES PARK COLORADO, CO US","     37.7","","      37.7","U","         6","U","       188","U","        23","U","       113","U","         3","U","  -31.7","U,1207, ","   32.8","U,0721,+","-0.6","U,0914","-3.3","U,1006","-4.4","U,1007","-6.7","U,1024","-8.9","U,1114","0.0","U,0531","-2.8","U,0514","-5.6","U,0503","-11.7","U,0430","-11.7","U,0430","    4189.6","6","    4189.6","U","      7.04","U","     14.05","U","      0.03","U"
"USR0000CEST","2006","40.3667","-105.55","2383.5","ESTES PARK COLORADO, CO US","     45.5","","      45.5","U","        10","U","       193","U","        31","U","       113","U","         1","U","  -25.6","U,0217,+","   32.8","U,0715, ","-1.1","U,0903","-2.2","U,0919","-4.4","U,0924","-13.9","U,1018","-13.9","U,1018","-0.6","U,0516","-6.1","U,0511","-6.1","U,0511","-8.3","U,0324","-12.2","U,0323","    4102.7","7","    4102.7","U","      6.75","U","     13.80","U","     -0.29","U"
"USR0000CEST","2007","40.3667","-105.55","2383.5","ESTES PARK COLORADO, CO US","     49.1","","      49.1","U","        22","U","       179","U","        39","U","       122","U","         2","U","  -26.1","U,0115, ","   32.2","U,0702,+","-0.6","U,0911","-8.3","U,1021","-8.3","U,1021","-8.3","U,1021","-8.9","U,1106","0.0","U,0609","-3.9","U,0608","-5.6","U,0524","-6.7","U,0414","-10.0","U,0412","    4353.3","3","    4353.3","U","      6.87","U","     14.42","U","     -0.67","U"
"USR0000CEST","2008","40.3667","-105.55","2383.5","ESTES PARK COLORADO, CO US","     46.1","","      46.1","U","         3","U","       192","U","        38","U","       105","U","         3","U","  -21.7","U,1204, ","   33.3","U,0802, ","0.0","U,0903","-2.2","U,1012","-6.1","U,1013","-6.7","U,1026","-9.4","U,1120","-0.6","U,0523","-2.2","U,0514","-4.4","U,0504","-6.7","U,0503","-10.6","U,0417","    4356.7","7","    4356.7","U","      6.25","U","     13.52","U","     -1.02","U"
"USR0000CEST","2009","40.3667","-105.55","2383.5","ESTES PARK COLORADO, CO US","     15.0","","      15.0","U","         9","U","       186","U","        31","U","       100","U","         1","U","  -24.4","U,1208, ","   32.8","U,0822, ","0.0","U,0921","-3.3","U,0928","-5.0","U,1002","-7.2","U,1003","-9.4","U,1009","-1.1","U,0527","-2.2","U,0509","-7.8","U,0419","-7.8","U,0419","-12.8","U,0405","    4038.8","8","    4038.8","U","      6.35","U","     13.54","U","     -0.84","U"
"USR0000CEST","2010","40.3667","-105.55","2383.5","ESTES PARK COLORADO, CO US","     21.3","","      21.3","U","         9","U","       189","U","        22","U","       113","U","         0","U","  -23.3","U,0107, ","   30.6","U,0822,+","0.0","U,0903","-2.2","U,1013","-4.4","U,1026","-7.8","U,1110","-10.6","U,1111","-0.6","U,0531","-2.8","U,0514","-9.4","U,0513","-9.4","U,0513","-9.4","U,0513","    4518.9","9","    4518.9","U","      6.74","U","     13.79","U","     -0.31","U"
"USR0000CEST","2011","40.3667","-105.55","2383.5","ESTES PARK COLORADO, CO US","     31.3","","      31.3","U","        16","U","       185","U","        27","U","        98","U","         0","U","  -33.3","U,0202, ","   30.0","U,0818, ","-0.6","U,0904","-2.2","U,0921","-5.0","U,0922","-7.2","U,1019","-15.6","U,1026","0.0","U,0524","-2.2","U,0520","-5.0","U,0505","-12.2","U,0502","-12.2","U,0502","    4362.7","7","    4362.7","U","      6.17","U","     12.84","U","     -0.51","U"
