"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USR0000CGRE","1992","40.7578","-107.8533","2194.6","GREAT DIVIDE COLORADO, CO US","     97.4","","      97.4","U","         3","U","       158","U","        67","U","       113","U","         0","U","  -21.1","U,0115, ","   31.1","U,0815,+","-1.7","U,1006","-5.0","U,1007","-5.0","U,1007","-7.8","U,1103","-9.4","U,1110","-2.2","U,0425","-2.2","U,0425","-5.0","U,0401","-9.4","U,0322","-9.4","U,0322","    4199.4","4","    4199.4","U","      6.82","U","     12.54","U","      1.10","U"
"USR0000CGRE","1994","40.7578","-107.8533","2194.6","GREAT DIVIDE COLORADO, CO US","    227.9","","     227.9","U","         3","U","       169","U","        64","U","       135","U","         7","U","  -21.7","U,0131, ","   33.3","U,0730,+","-1.7","U,0921","-3.9","U,0922","-5.6","U,1030","-10.6","U,1103","-10.6","U,1103","-2.8","U,0430","-2.8","U,0430","-5.6","U,0428","-6.7","U,0427","-10.0","U,0405","    4362.2","2","    4362.2","U","      7.41","U","     13.29","U","      1.52","U"
"USR0000CGRE","1996","40.7578","-107.8533","2194.6","GREAT DIVIDE COLORADO, CO US","    185.0","","     185.0","U","        13","U","       185","U","        66","U","       118","U","         3","U","  -23.9","U,1218, ","   32.8","U,0812, ","-0.6","U,0916","-5.6","U,0926","-5.6","U,0926","-7.8","U,0927","-9.4","U,1020","0.0","U,0518","-8.3","U,0429","-8.3","U,0429","-8.3","U,0429","-11.7","U,0326","    4281.8","8","    4281.8","U","      6.55","U","     12.46","U","      0.64","U"
"USR0000CGRE","1998","40.7578","-107.8533","2194.6","GREAT DIVIDE COLORADO, CO US","    194.5","","     194.5","U","         7","U","       178","U","        50","U","       106","U","         4","U","  -24.4","U,1220, ","   34.4","U,0718, ","0.0","U,1003","-2.2","U,1005","-5.6","U,1106","-7.2","U,1107","-9.4","U,1109","-0.6","U,0617","-2.8","U,0419","-7.8","U,0418","-7.8","U,0418","-8.9","U,0320","    4576.8","8","    4576.8","U","      6.82","U","     12.52","U","      1.12","U"
"USR0000CGRE","1999","40.7578","-107.8533","2194.6","GREAT DIVIDE COLORADO, CO US","    107.4","","     107.4","U","         0","U","       175","U","        47","U","       106","U","         1","U","  -17.2","U,0211, ","   32.8","U,0706, ","-2.8","U,0927","-2.8","U,0927","-7.8","U,1016","-7.8","U,1016","-11.1","U,1122","-2.8","U,0517","-2.8","U,0517","-4.4","U,0511","-6.7","U,0506","-10.6","U,0415","    4219.7","7","    4219.7","U","      7.10","U","     13.09","U","      1.11","U"
"USR0000CGRE","2000","40.7578","-107.8533","2194.6","GREAT DIVIDE COLORADO, CO US","    255.1","","     255.1","U","         2","U","       186","U","        59","U","       121","U","         7","U","  -20.6","U,1111, ","   34.4","U,0809,+","-0.6","U,0920","-3.9","U,0922","-5.0","U,0923","-6.7","U,1102","-15.6","U,1106","0.0","U,0518","-3.9","U,0513","-5.0","U,0512","-8.3","U,0403","-10.6","U,0321","    3949.6","6","    3949.6","U","      7.19","U","     13.12","U","      1.25","U"
"USR0000CGRE","2001","40.7578","-107.8533","2194.6","GREAT DIVIDE COLORADO, CO US","    246.4","","     246.4","U","         2","U","       175","U","        68","U","       128","U","         9","U","  -22.8","U,0208, ","   34.4","U,0704, ","-0.6","U,0908","-2.2","U,1004","-6.1","U,1005","-6.7","U,1024","-12.2","U,1126","-2.2","U,0613","-2.2","U,0613","-5.0","U,0521","-7.2","U,0413","-8.9","U,0315","    4523.1","1","    4523.1","U","      7.39","U","     13.38","U","      1.40","U"
"USR0000CGRE","2002","40.7578","-107.8533","2194.6","GREAT DIVIDE COLORADO, CO US","    298.8","","     298.8","U","         8","U","       184","U","        68","U","       115","U","        19","U","  -24.4","U,0226, ","   35.6","U,0714, ","-1.7","U,1012","-3.9","U,1023","-10.0","U,1029","-10.0","U,1029","-10.0","U,1029","-0.6","U,0610","-4.4","U,0509","-4.4","U,0509","-7.8","U,0421","-8.9","U,0402","    4372.9","9","    4372.9","U","      6.68","U","     12.84","U","      0.53","U"
"USR0000CGRE","2004","40.7578","-107.8533","2194.6","GREAT DIVIDE COLORADO, CO US","    115.5","","     115.5","U","         6","U","       172","U","        57","U","       105","U","         2","U","  -22.8","U,0212, ","   32.2","U,0713,+","0.0","U,1013","-2.2","U,1022","-6.7","U,1031","-6.7","U,1031","-9.4","U,1101","-1.7","U,0530","-2.2","U,0512","-7.8","U,0411","-7.8","U,0411","-10.0","U,0305","    4167.0","0","    4167.0","U","      6.93","U","     12.77","U","      1.09","U"
"USR0000CGRE","2005","40.7578","-107.8533","2194.6","GREAT DIVIDE COLORADO, CO US","    182.5","","     182.5","U","         4","U","       176","U","        41","U","       107","U","         9","U","  -27.2","U,1207, ","   34.4","U,0721,+","-0.6","U,1004","-2.2","U,1005","-11.1","U,1114","-11.1","U,1114","-11.1","U,1114","-0.6","U,0512","-3.3","U,0502","-9.4","U,0429","-9.4","U,0429","-9.4","U,0429","    4301.5","5","    4301.5","U","      7.04","U","     12.98","U","      1.10","U"
