"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USR0000CHLD","2002","39.0308","-123.0806","817.5","HOPLAND CALIFORNIA, CA US","    633.3","","     633.3","U","         0","U","        26","U","         0","U","       176","U","        37","U","   -3.9","U,0129, ","   40.6","U,0710, ","0.0","U,1218","","","0.0","U,0418","-2.2","U,0308","","","","","","","     14.80","U","     20.02","U","      9.58","U"
"USR0000CHLD","2003","39.0308","-123.0806","817.5","HOPLAND CALIFORNIA, CA US","    663.8","","     663.8","U","         0","U","         9","U","         0","U","       163","U","        36","U","   -0.6","U,1227,+","   38.9","U,0728, ","0.0","U,1121","","","0.0","U,0405","","","","","    1889.7","7","    1889.7","U","     14.52","U","     19.52","U","      9.52","U"
"USR0000CHLD","2005","39.0308","-123.0806","817.5","HOPLAND CALIFORNIA, CA US","    546.2","","     546.2","U","         0","U","        10","U","         0","U","       153","U","        34","U","    0.0","U,1203,+","   36.7","U,0717,+","0.0","U,1126","","","0.0","U,0418","","","","","    2062.9","9","    2062.9","U","     14.24","U","     19.07","U","      9.42","U"
"USR0000CHLD","2006","39.0308","-123.0806","817.5","HOPLAND CALIFORNIA, CA US","    721.8","","     721.8","U","         0","U","        32","U","         0","U","       164","U","        34","U","   -4.4","U,0311, ","   41.7","U,0722, ","0.0","U,1128","","","0.0","U,0417","-4.4","U,0311","-4.4","U,0311","    2075.8","8","    2075.8","U","     14.48","U","     19.46","U","      9.49","U"
"USR0000CHLD","2007","39.0308","-123.0806","817.5","HOPLAND CALIFORNIA, CA US","    494.1","","     494.1","U","         0","U","        30","U","         0","U","       182","U","        29","U","   -3.3","U,0112, ","   38.9","U,0705, ","0.0","U,1129","","","0.0","U,0418","-3.3","U,0112","","","    1868.1","1","    1868.1","U","     14.31","U","     19.75","U","      8.86","U"
"USR0000CHLD","2008","39.0308","-123.0806","817.5","HOPLAND CALIFORNIA, CA US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    2158.5","5","    2158.5","U","","","","","",""
"USR0000CHLD","2010","39.0308","-123.0806","817.5","HOPLAND CALIFORNIA, CA US","    547.9","","     547.9","U","         0","U","        29","U","         0","U","       150","U","        31","U","   -2.2","U,1124, ","   39.4","U,0825, ","0.0","U,1120","-2.2","U,1124","0.0","U,0430","","","","","    2244.4","4","    2244.4","U","     13.54","U","     18.48","U","      8.60","U"
"USR0000CHLD","2011","39.0308","-123.0806","817.5","HOPLAND CALIFORNIA, CA US","    575.6","","     575.6","U","         0","U","        22","U","         0","U","       155","U","        38","U","   -4.4","U,0226, ","   36.1","U,0902, ","0.0","U,1104","","","0.0","U,0515","-4.4","U,0226","-4.4","U,0226","    2279.1","1","    2279.1","U","     14.05","U","     19.36","U","      8.73","U"
"USR0000CHLD","2012","39.0308","-123.0806","817.5","HOPLAND CALIFORNIA, CA US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    1955.7","7","    1955.7","U","","","","","",""
"USR0000CHLD","2014","39.0308","-123.0806","817.5","HOPLAND CALIFORNIA, CA US","    771.2","","     771.2","U","         0","U","         5","U","         0","U","       208","U","        50","U","    0.0","U,1230,+","   38.9","U,0731, ","0.0","U,1230","","","0.0","U,0205","","","","","","","","","     16.42","U","     21.79","U","     11.06","U"
"USR0000CHLD","2015","39.0308","-123.0806","817.5","HOPLAND CALIFORNIA, CA US","    776.5","","     776.5","U","         0","U","        10","U","         0","U","       200","U","        52","U","   -1.1","U,1225,+","   40.0","U,0630, ","-0.6","U,1125","","","","","","","","","    1354.9","9","    1354.9","U","     16.45","U","     22.06","U","     10.83","U"
"USR0000CHLD","2016","39.0308","-123.0806","817.5","HOPLAND CALIFORNIA, CA US","    739.3","","     739.3","U","         0","U","        10","U","         0","U","       173","U","        49","U","   -3.3","U,1217, ","   40.6","U,0726, ","0.0","U,1207","-3.3","U,1217","-0.6","U,0201","","","","","    1800.1","1","    1800.1","U","     15.30","U","     20.48","U","     10.13","U"
"USR0000CHLD","2017","39.0308","-123.0806","817.5","HOPLAND CALIFORNIA, CA US","    914.5","","     914.5","U","         0","U","        18","U","         0","U","       167","U","        63","U","   -2.2","U,0223, ","   42.2","U,0902, ","0.0","U,1221","","","0.0","U,0408","-2.2","U,0223","","","    2012.6","6","    2012.6","U","     15.69","U","     21.03","U","     10.34","U"
"USR0000CHLD","2018","39.0308","-123.0806","817.5","HOPLAND CALIFORNIA, CA US","    777.7","","     777.7","U","         0","U","        19","U","         0","U","       191","U","        49","U","   -3.9","U,0223,+","   40.0","U,0726, ","","","","","0.0","U,0416","-2.2","U,0302","","","    1686.2","2","    1686.2","U","     15.89","U","     21.13","U","     10.66","U"
"USR0000CHLD","2019","39.0308","-123.0806","817.5","HOPLAND CALIFORNIA, CA US","    719.9","","     719.9","U","         0","U","        18","U","         0","U","       182","U","        33","U","   -3.9","U,0205, ","   37.2","U,0815, ","-1.7","U,1127","","","0.0","U,0313","-2.8","U,0210","","","    1846.7","7","    1846.7","U","     15.02","U","     19.72","U","     10.31","U"
"USR0000CHLD","2020","39.0308","-123.0806","817.5","HOPLAND CALIFORNIA, CA US","    957.1","","     957.1","U","         0","U","         8","U","         0","U","       186","U","        52","U","   -2.2","U,0203, ","   41.7","U,0906, ","","","","","0.0","U,0326","-2.2","U,0203","","","    1729.4","4","    1729.4","U","     16.41","U","     21.41","U","     11.41","U"
"USR0000CHLD","2021","39.0308","-123.0806","817.5","HOPLAND CALIFORNIA, CA US","    949.5","","     949.5","U","         0","U","        18","U","         0","U","       179","U","        67","U","   -2.2","U,0125, ","   40.0","U,0710, ","-1.1","U,1214","","","0.0","U,0316","-2.2","U,0125","","","    1581.8","8","    1581.8","U","     16.03","U","     21.24","U","     10.81","U"
"USR0000CHLD","2022","39.0308","-123.0806","817.5","HOPLAND CALIFORNIA, CA US","    829.6","","     829.6","U","         0","U","        13","U","         0","U","       167","U","        55","U","   -2.2","U,0222, ","   43.3","U,0906, ","-0.6","U,1201","","","-0.6","U,0415","-2.2","U,0222","","","    1738.8","8","    1738.8","U","     15.72","U","     20.99","U","     10.46","U"
"USR0000CHLD","2023","39.0308","-123.0806","817.5","HOPLAND CALIFORNIA, CA US","    664.6","","     664.6","U","         0","U","        34","U","         0","U","       160","U","        32","U","   -3.9","U,0301, ","   38.9","U,0816,+","","","","","0.0","U,0418","-2.2","U,0403","","","    2208.8","8","    2208.8","U","     14.50","U","     19.38","U","      9.62","U"
"USR0000CHLD","2024","39.0308","-123.0806","817.5","HOPLAND CALIFORNIA, CA US","    931.8","","     931.8","U","         0","U","        10","U","         0","U","       183","U","        67","U","   -1.7","U,0111, ","   43.3","U,0706, ","","","","","-0.6","U,0405","","","","","    1789.3","3","    1789.3","U","     15.82","U","     20.76","U","     10.88","U"
