"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USR0000CKET","1989","36.0333","-120.0569","246.9","KETTLEMAN HILLS CALIFORNIA, CA US","   1133.4","","    1133.4","U","         0","U","        12","U","         0","U","       229","U","        75","U","   -4.4","U,1225,+","   38.3","U,0815,+","0.0","U,1210","-2.8","U,1224","-4.4","U,1225","","","-1.1","U,0207","-4.4","U,0206","-4.4","U,0206","    1219.5","5","    1219.5","U","     18.09","U","     23.44","U","     12.74","U"
"USR0000CKET","1990","36.0333","-120.0569","246.9","KETTLEMAN HILLS CALIFORNIA, CA US","   1166.4","","    1166.4","U","         0","U","         9","U","         0","U","       230","U","        69","U","   -7.2","U,1222, ","   41.1","U,0807, ","-3.9","U,1221","-3.9","U,1221","-7.2","U,1222","-7.2","U,1222","0.0","U,0214","","","","","    1152.9","9","    1152.9","U","     18.20","U","     23.44","U","     12.97","U"
"USR0000CKET","1991","36.0333","-120.0569","246.9","KETTLEMAN HILLS CALIFORNIA, CA US","   1309.6","","    1309.6","U","         0","U","         2","U","         0","U","       203","U","        99","U","   -1.7","U,1216, ","   42.8","U,0705, ","-0.6","U,1215","","","","","","","","","","","","","    1226.1","1","    1226.1","U","     18.73","U","     23.83","U","     13.62","U"
"USR0000CKET","1992","36.0333","-120.0569","246.9","KETTLEMAN HILLS CALIFORNIA, CA US","   1421.6","","    1421.6","U","         0","U","        10","U","         0","U","       226","U","       100","U","   -2.8","U,1227, ","   40.6","U,0817, ","0.0","U,1214","-2.8","U,1227","","","","","0.0","U,0125","","","","","    1101.7","7","    1101.7","U","     19.11","U","     24.06","U","     14.16","U"
"USR0000CKET","1994","36.0333","-120.0569","246.9","KETTLEMAN HILLS CALIFORNIA, CA US","   1211.9","","    1211.9","U","         0","U","         0","U","         0","U","       218","U","        91","U","    1.1","U,1208,+","   38.9","U,0627,+","","","","","","","","","","","","","","","    1104.5","5","    1104.5","U","     18.14","U","     23.24","U","     13.05","U"
"USR0000CKET","1995","36.0333","-120.0569","246.9","KETTLEMAN HILLS CALIFORNIA, CA US","   1133.7","","    1133.7","U","         0","U","         0","U","         0","U","       214","U","        74","U","    3.9","U,1210,+","   39.4","U,0626,+","","","","","","","","","","","","","","","    1304.5","5","    1304.5","U","     18.72","U","     23.58","U","     13.87","U"
"USR0000CKET","1996","36.0333","-120.0569","246.9","KETTLEMAN HILLS CALIFORNIA, CA US","   1382.0","","    1382.0","U","         0","U","         2","U","         0","U","       214","U","        83","U","   -0.6","U,1220, ","   41.1","U,0813, ","0.0","U,1219","","","","","","","","","","","","","     832.5","5","     832.5","U","     19.30","U","     23.98","U","     14.62","U"
"USR0000CKET","1997","36.0333","-120.0569","246.9","KETTLEMAN HILLS CALIFORNIA, CA US","   1248.0","","    1248.0","U","         0","U","         4","U","         0","U","       227","U","        76","U","   -0.6","U,1213,+","   41.1","U,0807, ","-0.6","U,1212","","","","","","","-0.6","U,0114","","","","","    1009.7","7","    1009.7","U","     18.99","U","     23.83","U","     14.15","U"
"USR0000CKET","1998","36.0333","-120.0569","246.9","KETTLEMAN HILLS CALIFORNIA, CA US","   1083.3","","    1083.3","U","         0","U","         5","U","         0","U","       183","U","        70","U","   -3.9","U,1223,+","   42.2","U,0903, ","-0.6","U,1220","-3.9","U,1221","","","","","","","","","","","    1290.6","6","    1290.6","U","     17.53","U","     22.44","U","     12.62","U"
"USR0000CKET","1999","36.0333","-120.0569","246.9","KETTLEMAN HILLS CALIFORNIA, CA US","   1209.4","","    1209.4","U","         0","U","        10","U","         0","U","       211","U","        83","U","   -3.9","U,0110,+","   41.1","U,0712, ","","","","","","","","","-1.7","U,0111","-3.9","U,0110","","","    1417.1","1","    1417.1","U","     18.27","U","     23.60","U","     12.95","U"
"USR0000CKET","2000","36.0333","-120.0569","246.9","KETTLEMAN HILLS CALIFORNIA, CA US","   1242.8","","    1242.8","U","         0","U","         1","U","         0","U","       206","U","        87","U","    0.0","U,1204, ","   40.6","U,0802, ","0.0","U,1204","","","","","","","","","","","","","     912.5","5","     912.5","U","     18.73","U","     23.75","U","     13.72","U"
"USR0000CKET","2001","36.0333","-120.0569","246.9","KETTLEMAN HILLS CALIFORNIA, CA US","   1497.8","","    1497.8","U","         0","U","         0","U","         0","U","       218","U","       104","U","    0.6","U,0208, ","   41.1","U,0808,+","","","","","","","","","","","","","","","    1219.2","2","    1219.2","U","     19.31","U","     24.43","U","     14.18","U"
"USR0000CKET","2002","36.0333","-120.0569","246.9","KETTLEMAN HILLS CALIFORNIA, CA US","   1293.2","","    1293.2","U","         0","U","         0","U","         0","U","       219","U","        94","U","    0.6","U,0130, ","   41.1","U,0711, ","","","","","","","","","","","","","","","    1103.7","7","    1103.7","U","     18.94","U","     24.30","U","     13.58","U"
"USR0000CKET","2004","36.0333","-120.0569","246.9","KETTLEMAN HILLS CALIFORNIA, CA US","   1391.5","","    1391.5","U","         0","U","         3","U","         0","U","       216","U","       101","U","   -2.2","U,1224, ","   41.1","U,0812, ","-0.6","U,1219","-2.2","U,1224","","","","","","","","","","","    1024.4","4","    1024.4","U","     18.89","U","     24.03","U","     13.75","U"
"USR0000CKET","2005","36.0333","-120.0569","246.9","KETTLEMAN HILLS CALIFORNIA, CA US","   1252.5","","    1252.5","U","         0","U","         0","U","         0","U","       227","U","        86","U","    2.2","U,1204, ","   42.2","U,0721, ","","","","","","","","","","","","","","","    1233.4","4","    1233.4","U","     19.05","U","     24.36","U","     13.74","U"
"USR0000CKET","2006","36.0333","-120.0569","246.9","KETTLEMAN HILLS CALIFORNIA, CA US","   1367.9","","    1367.9","U","         0","U","         0","U","         0","U","       203","U","       100","U","    1.1","U,1219,+","   45.0","U,0723, ","","","","","","","","","","","","","","","    1060.7","7","    1060.7","U","     18.84","U","     24.05","U","     13.63","U"
"USR0000CKET","2007","36.0333","-120.0569","246.9","KETTLEMAN HILLS CALIFORNIA, CA US","   1324.0","","    1324.0","U","         0","U","         5","U","         0","U","       229","U","       104","U","   -2.2","U,0113, ","   42.2","U,0706,+","0.0","U,1227","","","","","","","0.0","U,0115","-2.2","U,0113","","","    1030.1","1","    1030.1","U","     19.03","U","     24.70","U","     13.37","U"
