"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USR0000CMAP","1995","40.7964","-123.9367","512.1","MAPLE CREEK CALIFORNIA, CA US","     73.6","","      73.6","U","         0","U","         6","U","         0","U","       103","U","         4","U","   -0.6","U,0214, ","   33.9","U,0731, ","","","","","","","","","0.0","U,0324","","","","","","","     12.55","U","     16.98","U","      8.13","U"
"USR0000CMAP","1996","40.7964","-123.9367","512.1","MAPLE CREEK CALIFORNIA, CA US","","","","","         0","U","         9","U","","","","","","","   -1.7","U,0226,+","","","","","","","","","","","-0.6","U,0227","","","    2059.1","1","    2059.1"," ","","","","","      7.94","U"
"USR0000CMAP","1997","40.7964","-123.9367","512.1","MAPLE CREEK CALIFORNIA, CA US","     95.4","","      95.4","U","         0","U","         8","U","         0","U","       132","U","         3","U","   -2.2","U,0113, ","   35.0","U,0924, ","0.0","U,1221","","","","","","","0.0","U,0304","-2.2","U,0113","","","","","     13.14","U","     18.60","U","      7.67","U"
"USR0000CMAP","1998","40.7964","-123.9367","512.1","MAPLE CREEK CALIFORNIA, CA US","    127.9","","     127.9","U","         0","U","        14","U","         0","U","       103","U","         8","U","   -6.7","U,1221, ","   36.1","U,0902, ","0.0","U,1204","-2.2","U,1219","-6.1","U,1220","-6.7","U,1221","0.0","U,0413","","","    2186.1","1","    2186.1","U","     12.21","U","     17.36","U","      7.06","U"
"USR0000CMAP","1999","40.7964","-123.9367","512.1","MAPLE CREEK CALIFORNIA, CA US","    114.6","","     114.6","U","         0","U","        23","U","         0","U","       139","U","         4","U","   -2.2","U,0124, ","   33.9","U,0826, ","0.0","U,1209","","","","","","","0.0","U,0509","-2.2","U,0124","    2453.3","3","    2453.3","U","     12.29","U","     18.17","U","      6.42","U"
"USR0000CMAP","2000","40.7964","-123.9367","512.1","MAPLE CREEK CALIFORNIA, CA US","    103.5","","     103.5","U","         0","U","         5","U","         0","U","       142","U","         6","U","    0.0","U,1110,+","   37.8","U,0918, ","0.0","U,1110","","","","","","","0.0","U,0320","","","    2085.1","1","    2085.1","U","     12.72","U","     18.53","U","      6.92","U"
"USR0000CMAP","2001","40.7964","-123.9367","512.1","MAPLE CREEK CALIFORNIA, CA US","","","","","","","","","         0","U","       153","U","        19","U","","","   40.0","U,0521, ","","","","","","","","","","","","","","","","","","","     19.01","U","",""
"USR0000CMAP","2002","40.7964","-123.9367","512.1","MAPLE CREEK CALIFORNIA, CA US","    194.5","","     194.5","U","         0","U","        21","U","         0","U","       147","U","        18","U","   -3.3","U,0308,+","   36.7","U,0919, ","","","","","","","","","-1.7","U,0318","-3.3","U,0308","","","","","     12.94","U","     19.00","U","      6.89","U"
"USR0000CMAP","2003","40.7964","-123.9367","512.1","MAPLE CREEK CALIFORNIA, CA US","    180.0","","     180.0","U","         0","U","         7","U","         0","U","       147","U","        19","U","   -1.7","U,1122, ","   38.9","U,0626, ","0.0","U,1121","","","","","","","0.0","U,0518","","","    1985.1","1","    1985.1","U","     13.23","U","     19.04","U","      7.43","U"
"USR0000CMAP","2004","40.7964","-123.9367","512.1","MAPLE CREEK CALIFORNIA, CA US","    160.5","","     160.5","U","         0","U","         6","U","         0","U","       158","U","         7","U","   -0.6","U,1128,+","   36.1","U,1013, ","-0.6","U,1128","","","","","","","0.0","U,0208","","","    1972.8","8","    1972.8","U","     13.34","U","     19.11","U","      7.56","U"
