"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USR0000COKG","1996","33.3933","-116.795","838.8","OAK GROVE CALIFORNIA, CA US","    848.6","","     848.6","U","         0","U","        29","U","         0","U","       261","U","       115","U","   -4.4","U,0227, ","   41.1","U,0813,+","-1.7","U,1029","-2.2","U,1130","","","-1.7","U,0325","-2.2","U,0229","-4.4","U,0227","","","","","    1063.1","1","    1063.1","U","     17.22","U","     26.60","U","      7.83","U"
"USR0000COKG","1997","33.3933","-116.795","838.8","OAK GROVE CALIFORNIA, CA US","    764.8","","     764.8","U","         0","U","        42","U","         0","U","       259","U","       111","U","   -4.4","U,1210, ","   42.8","U,0805, ","0.0","U,1208","-2.2","U,1209","-4.4","U,1210","-0.6","U,0411","-2.2","U,0301","","","","","","","    1251.1","1","    1251.1","U","     16.87","U","     26.13","U","      7.61","U"
"USR0000COKG","1998","33.3933","-116.795","838.8","OAK GROVE CALIFORNIA, CA US","    655.3","","     655.3","U","         0","U","        43","U","         0","U","       229","U","        83","U","   -6.1","U,1223, ","   44.4","U,0804,+","0.0","U,1110","-2.8","U,1206","-5.6","U,1222","-1.7","U,0416","-2.8","U,0330","","","","","","","    1656.9","9","    1656.9","U","     15.53","U","     24.35","U","      6.71","U"
"USR0000COKG","1999","33.3933","-116.795","838.8","OAK GROVE CALIFORNIA, CA US","    681.7","","     681.7","U","         0","U","        47","U","         0","U","       256","U","       113","U","   -3.3","U,0310,+","   40.6","U,0825, ","0.0","U,1118","-2.2","U,1208","","","-1.7","U,0410","-2.2","U,0403","","","","","","","    1566.8","8","    1566.8","U","     16.29","U","     25.95","U","      6.63","U"
"USR0000COKG","2000","33.3933","-116.795","838.8","OAK GROVE CALIFORNIA, CA US","    753.4","","     753.4","U","         0","U","        33","U","         0","U","       268","U","       105","U","   -3.3","U,1213, ","   41.1","U,0811,+","0.0","U,1108","-2.8","U,1114","","","-1.1","U,0321","-2.2","U,0307","","","","","","","    1150.5","5","    1150.5","U","     16.87","U","     26.19","U","      7.54","U"
"USR0000COKG","2001","33.3933","-116.795","838.8","OAK GROVE CALIFORNIA, CA US","    947.3","","     947.3","U","         0","U","        43","U","         0","U","       256","U","       138","U","   -4.4","U,0208, ","   42.2","U,0816,+","-0.6","U,1126","-2.8","U,1205","","","-0.6","U,0422","-2.8","U,0224","-4.4","U,0208","","","","","    1463.4","4","    1463.4","U","     17.08","U","     26.56","U","      7.60","U"
"USR0000COKG","2002","33.3933","-116.795","838.8","OAK GROVE CALIFORNIA, CA US","    771.2","","     771.2","U","         0","U","        41","U","         0","U","       268","U","       118","U","   -8.3","U,0130, ","   42.8","U,0709, ","0.0","U,1211","-2.2","U,1219","","","0.0","U,0501","-2.2","U,0316","-5.0","U,0314","-8.3","U,0130","","","    1210.1","1","    1210.1","U","     16.86","U","     26.80","U","      6.90","U"
"USR0000COKG","2003","33.3933","-116.795","838.8","OAK GROVE CALIFORNIA, CA US","   1028.8","","    1028.8","U","         0","U","        27","U","         0","U","       245","U","       133","U","   -3.9","U,1227, ","   42.2","U,0716, ","0.0","U,1104","-2.2","U,1212","","","0.0","U,0430","","","","","","","","","    1315.1","1","    1315.1","U","     17.55","U","     26.61","U","      8.49","U"
"USR0000COKG","2004","33.3933","-116.795","838.8","OAK GROVE CALIFORNIA, CA US","    720.3","","     720.3","U","         0","U","        39","U","         0","U","       248","U","       108","U","   -1.7","U,1201,+","   41.1","U,0831,+","0.0","U,1105","","","","","0.0","U,0418","","","","","","","","","    1237.9","9","    1237.9","U","     16.58","U","     25.82","U","      7.32","U"
"USR0000COKG","2005","33.3933","-116.795","838.8","OAK GROVE CALIFORNIA, CA US","    724.6","","     724.6","U","         0","U","        20","U","         0","U","       250","U","       101","U","   -3.9","U,1216, ","   42.2","U,0713, ","0.0","U,1206","-3.9","U,1216","","","0.0","U,0329","","","","","","","","","    1485.4","4","    1485.4","U","     16.87","U","     25.95","U","      7.79","U"
"USR0000COKG","2006","33.3933","-116.795","838.8","OAK GROVE CALIFORNIA, CA US","    901.3","","     901.3","U","         0","U","        52","U","         0","U","       263","U","       109","U","   -4.4","U,0116, ","   44.4","U,0722, ","0.0","U,1030","-2.8","U,1218","","","0.0","U,0402","-2.2","U,0319","-4.4","U,0116","","","","","    1260.6","6","    1260.6","U","     17.11","U","     26.55","U","      7.67","U"
"USR0000COKG","2007","33.3933","-116.795","838.8","OAK GROVE CALIFORNIA, CA US","    827.1","","     827.1","U","         0","U","        47","U","         0","U","       265","U","       112","U","   -8.9","U,0114, ","   41.7","U,0705,+","0.0","U,1201","-2.2","U,1214","-5.0","U,1227","-1.1","U,0419","-2.2","U,0328","-5.6","U,0117","-8.9","U,0114","-8.9","U,0114","    1247.3","3","    1247.3","U","     17.05","U","     26.71","U","      7.39","U"
"USR0000COKG","2008","33.3933","-116.795","838.8","OAK GROVE CALIFORNIA, CA US","    929.3","","     929.3","U","         0","U","        33","U","         0","U","       264","U","       128","U","   -3.9","U,1219,+","   41.7","U,0620,+","0.0","U,1012","-3.9","U,1219","","","0.0","U,0410","-3.9","U,0215","","","","","","","    1358.1","1","    1358.1","U","     17.29","U","     26.67","U","      7.91","U"
"USR0000COKG","2009","33.3933","-116.795","838.8","OAK GROVE CALIFORNIA, CA US","    839.1","","     839.1","U","         0","U","        46","U","         0","U","       274","U","       116","U","   -3.9","U,0210,+","   42.2","U,0828, ","0.0","U,1028","-2.8","U,1208","","","0.0","U,0426","-2.8","U,0416","","","","","","","    1201.9","9","    1201.9","U","     17.02","U","     26.61","U","      7.44","U"
