"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USR0000CTOM","2001","37.3761","-119.1783","2748.7","MOUNT TOM CALIFORNIA, CA US","     10.7","","      10.7","U","         0","U","       135","U","        62","U","        47","U","         0","U","  -15.6","U,0116, ","   26.7","U,0828, ","0.0","U,1030","-3.9","U,1112","-6.1","U,1113","-7.8","U,1123","-11.1","U,1125","-0.6","U,0504","-6.7","U,0503","-6.7","U,0503","-6.7","U,0503","-11.7","U,0421","    4361.1","1","    4361.1","U","      6.59","U","     11.23","U","      1.94","U"
"USR0000CTOM","2002","37.3761","-119.1783","2748.7","MOUNT TOM CALIFORNIA, CA US","     23.1","","      23.1","U","         0","U","       161","U","        40","U","        42","U","         0","U","  -17.2","U,0130,+","   29.4","U,0813, ","0.0","U,0907","-6.1","U,1001","-6.1","U,1001","-6.7","U,1002","-11.7","U,1217","-0.6","U,0609","-2.2","U,0523","-6.7","U,0522","-6.7","U,0522","-8.9","U,0501","    4092.2","2","    4092.2","U","      6.13","U","     11.20","U","      1.05","U"
"USR0000CTOM","2003","37.3761","-119.1783","2748.7","MOUNT TOM CALIFORNIA, CA US","     22.0","","      22.0","U","         0","U","       165","U","        60","U","        67","U","         0","U","  -14.4","U,0405, ","   28.3","U,0602, ","-8.9","U,1030","-8.9","U,1030","-8.9","U,1030","-8.9","U,1030","-8.9","U,1030","0.0","U,0624","-3.3","U,0511","-7.2","U,0510","-7.2","U,0510","-11.7","U,0509","    4416.4","4","    4416.4","U","      6.74","U","     11.53","U","      1.96","U"
"USR0000CTOM","2004","37.3761","-119.1783","2748.7","MOUNT TOM CALIFORNIA, CA US","      2.0","","       2.0","U","         0","U","       175","U","        61","U","        16","U","         0","U","  -16.7","U,0103, ","   23.9","U,0810, ","-5.6","U,0919","-5.6","U,0919","-5.6","U,0919","-6.7","U,1020","-9.4","U,1028","-1.1","U,0610","-3.3","U,0609","-4.4","U,0429","-6.7","U,0422","-9.4","U,0418","    4137.8","8","    4137.8","U","      5.74","U","     10.04","U","      1.44","U"
"USR0000CTOM","2007","37.3761","-119.1783","2748.7","MOUNT TOM CALIFORNIA, CA US","      9.5","","       9.5","U","         2","U","       128","U","        39","U","        22","U","         0","U","  -21.1","U,0112, ","   25.6","U,0706,+","-2.2","U,0919","-2.2","U,0919","-7.2","U,1005","-7.2","U,1005","-11.7","U,1201","-3.3","U,0607","-3.3","U,0607","-6.7","U,0606","-6.7","U,0606","-12.2","U,0418","","","","","      6.39","U","     10.13","U","      2.64","U"
"USR0000CTOM","2008","37.3761","-119.1783","2748.7","MOUNT TOM CALIFORNIA, CA US","","","","","         0","U","       151","U","        54","U","        23","U","         0","U","  -13.9","U,0214,+","   24.4","U,0709,+","-0.6","U,1004","-8.9","U,1010","-8.9","U,1010","-8.9","U,1010","-8.9","U,1010","0.0","U,0611","-2.2","U,0529","-5.6","U,0424","-6.7","U,0421","-8.9","U,0409","    4565.8","8","    4565.8","U","      6.07","U","      9.74","U","      2.41","U"
"USR0000CTOM","2009","37.3761","-119.1783","2748.7","MOUNT TOM CALIFORNIA, CA US","      8.0","","       8.0","U","         2","U","       136","U","        41","U","        27","U","         0","U","  -18.9","U,1207, ","   23.3","U,0926,+","-3.3","U,0929","-3.3","U,0929","-7.2","U,1004","-7.2","U,1004","-10.0","U,1027","-0.6","U,0607","-2.2","U,0606","-4.4","U,0428","-10.6","U,0425","-10.6","U,0425","","","","","      6.00","U","      9.76","U","      2.25","U"
"USR0000CTOM","2012","37.3761","-119.1783","2748.7","MOUNT TOM CALIFORNIA, CA US","     13.0","","      13.0","U","         0","U","       139","U","        47","U","        49","U","         0","U","  -17.2","U,0307, ","   26.1","U,0809, ","0.0","U,1010","-5.6","U,1022","-5.6","U,1022","-6.7","U,1023","-12.8","U,1109","-5.6","U,0605","-5.6","U,0605","-5.6","U,0605","-7.2","U,0526","-10.6","U,0414","","","","","      6.99","U","     11.63","U","      2.35","U"
"USR0000CTOM","2013","37.3761","-119.1783","2748.7","MOUNT TOM CALIFORNIA, CA US","     28.4","","      28.4","U","         0","U","       138","U","        30","U","        39","U","         0","U","  -17.2","U,0111, ","   26.7","U,0720,+","-3.3","U,0921","-3.3","U,0921","-5.0","U,0922","-6.7","U,1028","-12.8","U,1203","-2.2","U,0523","-2.2","U,0523","-4.4","U,0418","-10.0","U,0417","-10.0","U,0417","    4140.5","5","    4140.5","U","      6.91","U","     11.34","U","      2.48","U"
"USR0000CTOM","2014","37.3761","-119.1783","2748.7","MOUNT TOM CALIFORNIA, CA US","      9.7","","       9.7","U","         1","U","       121","U","        17","U","        37","U","         0","U","  -17.8","U,1231, ","   26.1","U,0630, ","0.0","U,0926","-3.3","U,1031","-5.0","U,1101","-7.8","U,1213","-12.2","U,1225","-1.1","U,0522","-2.2","U,0521","-6.1","U,0511","-7.8","U,0427","-10.6","U,0402","    3948.3","3","    3948.3","U","      7.75","U","     12.09","U","      3.42","U"
