"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USR0000ISLA","2005","45.6333","-116.2833","477.9","SLATE CREEK IDAHO, ID US","    466.9","","     466.9","U","         0","U","        90","U","         6","U","       163","U","        62","U","  -13.3","U,1218, ","   42.8","U,0821, ","0.0","U,1107","-2.2","U,1109","-5.0","U,1115","-8.3","U,1206","-12.2","U,1207","-0.6","U,0415","-2.2","U,0318","-4.4","U,0223","-6.7","U,0218","","","","","","","     12.39","U","     19.62","U","      5.15","U"
"USR0000ISLA","2006","45.6333","-116.2833","477.9","SLATE CREEK IDAHO, ID US","    613.1","","     613.1","U","         0","U","        80","U","         2","U","       161","U","        75","U","  -15.6","U,0218, ","   44.4","U,0722, ","0.0","U,1010","-3.9","U,1030","-7.2","U,1031","-7.2","U,1031","-10.6","U,1218","0.0","U,0510","-4.4","U,0312","-4.4","U,0312","-7.8","U,0220","-13.9","U,0219","    2565.0","0","    2565.0","U","     13.10","U","     20.58","U","      5.61","U"
"USR0000ISLA","2007","45.6333","-116.2833","477.9","SLATE CREEK IDAHO, ID US","    629.2","","     629.2","U","         0","U","        82","U","         6","U","       165","U","        74","U","  -15.6","U,0113, ","   44.4","U,0705, ","0.0","U,1026","-2.2","U,1027","-5.0","U,1121","-7.2","U,1122","","","0.0","U,0421","-2.8","U,0403","-7.2","U,0302","-7.2","U,0302","-8.9","U,0202","    2522.5","5","    2522.5","U","     13.06","U","     20.28","U","      5.84","U"
"USR0000ISLA","2008","45.6333","-116.2833","477.9","SLATE CREEK IDAHO, ID US","    467.3","","     467.3","U","         0","U","        95","U","        11","U","       148","U","        67","U","  -15.6","U,1217,+","   43.3","U,0817, ","-1.1","U,1009","-2.2","U,1011","-4.4","U,1123","-12.8","U,1214","-12.8","U,1214","-1.1","U,0502","-3.3","U,0403","-5.0","U,0218","-11.1","U,0124","-11.1","U,0124","    2821.6","6","    2821.6","U","     11.84","U","     19.02","U","      4.66","U"
"USR0000ISLA","2009","45.6333","-116.2833","477.9","SLATE CREEK IDAHO, ID US","    526.3","","     526.3","U","         0","U","       114","U","         6","U","       153","U","        74","U","  -16.7","U,1210,+","   41.7","U,0801, ","0.0","U,1001","-5.0","U,1010","-5.0","U,1010","-7.2","U,1011","-11.7","U,1206","0.0","U,0427","-6.7","U,0313","-6.7","U,0313","-6.7","U,0313","-8.9","U,0311","    2722.3","3","    2722.3","U","     11.94","U","     19.19","U","      4.69","U"
"USR0000ISLA","2010","45.6333","-116.2833","477.9","SLATE CREEK IDAHO, ID US","    405.2","","     405.2","U","         0","U","        82","U","         2","U","       148","U","        55","U","  -15.0","U,1124, ","   42.2","U,0825, ","0.0","U,1018","-2.2","U,1119","-8.9","U,1123","-8.9","U,1123","-8.9","U,1123","-0.6","U,0507","-2.2","U,0410","-5.0","U,0223","-7.8","U,0222","","","    2681.4","4","    2681.4","U","     12.41","U","     19.44","U","      5.37","U"
"USR0000ISLA","2011","45.6333","-116.2833","477.9","SLATE CREEK IDAHO, ID US","    536.5","","     536.5","U","         0","U","        93","U","         2","U","       144","U","        74","U","  -12.2","U,0226, ","   42.2","U,0827,+","-1.7","U,1026","-2.2","U,1101","-5.6","U,1116","-7.8","U,1205","-9.4","U,1222","0.0","U,0429","-2.2","U,0320","-12.2","U,0226","-12.2","U,0226","-12.2","U,0226","    2704.0","0","    2704.0","U","     12.35","U","     19.39","U","      5.31","U"
"USR0000ISLA","2012","45.6333","-116.2833","477.9","SLATE CREEK IDAHO, ID US","    571.6","","     571.6","U","         0","U","        71","U","         0","U","       163","U","        71","U","   -8.3","U,0112, ","   41.7","U,0807,+","-1.7","U,1005","-2.2","U,1022","-5.0","U,1209","","","","","0.0","U,0511","-2.2","U,0407","-6.1","U,0307","-6.7","U,0206","","","    2518.9","9","    2518.9","U","     13.23","U","     20.41","U","      6.04","U"
"USR0000ISLA","2013","45.6333","-116.2833","477.9","SLATE CREEK IDAHO, ID US","    696.8","","     696.8","U","         0","U","        88","U","        10","U","       151","U","        82","U","  -15.0","U,1205, ","   41.7","U,0701, ","-0.6","U,1015","-2.2","U,1029","-4.4","U,1120","-7.8","U,1121","-12.2","U,1204","-0.6","U,0502","-2.8","U,0417","-4.4","U,0211","-8.9","U,0122","-8.9","U,0122","    2515.3","3","    2515.3","U","     12.52","U","     19.36","U","      5.69","U"
"USR0000ISLA","2014","45.6333","-116.2833","477.9","SLATE CREEK IDAHO, ID US","    589.1","","     589.1","U","         0","U","        81","U","         9","U","       167","U","        68","U","  -15.0","U,0206, ","   41.7","U,0811, ","0.0","U,1110","-6.1","U,1111","-6.1","U,1111","-10.6","U,1112","-10.6","U,1112","-0.6","U,0429","-2.2","U,0324","-4.4","U,0209","-7.2","U,0207","-15.0","U,0206","    2781.6","6","    2781.6","U","     13.03","U","     20.02","U","      6.05","U"
"USR0000ISLA","2015","45.6333","-116.2833","477.9","SLATE CREEK IDAHO, ID US","    694.6","","     694.6","U","         0","U","        68","U","         1","U","       184","U","        78","U","  -12.8","U,0101, ","   45.0","U,0628, ","0.0","U,1112","-3.3","U,1120","-5.0","U,1121","-7.2","U,1126","-9.4","U,1127","-1.1","U,0416","-3.9","U,0305","-6.7","U,0304","-6.7","U,0304","-11.1","U,0102","    2160.1","1","    2160.1","U","     14.18","U","     21.47","U","      6.89","U"
