"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USR0000MROS","2005","48.85","-95.7","319.1","ROSEAU MINNESOTA, MN US","    174.5","","     174.5","U","        55","U","       180","U","       100","U","        95","U","         3","U","  -40.0","U,0117, ","   33.3","U,0710,+","-2.2","U,1006","-2.2","U,1006","-4.4","U,1007","-7.8","U,1115","-18.9","U,1116","0.0","U,0516","-2.8","U,0511","-5.6","U,0502","-7.8","U,0326","-15.0","U,0325","    5225.9","9","    5225.9","U","      4.22","U","      9.68","U","     -1.25","U"
"USR0000MROS","2006","48.85","-95.7","319.1","ROSEAU MINNESOTA, MN US","    199.0","","     199.0","U","        35","U","       185","U","       106","U","       120","U","         6","U","  -33.3","U,0217, ","   35.6","U,0716, ","-0.6","U,0909","-4.4","U,1009","-4.4","U,1009","-7.2","U,1029","-8.9","U,1103","0.0","U,0521","-2.8","U,0425","-4.4","U,0408","-6.7","U,0323","-12.8","U,0322","    4830.0","0","    4830.0","U","      5.22","U","     11.08","U","     -0.63","U"
"USR0000MROS","2007","48.85","-95.7","319.1","ROSEAU MINNESOTA, MN US","    181.2","","     181.2","U","        62","U","       182","U","       118","U","       105","U","         6","U","  -35.6","U,0205,+","   33.9","U,0723, ","-0.6","U,0911","-2.2","U,1001","-6.7","U,1027","-6.7","U,1027","-8.9","U,1118","-2.2","U,0502","-2.2","U,0502","-5.0","U,0411","-7.8","U,0410","-11.7","U,0409","    5262.4","4","    5262.4","U","      3.61","U","      9.36","U","     -2.13","U"
"USR0000MROS","2008","48.85","-95.7","319.1","ROSEAU MINNESOTA, MN US","     75.0","","      75.0","U","        74","U","       196","U","       113","U","        89","U","         1","U","  -36.1","U,0215, ","   32.2","U,0831, ","-2.2","U,1003","-2.2","U,1003","-5.6","U,1028","-7.2","U,1108","-13.9","U,1117","-0.6","U,0527","-3.9","U,0511","-5.0","U,0505","-9.4","U,0428","-9.4","U,0428","    5778.0","0","    5778.0","U","      2.16","U","      8.11","U","     -3.79","U"
"USR0000MROS","2009","48.85","-95.7","319.1","ROSEAU MINNESOTA, MN US","     75.8","","      75.8","U","        67","U","       182","U","        97","U","        90","U","         1","U","  -40.0","U,0113, ","   32.2","U,0812, ","-0.6","U,0929","-3.3","U,1008","-6.1","U,1009","-6.7","U,1013","-8.9","U,1120","-1.1","U,0606","-3.3","U,0514","-4.4","U,0425","-7.2","U,0405","-15.0","U,0329","    5748.6","6","    5748.6","U","      2.60","U","      8.18","U","     -2.98","U"
"USR0000MROS","2010","48.85","-95.7","319.1","ROSEAU MINNESOTA, MN US","    149.3","","     149.3","U","        51","U","       162","U","       100","U","       107","U","         2","U","  -39.4","U,0102, ","   33.9","U,0809, ","0.0","U,0916","-2.2","U,1015","-5.0","U,1105","-8.9","U,1117","-8.9","U,1117","-2.2","U,0509","-2.2","U,0509","-4.4","U,0417","-7.2","U,0408","-8.9","U,0326","    4997.5","5","    4997.5","U","      4.73","U","     10.38","U","     -0.92","U"
"USR0000MROS","2011","48.85","-95.7","319.1","ROSEAU MINNESOTA, MN US","","","","","        52","U","       175","U","        94","U","       106","U","         2","U","  -37.8","U,0121, ","   33.3","U,0718, ","-1.1","U,0914","-3.9","U,0915","-6.1","U,1020","-6.7","U,1029","-9.4","U,1108","-0.6","U,0526","-3.3","U,0502","-4.4","U,0501","-6.7","U,0330","-10.0","U,0329","    5461.7","7","    5461.7","U","      4.05","U","      9.79","U","     -1.70","U"
"USR0000MROS","2012","48.85","-95.7","319.1","ROSEAU MINNESOTA, MN US","    204.8","","     204.8","U","        38","U","       183","U","        90","U","       118","U","         9","U","  -31.1","U,1210, ","   34.4","U,0829, ","-1.7","U,0914","-2.2","U,0917","-4.4","U,0923","-8.3","U,1027","-10.0","U,1112","-2.2","U,0516","-2.2","U,0516","-4.4","U,0426","-7.2","U,0417","-21.1","U,0309","","","","","      5.30","U","     11.37","U","     -0.77","U"
"USR0000MROS","2013","48.85","-95.7","319.1","ROSEAU MINNESOTA, MN US","    181.6","","     181.6","U","        78","U","       201","U","       116","U","       117","U","         4","U","  -35.0","U,1231, ","   33.9","U,0828, ","-1.1","U,0916","-2.8","U,1016","-5.0","U,1027","-8.3","U,1028","-12.2","U,1029","-5.6","U,0512","-5.6","U,0512","-5.6","U,0512","-7.8","U,0423","-9.4","U,0420","    5711.8","8","    5711.8","U","      2.27","U","      8.20","U","     -3.65","U"
"USR0000MROS","2014","48.85","-95.7","319.1","ROSEAU MINNESOTA, MN US","    137.8","","     137.8","U","        77","U","       184","U","       123","U","        98","U","         1","U","  -37.8","U,0102, ","   32.2","U,0720, ","-0.6","U,0911","-2.2","U,1009","-6.1","U,1030","-9.4","U,1031","-9.4","U,1031","0.0","U,0517","-2.2","U,0504","-5.0","U,0418","-8.3","U,0417","-13.9","U,0415","    6140.8","8","    6140.8","U","      2.19","U","      7.59","U","     -3.20","U"
