"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USR0000MZOR","1988","47.9225","-108.5528","1420.4","ZORTMAN MINE MONTANA, MT US","    262.1","","     262.1","U","        19","U","       142","U","        63","U","       100","U","         7","U","  -25.0","U,0210,+","   33.3","U,0626,+","0.0","U,1003","-7.8","U,1026","-7.8","U,1026","-7.8","U,1026","-11.7","U,1027","0.0","U,0502","-6.1","U,0426","-6.1","U,0426","-8.9","U,0330","-8.9","U,0330","    4189.5","5","    4189.5","U","      7.29","U","     12.12","U","      2.47","U"
"USR0000MZOR","1989","47.9225","-108.5528","1420.4","ZORTMAN MINE MONTANA, MT US","","","","","        32","U","       164","U","        69","U","        71","U","         0","U","  -36.1","U,0202,+","   31.7","U,0801,+","-2.8","U,0910","-2.8","U,0910","-4.4","U,1016","-12.2","U,1031","-12.2","U,1031","0.0","U,0530","-5.0","U,0430","-5.0","U,0430","-10.6","U,0417","-10.6","U,0417","","","","","      4.80","U","      9.30","U","      0.29","U"
"USR0000MZOR","1990","47.9225","-108.5528","1420.4","ZORTMAN MINE MONTANA, MT US","    171.4","","     171.4","U","        21","U","       165","U","        60","U","        83","U","         2","U","  -33.9","U,1229,+","   33.9","U,0815,+","-1.7","U,1005","-5.6","U,1006","-5.6","U,1006","-7.8","U,1103","-10.6","U,1105","-0.6","U,0513","-3.9","U,0509","-5.6","U,0430","-7.2","U,0429","-10.6","U,0411","    4512.3","3","    4512.3","U","      6.04","U","     10.89","U","      1.18","U"
"USR0000MZOR","1991","47.9225","-108.5528","1420.4","ZORTMAN MINE MONTANA, MT US","","","","","        17","U","       152","U","        51","U","        75","U","         2","U","  -26.1","U,0106,+","   32.8","U,0831,+","-1.7","U,0917","-3.9","U,1004","-5.0","U,1005","-6.7","U,1017","-10.0","U,1022","-2.8","U,0505","-2.8","U,0505","-5.6","U,0504","-13.3","U,0327","-13.3","U,0327","    4357.3","3","    4357.3","U","      6.57","U","     11.13","U","      2.01","U"
"USR0000MZOR","1992","47.9225","-108.5528","1420.4","ZORTMAN MINE MONTANA, MT US","     93.9","","      93.9","U","         9","U","       152","U","        45","U","        70","U","         0","U","  -33.3","U,1230, ","   31.1","U,0610, ","0.0","U,0822","-3.3","U,1007","-5.0","U,1013","-8.3","U,1015","-10.0","U,1122","-2.2","U,0525","-2.2","U,0525","-8.9","U,0412","-8.9","U,0412","-8.9","U,0412","","","","","      6.59","U","     11.26","U","      1.92","U"
"USR0000MZOR","1994","47.9225","-108.5528","1420.4","ZORTMAN MINE MONTANA, MT US","","","","","        20","U","       144","U","        54","U","        86","U","         1","U","  -31.1","U,0207, ","   32.2","U,0729, ","0.0","U,0920","-2.8","U,1002","-9.4","U,1102","-9.4","U,1102","-9.4","U,1102","-2.2","U,0430","-2.2","U,0430","-5.6","U,0429","-6.7","U,0427","-9.4","U,0327","","","","","      6.47","U","     11.23","U","      1.70","U"
"USR0000MZOR","1995","47.9225","-108.5528","1420.4","ZORTMAN MINE MONTANA, MT US","","","","","        16","U","       143","U","        46","U","        72","U","         2","U","  -29.4","U,1208,+","   33.3","U,0807, ","-1.7","U,0918","-6.7","U,0920","-6.7","U,0920","-6.7","U,0920","-9.4","U,1030","-4.4","U,0513","-4.4","U,0513","-4.4","U,0513","-6.7","U,0411","-12.2","U,0410","","","","","      6.12","U","     10.84","U","      1.40","U"
"USR0000MZOR","1996","47.9225","-108.5528","1420.4","ZORTMAN MINE MONTANA, MT US","    173.9","","     173.9","U","        50","U","       169","U","        87","U","        75","U","         3","U","  -34.4","U,0201, ","   35.0","U,0811, ","0.0","U,0923","-6.1","U,1001","-6.1","U,1001","-13.9","U,1029","-13.9","U,1029","-1.7","U,0511","-3.3","U,0510","-7.8","U,0509","-7.8","U,0509","-9.4","U,0331","    4900.4","4","    4900.4","U","      4.09","U","      8.84","U","     -0.67","U"
"USR0000MZOR","1997","47.9225","-108.5528","1420.4","ZORTMAN MINE MONTANA, MT US","","","","","        14","U","       157","U","        51","U","        89","U","         1","U","  -31.7","U,0125, ","   32.2","U,0804, ","-0.6","U,0918","-3.3","U,1008","-5.0","U,1009","-8.9","U,1013","-8.9","U,1013","-1.7","U,0520","-3.3","U,0519","-6.7","U,0412","-6.7","U,0412","-11.7","U,0411","","","","","      6.59","U","     11.32","U","      1.85","U"
"USR0000MZOR","1998","47.9225","-108.5528","1420.4","ZORTMAN MINE MONTANA, MT US","    272.6","","     272.6","U","        17","U","       139","U","        46","U","        91","U","         6","U","  -29.4","U,0111, ","   35.0","U,0806, ","-0.6","U,1010","-2.8","U,1012","-4.4","U,1105","-7.2","U,1106","-8.9","U,1110","-2.8","U,0602","-2.8","U,0602","-5.0","U,0419","-6.7","U,0318","-17.2","U,0311","    4155.4","4","    4155.4","U","      7.62","U","     12.15","U","      3.10","U"
