"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USR0000OBUR","1989","43.2192","-123.8428","682.8","BURNT MOUNTAIN OREGON, OR US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    2952.2","2","    2952.2","U","","","","","",""
"USR0000OBUR","1990","43.2192","-123.8428","682.8","BURNT MOUNTAIN OREGON, OR US","    126.6","","     126.6","U","         1","U","        60","U","         7","U","        89","U","         5","U","  -18.3","U,1221, ","   32.8","U,0921,+","0.0","U,1102","-3.9","U,1218","-10.0","U,1219","-10.0","U,1219","-10.0","U,1219","0.0","U,0507","-2.8","U,0312","-4.4","U,0218","-9.4","U,0214","-9.4","U,0214","","","","","     10.16","U","     14.83","U","      5.48","U"
"USR0000OBUR","1992","43.2192","-123.8428","682.8","BURNT MOUNTAIN OREGON, OR US","    181.9","","     181.9","U","         0","U","        20","U","         1","U","       120","U","         8","U","   -1.7","U,1217, ","   37.2","U,0811, ","-0.6","U,1128","","","","","","","","","0.0","U,0406","","","","","","","","","    2268.3","3","    2268.3","U","     12.16","U","     17.05","U","      7.27","U"
"USR0000OBUR","1994","43.2192","-123.8428","682.8","BURNT MOUNTAIN OREGON, OR US","     79.4","","      79.4","U","         0","U","        45","U","         0","U","       102","U","         4","U","   -6.1","U,0208, ","   34.4","U,0921, ","-1.1","U,1102","-3.9","U,1117","-4.4","U,1118","","","","","-1.7","U,0323","-2.8","U,0322","-6.1","U,0208","","","","","    2787.8","8","    2787.8","U","     10.27","U","     15.14","U","      5.40","U"
"USR0000OBUR","1995","43.2192","-123.8428","682.8","BURNT MOUNTAIN OREGON, OR US","    106.5","","     106.5","U","         0","U","        26","U","         1","U","        96","U","         4","U","   -3.9","U,0213, ","   34.4","U,0629, ","-0.6","U,1103","","","","","","","","","-0.6","U,0420","-2.8","U,0306","","","","","","","    2980.7","7","    2980.7","U","     10.97","U","     15.65","U","      6.28","U"
"USR0000OBUR","1996","43.2192","-123.8428","682.8","BURNT MOUNTAIN OREGON, OR US","    169.2","","     169.2","U","         0","U","        38","U","         0","U","        99","U","         7","U","   -6.1","U,0226, ","   35.0","U,0809,+","0.0","U,1201","","","","","","","","","0.0","U,0504","-2.8","U,0325","-6.1","U,0226","","","","","    2825.1","1","    2825.1","U","     10.77","U","     15.48","U","      6.07","U"
"USR0000OBUR","1997","43.2192","-123.8428","682.8","BURNT MOUNTAIN OREGON, OR US","     70.1","","      70.1","U","         0","U","        40","U","         1","U","        88","U","         2","U","   -6.1","U,0113, ","   33.3","U,0923, ","-0.6","U,1208","-2.2","U,1222","","","","","","","-1.1","U,0410","-2.8","U,0124","-6.1","U,0113","","","","","    2888.1","1","    2888.1","U","     10.73","U","     15.26","U","      6.20","U"
"USR0000OBUR","1998","43.2192","-123.8428","682.8","BURNT MOUNTAIN OREGON, OR US","    152.7","","     152.7","U","         0","U","        47","U","         1","U","        99","U","        11","U","  -12.8","U,1220, ","   37.2","U,0831, ","0.0","U,1128","-2.2","U,1218","-6.7","U,1219","-6.7","U,1219","-12.8","U,1220","0.0","U,0425","-2.2","U,0306","","","","","","","    3002.3","3","    3002.3","U","     10.14","U","     14.71","U","      5.58","U"
"USR0000OBUR","1999","43.2192","-123.8428","682.8","BURNT MOUNTAIN OREGON, OR US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    3211.2","2","    3211.2","U","","","","","",""
"USR0000OBUR","2000","43.2192","-123.8428","682.8","BURNT MOUNTAIN OREGON, OR US","     53.0","","      53.0","U","         0","U","        44","U","         0","U","        97","U","         1","U","   -3.3","U,1111, ","   32.8","U,0627, ","0.0","U,1109","-2.2","U,1110","","","","","","","0.0","U,0510","-2.2","U,0127","","","","","","","","","","","     10.11","U","     15.18","U","      5.04","U"
