"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USR0000OSAG","1987","43.5097","-119.2925","1341.1","SAGE HEN OREGON, OR US","    115.2","","     115.2","U","         7","U","       176","U","        38","U","       132","U","        10","U","  -21.7","U,0116,+","   36.1","U,0714, ","-5.6","U,0916","-5.6","U,0916","-5.6","U,0916","-7.8","U,1115","-10.0","U,1125","-1.1","U,0602","-2.2","U,0601","-4.4","U,0521","-6.7","U,0419","-10.6","U,0226","","","","","      7.71","U","     15.16","U","      0.26","U"
"USR0000OSAG","1988","43.5097","-119.2925","1341.1","SAGE HEN OREGON, OR US","    148.3","","     148.3","U","        10","U","       188","U","        32","U","       136","U","        28","U","  -22.2","U,1228, ","   36.1","U,0720, ","0.0","U,0910","-2.2","U,0912","-4.4","U,0918","-7.8","U,1117","-12.8","U,1118","-0.6","U,0629","-2.2","U,0514","-5.0","U,0502","-8.3","U,0408","-8.9","U,0312","    4065.6","6","    4065.6","U","      7.37","U","     15.13","U","     -0.39","U"
"USR0000OSAG","1989","43.5097","-119.2925","1341.1","SAGE HEN OREGON, OR US","     74.0","","      74.0","U","        13","U","       189","U","        39","U","       119","U","        15","U","  -30.6","U,0205, ","   35.0","U,0725, ","-2.8","U,0910","-2.8","U,0910","-5.6","U,1004","-7.8","U,1015","-11.7","U,1029","-0.6","U,0610","-2.2","U,0530","-4.4","U,0528","-12.2","U,0304","-12.2","U,0304","    4328.7","7","    4328.7","U","      6.37","U","     13.92","U","     -1.18","U"
"USR0000OSAG","1990","43.5097","-119.2925","1341.1","SAGE HEN OREGON, OR US","    220.0","","     220.0","U","        11","U","       189","U","        30","U","       121","U","        29","U","  -32.2","U,1222, ","   37.8","U,0805, ","-2.2","U,1005","-2.2","U,1005","-5.6","U,1006","-6.7","U,1007","-8.9","U,1011","-3.9","U,0613","-3.9","U,0613","-5.6","U,0525","-8.3","U,0508","-10.0","U,0313","    4048.5","5","    4048.5","U","      7.49","U","     15.22","U","     -0.24","U"
"USR0000OSAG","1991","43.5097","-119.2925","1341.1","SAGE HEN OREGON, OR US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    4283.4","4","    4283.4","U","","","","","",""
"USR0000OSAG","1992","43.5097","-119.2925","1341.1","SAGE HEN OREGON, OR US","    166.2","","     166.2","U","         6","U","       176","U","        31","U","       128","U","        21","U","  -24.4","U,1205, ","   36.1","U,0814,+","0.0","U,0823","-3.9","U,0913","-6.1","U,1014","-8.3","U,1109","-10.6","U,1110","-3.9","U,0521","-3.9","U,0521","-6.7","U,0501","-6.7","U,0501","-8.9","U,0405","","","","","      8.16","U","     15.63","U","      0.69","U"
"USR0000OSAG","1994","43.5097","-119.2925","1341.1","SAGE HEN OREGON, OR US","    181.7","","     181.7","U","         2","U","       193","U","        25","U","       131","U","        30","U","  -18.3","U,1208, ","   36.7","U,0722, ","-1.7","U,1005","-4.4","U,1006","-4.4","U,1006","-8.9","U,1022","-8.9","U,1022","-2.2","U,0614","-2.2","U,0614","-7.2","U,0501","-7.2","U,0501","-10.0","U,0323","    4044.9","9","    4044.9","U","      7.55","U","     15.47","U","     -0.37","U"
"USR0000OSAG","1995","43.5097","-119.2925","1341.1","SAGE HEN OREGON, OR US","     87.2","","      87.2","U","         0","U","       178","U","        18","U","       109","U","        13","U","  -16.7","U,1226, ","   34.4","U,0728, ","0.0","U,0813","-2.8","U,0922","-4.4","U,1005","-6.7","U,1019","-12.2","U,1101","-0.6","U,0620","-2.8","U,0527","-5.0","U,0422","-6.7","U,0419","-11.1","U,0306","    4098.9","9","    4098.9","U","      7.69","U","     14.80","U","      0.56","U"
"USR0000OSAG","1996","43.5097","-119.2925","1341.1","SAGE HEN OREGON, OR US","    186.6","","     186.6","U","         5","U","       195","U","        22","U","       113","U","        29","U","  -25.6","U,0202, ","   37.2","U,0810, ","-1.1","U,0806","-3.3","U,0918","-5.0","U,1014","-8.3","U,1017","-10.0","U,1020","0.0","U,0718","-3.9","U,0618","-5.0","U,0509","-8.3","U,0504","-9.4","U,0326","    4139.3","3","    4139.3","U","      7.55","U","     14.85","U","      0.25","U"
"USR0000OSAG","1997","43.5097","-119.2925","1341.1","SAGE HEN OREGON, OR US","     93.2","","      93.2","U","         2","U","       190","U","        22","U","       120","U","        11","U","  -20.0","U,0123, ","   35.0","U,0804, ","-2.8","U,0918","-2.8","U,0918","-8.3","U,1008","-8.3","U,1008","-9.4","U,1025","-2.8","U,0622","-2.8","U,0622","-4.4","U,0507","-10.0","U,0412","-10.0","U,0412","    3965.6","6","    3965.6","U","      7.46","U","     14.74","U","      0.17","U"
