"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USR0000TLEW","2005","35.3817","-86.7658","350.5","LEWISBURG TOWER TENNESSEE, TN US","    976.8","","     976.8","U","         0","U","        51","U","         4","U","       193","U","        33","U","  -11.7","U,0118, ","   36.1","U,0820,+","-1.7","U,1116","-5.0","U,1117","-5.0","U,1117","-7.2","U,1206","-9.4","U,1220","0.0","U,0424","-5.0","U,0302","-5.0","U,0302","-7.2","U,0211","-8.9","U,0123","    1710.6","6","    1710.6","U","     15.72","U","     20.61","U","     10.82","U"
"USR0000TLEW","2006","35.3817","-86.7658","350.5","LEWISBURG TOWER TENNESSEE, TN US","    931.5","","     931.5","U","         0","U","        51","U","         4","U","       192","U","        48","U","  -12.8","U,1208,+","   36.7","U,0719, ","0.0","U,1024","-3.3","U,1201","-4.4","U,1202","-10.0","U,1204","-10.0","U,1204","-0.6","U,0326","-2.2","U,0325","-5.0","U,0220","-12.8","U,0219","-12.8","U,0219","    1872.6","6","    1872.6","U","     15.89","U","     20.98","U","     10.81","U"
"USR0000TLEW","2007","35.3817","-86.7658","350.5","LEWISBURG TOWER TENNESSEE, TN US","   1211.1","","    1211.1","U","         0","U","        54","U","         5","U","       211","U","        55","U","  -12.2","U,0131, ","   40.0","U,0815, ","-0.6","U,1107","-2.2","U,1123","-4.4","U,1206","","","","","-3.3","U,0408","-3.3","U,0408","-5.6","U,0407","-7.2","U,0218","-11.7","U,0216","    1843.1","1","    1843.1","U","     16.76","U","     21.86","U","     11.66","U"
"USR0000TLEW","2008","35.3817","-86.7658","350.5","LEWISBURG TOWER TENNESSEE, TN US","    900.9","","     900.9","U","         0","U","        68","U","         6","U","       191","U","        29","U","  -13.3","U,1222, ","   36.7","U,0721, ","0.0","U,1028","-2.8","U,1118","-5.0","U,1122","-6.7","U,1205","-9.4","U,1221","-2.2","U,0324","-2.2","U,0324","-5.6","U,0308","-8.3","U,0214","-12.2","U,0125","    1808.5","5","    1808.5","U","     15.16","U","     20.25","U","     10.06","U"
"USR0000TLEW","2009","35.3817","-86.7658","350.5","LEWISBURG TOWER TENNESSEE, TN US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    1946.7","7","    1946.7"," ","","","","","",""
"USR0000TLEW","2010","35.3817","-86.7658","350.5","LEWISBURG TOWER TENNESSEE, TN US","   1213.4","","    1213.4","U","         0","U","        75","U","        22","U","       206","U","        72","U","  -14.4","U,1214, ","   38.3","U,0804, ","-0.6","U,1106","-2.8","U,1201","-5.6","U,1206","-7.2","U,1207","-12.2","U,1213","0.0","U,0306","-2.8","U,0304","-5.0","U,0226","-7.2","U,0225","-13.9","U,0110","","","","","     15.71","U","     20.73","U","     10.69","U"
"USR0000TLEW","2011","35.3817","-86.7658","350.5","LEWISBURG TOWER TENNESSEE, TN US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    1857.4","4","    1857.4","U","","","","","",""
"USR0000TLEW","2012","35.3817","-86.7658","350.5","LEWISBURG TOWER TENNESSEE, TN US","   1068.2","","    1068.2","U","         0","U","        38","U","         0","U","       209","U","        52","U","   -8.9","U,0212, ","   42.2","U,0629, ","-0.6","U,1113","-3.3","U,1124","-5.6","U,1230","","","","","0.0","U,0304","-3.3","U,0213","-8.9","U,0212","-8.9","U,0212","-8.9","U,0212","","","","","     17.11","U","     22.25","U","     11.97","U"
"USR0000TLEW","2013","35.3817","-86.7658","350.5","LEWISBURG TOWER TENNESSEE, TN US","    842.7","","     842.7","U","         0","U","        70","U","         5","U","       185","U","        22","U","   -8.3","U,1212,+","   33.9","U,0831, ","-0.6","U,1025","-3.3","U,1112","-5.0","U,1113","-7.8","U,1124","","","-1.7","U,0327","-6.1","U,0321","-6.1","U,0321","-8.3","U,0201","","","    1933.7","7","    1933.7","U","     14.96","U","     19.75","U","     10.17","U"
"USR0000TLEW","2014","35.3817","-86.7658","350.5","LEWISBURG TOWER TENNESSEE, TN US","    878.4","","     878.4","U","         1","U","        73","U","        13","U","       186","U","        22","U","  -18.3","U,0107, ","   33.9","U,0712, ","-1.1","U,1102","-6.1","U,1113","-6.1","U,1113","-6.7","U,1114","","","-1.1","U,0416","-3.9","U,0326","-6.1","U,0228","-7.8","U,0227","-10.0","U,0130","    2125.3","3","    2125.3","U","     14.62","U","     19.73","U","      9.52","U"
