"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USR0000WABE","1998","46.35","-123.1","883.9","ABERNATHY MOUNTAIN WASHINGTON, WA US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    3718.3","3","    3718.3","U","","","","","",""
"USR0000WABE","2000","46.35","-123.1","883.9","ABERNATHY MOUNTAIN WASHINGTON, WA US","     20.6","","      20.6","U","         0","U","       105","U","        11","U","        44","U","         0","U","   -5.0","U,1211,+","   31.1","U,0627, ","-0.6","U,1109","-3.9","U,1110","-5.0","U,1111","","","","","0.0","U,0510","-2.2","U,0424","","","","","","","","","","","      7.40","U","     11.21","U","      3.58","U"
"USR0000WABE","2001","46.35","-123.1","883.9","ABERNATHY MOUNTAIN WASHINGTON, WA US","     23.1","","      23.1","U","         0","U","       112","U","         8","U","        58","U","         1","U","   -7.8","U,0207, ","   32.2","U,0522, ","-0.6","U,1027","-2.8","U,1203","","","","","","","0.0","U,0520","-2.8","U,0414","-7.8","U,0207","-7.8","U,0207","","","    4011.0","0","    4011.0","U","      7.46","U","     11.51","U","      3.40","U"
"USR0000WABE","2002","46.35","-123.1","883.9","ABERNATHY MOUNTAIN WASHINGTON, WA US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    4030.2","2","    4030.2","U","","","","","",""
"USR0000WABE","2004","46.35","-123.1","883.9","ABERNATHY MOUNTAIN WASHINGTON, WA US","     66.0","","      66.0","U","         0","U","        74","U","         5","U","        68","U","         1","U","  -11.1","U,0104, ","   33.3","U,0724, ","0.0","U,1031","-2.2","U,1127","","","","","","","0.0","U,0424","-2.2","U,0107","-7.8","U,0106","-7.8","U,0106","-10.6","U,0105","    3650.5","5","    3650.5","U","      8.60","U","     12.61","U","      4.59","U"
"USR0000WABE","2012","46.35","-123.1","883.9","ABERNATHY MOUNTAIN WASHINGTON, WA US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    4090.1","1","    4090.1","U","","","","","",""
"USR0000WABE","2014","46.35","-123.1","883.9","ABERNATHY MOUNTAIN WASHINGTON, WA US","     76.0","","      76.0","U","         0","U","        49","U","        12","U","        65","U","         1","U","  -13.3","U,0206, ","   32.8","U,0811, ","-5.6","U,1111","-5.6","U,1111","-5.6","U,1111","-9.4","U,1129","-9.4","U,1129","-1.1","U,0322","-2.8","U,0222","-5.6","U,0208","-11.1","U,0207","-11.1","U,0207","","","","","      8.87","U","     12.30","U","      5.44","U"
"USR0000WABE","2015","46.35","-123.1","883.9","ABERNATHY MOUNTAIN WASHINGTON, WA US","    102.1","","     102.1","U","         0","U","        44","U","        11","U","        68","U","         1","U","   -5.0","U,1231, ","   32.2","U,0730, ","0.0","U,1115","-2.2","U,1120","-4.4","U,1125","","","","","-1.1","U,0414","-2.2","U,0101","","","","","","","    3061.1","1","    3061.1","U","      9.60","U","     13.26","U","      5.95","U"
"USR0000WABE","2016","46.35","-123.1","883.9","ABERNATHY MOUNTAIN WASHINGTON, WA US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    3416.7","7","    3416.7","U","","","","","",""
"USR0000WABE","2018","46.35","-123.1","883.9","ABERNATHY MOUNTAIN WASHINGTON, WA US","     96.3","","      96.3","U","         0","U","        80","U","        11","U","        61","U","         0","U","   -8.9","U,0219, ","   31.1","U,0808,+","-0.6","U,1108","-3.3","U,1204","-5.0","U,1205","","","","","0.0","U,0417","-2.8","U,0402","-7.8","U,0223","-7.8","U,0223","-8.9","U,0219","    3651.7","7","    3651.7","U","      8.38","U","     11.92","U","      4.83","U"
