"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USR0000WCAN","1989","45.9167","-122.1667","762.0","CANYON CREEK WASHINGTON, WA US","     87.0","","      87.0","U","         2","U","        57","U","        13","U","        67","U","         0","U","  -20.0","U,0203, ","   31.1","U,0924, ","0.0","U,1210","","","","","","","","","-0.6","U,0403","-3.9","U,0304","-7.8","U,0303","-7.8","U,0303","-15.6","U,0204","","","","","      9.13","U","     12.75","U","      5.51","U"
"USR0000WCAN","1990","45.9167","-122.1667","762.0","CANYON CREEK WASHINGTON, WA US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    3244.7","7","    3244.7","U","","","","","",""
"USR0000WCAN","1991","45.9167","-122.1667","762.0","CANYON CREEK WASHINGTON, WA US","","","","","         0","U","        77","U","         9","U","        75","U","         2","U","   -7.2","U,0104, ","   32.2","U,0723,+","-0.6","U,1027","-2.8","U,1029","","","","","","","0.0","U,0604","-2.2","U,0411","-6.1","U,0129","-6.7","U,0106","","","","","","","      8.84","U","     12.51","U","      5.18","U"
"USR0000WCAN","1992","45.9167","-122.1667","762.0","CANYON CREEK WASHINGTON, WA US","    182.2","","     182.2","U","         0","U","        63","U","        10","U","        82","U","         7","U","   -7.2","U,1231, ","   34.4","U,0730,+","0.0","U,1108","-2.2","U,1202","-4.4","U,1203","-6.7","U,1218","","","0.0","U,0521","-2.2","U,0112","","","","","","","    2901.7","7","    2901.7","U","     10.18","U","     14.11","U","      6.25","U"
"USR0000WCAN","1994","45.9167","-122.1667","762.0","CANYON CREEK WASHINGTON, WA US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    3361.8","8","    3361.8","U","","","","","",""
"USR0000WCAN","1996","45.9167","-122.1667","762.0","CANYON CREEK WASHINGTON, WA US","    182.3","","     182.3","U","         0","U","        92","U","        21","U","        79","U","        11","U","  -15.0","U,0131,+","   38.3","U,0824, ","0.0","U,1016","-2.2","U,1119","","","","","","","0.0","U,0509","-5.0","U,0325","-5.0","U,0325","-6.7","U,0228","-8.9","U,0203","    3505.6","6","    3505.6","U","      8.76","U","     12.92","U","      4.60","U"
"USR0000WCAN","1997","45.9167","-122.1667","762.0","CANYON CREEK WASHINGTON, WA US","    101.9","","     101.9","U","         0","U","        83","U","         6","U","        76","U","         1","U","   -6.7","U,0126, ","   32.2","U,0704, ","0.0","U,1201","-2.8","U,1221","","","","","","","0.0","U,0501","-2.8","U,0404","-6.1","U,0208","-6.7","U,0126","","","    3503.0","0","    3503.0","U","      9.21","U","     13.38","U","      5.03","U"
"USR0000WCAN","2006","45.9167","-122.1667","762.0","CANYON CREEK WASHINGTON, WA US","    261.6","","     261.6","U","         0","U","        76","U","         6","U","       109","U","        18","U","  -10.6","U,0217, ","   41.7","U,0721, ","0.0","U,1029","-2.8","U,1030","-6.7","U,1128","-6.7","U,1128","","","-0.6","U,0502","-3.3","U,0319","-6.1","U,0224","-8.9","U,0218","-8.9","U,0218","    3306.3","3","    3306.3","U","     10.19","U","     15.08","U","      5.30","U"
"USR0000WCAN","2008","45.9167","-122.1667","762.0","CANYON CREEK WASHINGTON, WA US","","","","","         0","U","       109","U","","","","","","","  -12.2","U,1214, ","","","0.0","U,1010","-2.8","U,1213","-12.2","U,1214","-12.2","U,1214","-12.2","U,1214","0.0","U,0509","-2.8","U,0420","-5.0","U,0401","-7.2","U,0121","","","","","","","","","","","      4.00","U"
"USR0000WCAN","2009","45.9167","-122.1667","762.0","CANYON CREEK WASHINGTON, WA US","    257.9","","     257.9","U","         0","U","       118","U","         6","U","       103","U","        19","U","  -12.8","U,1207, ","   41.1","U,0730, ","0.0","U,1011","-3.3","U,1204","-8.9","U,1206","-8.9","U,1206","-8.9","U,1206","0.0","U,0513","-2.8","U,0404","-5.6","U,0312","-6.7","U,0311","","","    3366.5","5","    3366.5","U","      9.64","U","     14.83","U","      4.45","U"
"USR0000WCAN","2010","45.9167","-122.1667","762.0","CANYON CREEK WASHINGTON, WA US","    136.0","","     136.0","U","         0","U","        78","U","         5","U","        81","U","        11","U","  -13.9","U,1124,+","   38.3","U,0815, ","0.0","U,1109","-2.2","U,1121","-7.2","U,1122","-7.2","U,1122","-13.9","U,1123","0.0","U,0521","-2.2","U,0309","","","","","","","    3387.2","2","    3387.2","U","      9.24","U","     14.06","U","      4.43","U"
"USR0000WCAN","2011","45.9167","-122.1667","762.0","CANYON CREEK WASHINGTON, WA US","    130.1","","     130.1","U","         0","U","       128","U","         7","U","        69","U","         7","U","  -12.2","U,0226, ","   38.9","U,0911, ","0.0","U,1027","-2.8","U,1119","","","","","","","0.0","U,0512","-2.2","U,0422","-5.6","U,0227","-12.2","U,0226","-12.2","U,0226","    3805.9","9","    3805.9","U","      8.36","U","     12.95","U","      3.76","U"
"USR0000WCAN","2014","45.9167","-122.1667","762.0","CANYON CREEK WASHINGTON, WA US","    246.6","","     246.6","U","         0","U","        65","U","         6","U","       120","U","        17","U","  -12.8","U,0206,+","   38.3","U,0810, ","-5.0","U,1111","-5.0","U,1111","-5.0","U,1111","-6.7","U,1112","-8.9","U,1230","0.0","U,0331","-3.3","U,0222","-5.6","U,0209","-7.2","U,0208","-11.7","U,0207","","","","","     10.58","U","     15.64","U","      5.52","U"
