"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USS0006K01S","1981","39.36","-106.06","3474.7","HOOSIER PASS, CO US","","","","","       128","T","       128","T","         2","T","","","","","","","","","","","","","","","","","  53.3"," ,T,1015, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    686.1"," ,T","","","","","",""
"USS0006K01S","1982","39.36","-106.06","3474.7","HOOSIER PASS, CO US","","","","","       124","T","       124","T","         2","T","","","","","","","","","","","","","","","","","  30.5"," ,T,0512, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    678.7"," ,T","","","","","",""
"USS0006K01S","1983","39.36","-106.06","3474.7","HOOSIER PASS, CO US","","","","","       165","T","       165","T","         3","T","","","","","","","","","","","","","","","","","  30.5"," ,T,0519, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    940.1"," ,T","","","","","",""
"USS0006K01S","1984","39.36","-106.06","3474.7","HOOSIER PASS, CO US","","","","","       146","T","       146","T","         2","T","","","","","","","","","","","","","","","","","  43.2"," ,T,0606, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    840.9"," ,T","","","","","",""
"USS0006K01S","1985","39.36","-106.06","3474.7","HOOSIER PASS, CO US","","","","","       124","T","       124","T","         3","T","","","","","","","","","","","","","","","","","  33.0"," ,T,0425, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    790.7"," ,T","","","","","",""
"USS0006K01S","1986","39.36","-106.06","3474.7","HOOSIER PASS, CO US","","","","","       126","T","       126","T","         1","T","","","","","","","","","","","","","","","","","  45.7"," ,T,1031, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    750.3"," ,T","","","","","",""
"USS0006K01S","1987","39.36","-106.06","3474.7","HOOSIER PASS, CO US","","","","","       116","T","       116","T","         3","T","","","","","","","","","","","","","","","","","  25.4"," ,T,1210,+","","","","","","","","","","","","","","","","","","","","","","","","","","","    692.2"," ,T","","","","","",""
"USS0006K01S","1988","39.36","-106.06","3474.7","HOOSIER PASS, CO US","","","","","       131","T","       131","T","         0","T","","","","","","","       107","T","         3","T","         0","T","","","","","  22.9"," ,T,0519, ","   21.3","T,0814, ","","","","","","","","","","","","","","","","","","","","","","","","","    726.9"," ,T","","","      5.93","T","",""
"USS0006K01S","1989","39.36","-106.06","3474.7","HOOSIER PASS, CO US","","","","","       113","T","       113","T","         1","T","","","","","","","       101","T","        11","T","         0","T","","","","","  25.4"," ,T,0402, ","   25.0","T,0707, ","","","","","","","","","","","","","","","","","","","","","","","","","    737.8"," ,T","","","      6.13","T","",""
"USS0006K01S","1990","39.36","-106.06","3474.7","HOOSIER PASS, CO US","","","","","       133","T","       133","T","         2","T","","","","","","","        91","T","        13","T","         0","T","","","","","  30.5"," ,T,0328, ","   25.5","T,0702, ","","","","","","","","","","","","","","","","","","","","","","","","","    749.2"," ,T","","","      6.39","T","",""
"USS0006K01S","1991","39.36","-106.06","3474.7","HOOSIER PASS, CO US","","","","","       129","T","       129","T","         2","T","","","        31","T","       233","T","       115","T","         3","T","         0","T","  -23.9","T,1103, ","","","  30.5"," ,T,1106, ","   23.6","T,0717, ","-0.6","T,0909","-2.6","T,0913","-7.0","T,0915","-7.0","T,0915","-9.9","T,1025","-0.7","T,0615","-3.9","T,0603","-5.4","T,0517","-11.0","T,0505","-11.0","T,0505","","","","","    688.4"," ,T","     -0.41","T","      5.93","T","     -6.75","T"
"USS0006K01S","1992","39.36","-106.06","3474.7","HOOSIER PASS, CO US","","","","","       114","T","       114","T","         1","T","","","","","","","       105","T","         1","T","         0","T","","","","","  27.9"," ,T,0824, ","   22.1","T,0809, ","","","","","","","","","","","","","","","","","","","","","","","","","    597.3"," ,T","","","      6.14","T","",""
"USS0006K01S","1993","39.36","-106.06","3474.7","HOOSIER PASS, CO US","","","","","       138","T","       138","T","         2","T","","","","","","","","","","","","","","","","","  50.8"," ,T,0617, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    718.8"," ,T","","","","","",""
