"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USS0010F09S","1983","43.75","-110.06","2920.0","TOGWOTEE PASS, WY US","","","","","       178","T","       178","T","         2","T","","","","","","","","","","","","","","","","","  38.1"," ,T,0105, ","","","","","","","","","","","","","","","","","","","","","","","","","","","   1136.4"," ,T","","","","","",""
"USS0010F09S","1984","43.75","-110.06","2920.0","TOGWOTEE PASS, WY US","","","","","       150","T","       150","T","         2","T","","","","","","","","","","","","","","","","","  30.5"," ,T,0419, ","","","","","","","","","","","","","","","","","","","","","","","","","","","   1068.2"," ,T","","","","","",""
"USS0010F09S","1985","43.75","-110.06","2920.0","TOGWOTEE PASS, WY US","","","","","       135","T","       135","T","         2","T","","","","","","","","","","","","","","","","","  38.1"," ,T,0517, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    861.7"," ,T","","","","","",""
"USS0010F09S","1986","43.75","-110.06","2920.0","TOGWOTEE PASS, WY US","","","","","       150","T","       150","T","         6","T","","","","","","","","","","","","","","","","","  43.2"," ,T,0217, ","","","","","","","","","","","","","","","","","","","","","","","","","","","   1179.1"," ,T","","","","","",""
"USS0010F09S","1987","43.75","-110.06","2920.0","TOGWOTEE PASS, WY US","","","","","       121","T","       121","T","         4","T","","","","","","","","","","","","","","","","","  40.6"," ,T,1210, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    811.3"," ,T","","","","","",""
"USS0010F09S","1988","43.75","-110.06","2920.0","TOGWOTEE PASS, WY US","","","","","       132","T","       132","T","         5","T","","","","","","","       155","T","        24","T","         0","T","","","","","  38.1"," ,T,1113, ","   27.1","T,0624, ","","","","","","","","","","","","","","","","","","","","","","","","","    905.3"," ,T","","","      1.88","T","",""
"USS0010F09S","1989","43.75","-110.06","2920.0","TOGWOTEE PASS, WY US","","","","","       172","T","       172","T","         2","T","","","","","","","","","","","","","","","","","  38.1"," ,T,1126, ","","","","","","","","","","","","","","","","","","","","","","","","","","","   1095.3"," ,T","","","","","",""
"USS0010F09S","1990","43.75","-110.06","2920.0","TOGWOTEE PASS, WY US","      0.0","","       0.0","T","       163","T","       163","T","         2","T","","","        37","T","       241","T","       130","T","        19","T","         0","T","  -37.1","T,1220, ","","","  35.6"," ,T,0720, ","   24.2","T,0807,+","-1.8","T,0920","-2.4","T,0921","-6.6","T,1002","-7.5","T,1003","-13.1","T,1007","-0.1","T,0622","-2.3","T,0617","-7.6","T,0613","-7.6","T,0613","-10.9","T,0516","","","","","   1024.5"," ,T","     -1.26","T","      4.50","T","     -7.01","T"
"USS0010F09S","1991","43.75","-110.06","2920.0","TOGWOTEE PASS, WY US","","","","","       169","T","       169","T","         2","T","","","","","","","       144","T","        11","T","         0","T","","","","","  38.1"," ,T,0304, ","   23.3","T,0715, ","","","","","","","","","","","","","","","","","","","","","    6542.3","3","    6542.3","T","   1015.9"," ,T","","","      4.46","T","",""
"USS0010F09S","1992","43.75","-110.06","2920.0","TOGWOTEE PASS, WY US","      0.0","","       0.0","T","       126","T","       126","T","         3","T","","","        22","T","       245","T","       117","T","         9","T","         0","T","  -26.5","T,1203, ","","","  40.6"," ,T,0615, ","   23.7","T,0814, ","-1.2","T,0823","-3.8","T,0824","-5.3","T,0826","-6.9","T,0907","-10.8","T,1006","-0.1","T,0713","-2.8","T,0616","-5.4","T,0512","-9.1","T,0425","-9.1","T,0425","","","","","    778.1"," ,T","     -0.17","T","      5.46","T","     -5.80","T"
"USS0010F09S","1993","43.75","-110.06","2920.0","TOGWOTEE PASS, WY US","      0.0","","       0.0","T","       160","T","       160","T","         2","T","","","        36","T","       274","T","       135","T","         0","T","         0","T","  -30.5","T,0216, ","","","  27.9"," ,T,0521,+","   20.6","T,0729, ","-0.1","T,0817","-3.4","T,0827","-6.8","T,0913","-6.8","T,0913","-8.9","T,1009","-0.1","T,0726","-2.6","T,0708","-5.8","T,0624","-7.9","T,0510","-13.4","T,0508","    6499.2","2","    6499.2","T","    990.7"," ,T","     -2.11","T","      3.41","T","     -7.62","T"
"USS0010F09S","1994","43.75","-110.06","2920.0","TOGWOTEE PASS, WY US","      0.0","","       0.0","T","       151","T","       151","T","         1","T","","","        42","T","       254","T","       138","T","        23","T","         0","T","  -26.2","T,1231, ","","","  27.9"," ,T,0224, ","   25.0","T,0722, ","-0.8","T,0904","-3.1","T,0921","-5.0","T,1002","-7.5","T,1003","-13.0","T,1022","-0.7","T,0707","-2.3","T,0627","-5.1","T,0608","-7.7","T,0502","-11.8","T,0430","    6765.9","9","    6765.9","T","    838.4"," ,T","     -0.47","T","      5.26","T","     -6.19","T"
