"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USS0014C05S","1985","46.63","-114.58","1597.2","LOLO PASS, ID US","","","","","       136","T","       136","T","         7","T","","","","","","","","","","","","","","","","","  30.5"," ,T,0906,+","","","","","","","","","","","","","","","","","","","","","","","","","","","   1154.3"," ,T","","","","","",""
"USS0014C05S","1986","46.63","-114.58","1597.2","LOLO PASS, ID US","","","","","       156","T","       156","T","         9","T","","","","","","","        82","T","        69","T","         1","T","","","","","  38.1"," ,T,0216, ","   32.7","T,0828, ","","","","","","","","","","","","","","","","","","","","","","","","","   1289.4"," ,T","","","      9.92","T","",""
"USS0014C05S","1987","46.63","-114.58","1597.2","LOLO PASS, ID US","","","","","       110","T","       110","T","         2","T","","","","","","","","","","","","","","","","","  33.0"," ,T,1209, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    801.7"," ,T","","","","","",""
"USS0014C05S","1988","46.63","-114.58","1597.2","LOLO PASS, ID US","","","","","       145","T","       145","T","         9","T","","","","","","","","","","","","","","","","","  48.3"," ,T,0110, ","","","","","","","","","","","","","","","","","","","","","","","","","","","   1284.9"," ,T","","","","","",""
"USS0014C05S","1989","46.63","-114.58","1597.2","LOLO PASS, ID US","","","","","       168","T","       168","T","         5","T","","","","","","","","","","","","","","","","","  38.1"," ,T,0222, ","","","","","","","","","","","","","","","","","","","","","","","","","","","   1232.6"," ,T","","","","","",""
"USS0014C05S","1990","46.63","-114.58","1597.2","LOLO PASS, ID US","","","","","       158","T","       158","T","        11","T","","","","","","","        95","T","        79","T","         5","T","","","","","  35.6"," ,T,0128, ","   33.2","T,0808, ","","","","","","","","","","","","","","","","","","","","","","","","","   1476.7"," ,T","","","      9.85","T","",""
"USS0014C05S","1991","46.63","-114.58","1597.2","LOLO PASS, ID US","","","","","       134","T","       134","T","         6","T","","","","","","","       107","T","        71","T","         1","T","","","","","  50.8"," ,T,1112, ","   32.6","T,0809, ","","","","","","","","","","","","","","","","","","","","","","","","","   1141.7"," ,T","","","      9.04","T","",""
"USS0014C05S","1992","46.63","-114.58","1597.2","LOLO PASS, ID US","","","","","       150","T","       150","T","         6","T","","","","","","","        86","T","        71","T","         1","T","","","","","  38.1"," ,T,0316, ","   32.2","T,0814, ","","","","","","","","","","","","","","","","","","","","","","","","","   1136.7"," ,T","","","      9.78","T","",""
"USS0014C05S","1993","46.63","-114.58","1597.2","LOLO PASS, ID US","","","","","       146","T","       146","T","         1","T","","","","","","","        95","T","        53","T","         0","T","","","","","  30.5"," ,T,1007, ","   29.5","T,0620, ","","","","","","","","","","","","","","","","","","","","","","","","","    984.3"," ,T","","","      7.49","T","",""
"USS0014C05S","1994","46.63","-114.58","1597.2","LOLO PASS, ID US","     25.5","","      25.5","T","       152","T","       152","T","         7","T","","","         9","T","       224","T","        99","T","        90","T","         2","T","  -26.8","T,0208, ","","","  50.8"," ,T,1027, ","   32.5","T,0727, ","-0.3","T,0904","-2.4","T,0905","-5.1","T,1004","-6.7","T,1029","-8.9","T,1102","-1.2","T,0704","-2.3","T,0528","-9.3","T,0429","-9.3","T,0429","-9.3","T,0429","","","","","   1169.5"," ,T","      3.47","T","      9.85","T","     -2.91","T"
"USS0014C05S","1995","46.63","-114.58","1597.2","LOLO PASS, ID US","      0.6","","       0.6","T","       177","T","       177","T","        12","T","","","        12","T","       239","T","        85","T","        64","T","         0","T","  -24.3","T,0213, ","","","  45.7"," ,T,1128, ","   29.4","T,0901, ","-1.3","T,0809","-4.7","T,0920","-4.7","T,0920","-7.1","T,0921","-10.5","T,1030","-0.3","T,0731","-2.7","T,0610","-5.7","T,0514","-6.7","T,0426","-9.9","T,0416","    5653.0","0","    5653.0","T","   1446.3"," ,T","      2.57","T","      8.05","T","     -2.92","T"
"USS0014C05S","1996","46.63","-114.58","1597.2","LOLO PASS, ID US","      8.9","","       8.9","T","       182","T","       182","T","        10","T","","","        18","T","       243","T","       115","T","        71","T","         1","T","  -28.8","T,0202, ","","","  40.6"," ,T,0207,+","   32.7","T,0702, ","-0.8","T,0819","-2.6","T,0921","-5.3","T,0924","-7.8","T,1017","-8.9","T,1020","-0.5","T,0706","-3.1","T,0619","-5.6","T,0509","-8.2","T,0505","-9.7","T,0329","    5854.8","8","    5854.8","T","   1661.7"," ,T","      2.35","T","      8.21","T","     -3.50","T"
"USS0014C05S","1997","46.63","-114.58","1597.2","LOLO PASS, ID US","      4.8","","       4.8","T","       176","T","       176","T","        11","T","","","        10","T","       234","T","       121","T","        63","T","         0","T","  -24.4","T,0113, ","","","  48.3"," ,T,1030, ","   30.6","T,0803, ","-1.0","T,0913","-3.5","T,1008","-4.6","T,1012","-9.1","T,1024","-9.1","T,1024","-0.1","T,0712","-2.2","T,0623","-5.6","T,0508","-8.2","T,0413","-16.2","T,0412","    5767.3","3","    5767.3","T","   1545.2"," ,T","      2.52","T","      8.10","T","     -3.05","T"
"USS0014C05S","1998","46.63","-114.58","1597.2","LOLO PASS, ID US","     35.6","","      35.6","T","       170","T","       170","T","        10","T","","","        11","T","       225","T","        92","T","        79","T","         3","T","  -34.1","T,1221, ","","","  45.7"," ,T,1121, ","   33.6","T,0717, ","-0.3","T,0819","-2.2","T,0922","-5.4","T,1011","-7.5","T,1029","-9.8","T,1030","-1.2","T,0609","-2.7","T,0604","-6.0","T,0426","-10.2","T,0413","-10.2","T,0413","    5516.8","8","    5516.8","T","   1385.5"," ,T","      3.84","T","      9.79","T","     -2.11","T"
"USS0014C05S","1999","46.63","-114.58","1597.2","LOLO PASS, ID US","      5.0","","       5.0","T","       156","T","       156","T","         5","T","","","         1","T","       229","T","        88","T","        65","T","         0","T","  -18.2","T,0306, ","","","  38.1"," ,T,1125, ","   31.7","T,0727, ","-2.9","T,0831","-2.9","T,0831","-5.9","T,0928","-8.1","T,1122","-10.3","T,1203","-1.3","T,0705","-4.1","T,0610","-4.9","T,0516","-7.4","T,0511","-9.5","T,0508","    5456.5","5","    5456.5","T","   1260.6"," ,T","      3.51","T","      9.30","T","     -2.30","T"
"USS0014C05S","2000","46.63","-114.58","1597.2","LOLO PASS, ID US","     14.5","","      14.5","T","       140","T","       140","T","         2","T","      206","","         0","T","       199","T","        71","T","        59","T","         0","T","  -17.4","T,1211, ","  2362"," ,T,0319, ","  40.6"," ,T,0104, ","   32.0","T,0730, ","-3.8","T,0921","-3.8","T,0921","-6.6","T,0922","-8.3","T,0923","-10.7","T,1107","-2.0","T,0513","-2.9","T,0508","-4.6","T,0408","-8.8","T,0321","-11.9","T,0220","    4853.6","6","    4853.6","T","   1017.0"," ,T","      4.39","T","      9.71","T","     -0.94","T"
"USS0014C05S","2001","46.63","-114.58","1597.2","LOLO PASS, ID US","     17.2","","      17.2","T","       132","T","       132","T","         5","T","      218","","         1","T","       198","T","        65","T","        81","T","         0","T","  -18.3","T,1226, ","  1372"," ,T,0412, ","  35.6"," ,T,0603, ","   31.3","T,0817, ","-0.8","T,0908","-3.1","T,1004","-6.1","T,1005","-7.8","T,1124","-11.6","T,1127","-0.2","T,0616","-2.3","T,0517","-8.7","T,0415","-8.7","T,0415","-8.9","T,0315","    5211.3","3","    5211.3","T","    948.2"," ,T","      4.83","T","     10.34","T","     -0.69","T"
"USS0014C05S","2002","46.63","-114.58","1597.2","LOLO PASS, ID US","     31.4","","      31.4","T","       151","T","       151","T","         6","T","      232","","         4","T","       211","T","        63","T","        61","T","         3","T","  -21.2","T,0226, ","  2845"," ,T,0320, ","  40.6"," ,T,0718, ","   34.9","T,0711, ","-0.1","T,0909","-4.6","T,1001","-4.6","T,1001","-8.1","T,1024","-12.9","T,1029","-0.4","T,0607","-4.2","T,0511","-8.6","T,0509","-8.6","T,0509","-12.2","T,0403","    5110.9","9","    5110.9","T","   1205.6"," ,T","      3.97","T","      9.27","T","     -1.33","T"
"USS0014C05S","2003","46.63","-114.58","1597.2","LOLO PASS, ID US","     42.6","","      42.6","T","       159","T","       159","T","        10","T","      215","","         3","T","       195","T","        59","T","        81","T","         2","T","  -23.8","T,0224, ","  2870"," ,T,0307, ","  45.7"," ,T,0131, ","   33.4","T,0723, ","0.0","T,0914","-3.1","T,1011","-5.2","T,1025","-12.5","T,1030","-12.5","T,1030","-1.5","T,0520","-2.8","T,0518","-4.4","T,0407","-7.5","T,0329","-9.9","T,0227","    4946.1","1","    4946.1","T","   1319.4"," ,T","      5.17","T","     10.50","T","     -0.17","T"
"USS0014C05S","2004","46.63","-114.58","1597.2","LOLO PASS, ID US","     47.7","","      47.7","T","       153","T","       153","T","         2","T","      210","","         4","T","       194","T","        46","T","        76","T","         7","T","  -26.8","T,0106, ","  2311"," ,T,0131, ","  38.1"," ,T,0825, ","   37.8","T,0717, ","0.0","T,1009","-2.5","T,1011","-6.1","T,1025","-8.9","T,1126","-8.9","T,1126","-1.0","T,0616","-2.5","T,0514","-4.9","T,0513","-7.8","T,0320","-9.0","T,0222","    4630.7","7","    4630.7","T","   1103.1"," ,T","      5.57","T","     11.43","T","     -0.28","T"
"USS0014C05S","2005","46.63","-114.58","1597.2","LOLO PASS, ID US","     11.2","","      11.2","T","       147","T","       147","T","         4","T","      198","","         6","T","       183","T","        55","T","        59","T","         0","T","  -23.5","T,1207, ","  1372"," ,T,0330, ","  30.5"," ,T,0327, ","   30.8","T,0821, ","-0.6","T,0922","-2.4","T,1010","-8.4","T,1108","-8.4","T,1108","-10.4","T,1109","0.0","T,0526","-2.4","T,0501","-7.9","T,0429","-7.9","T,0429","-12.4","T,0324","    4998.8","8","    4998.8","T","    993.8"," ,T","      4.36","T","      9.63","T","     -0.92","T"
"USS0014C05S","2006","46.63","-114.58","1597.2","LOLO PASS, ID US","     25.9","","      25.9","T","       153","T","       153","T","         8","T","      206","","         4","T","       197","T","        59","T","        78","T","         1","T","  -27.7","T,0217, ","  2591"," ,T,0223, ","  68.6"," ,T,1107, ","   32.3","T,0722, ","-0.9","T,0901","-3.3","T,1009","-5.7","T,1010","-12.6","T,1030","-12.6","T,1030","0.0","T,0530","-3.7","T,0510","-7.0","T,0419","-7.0","T,0419","-9.4","T,0327","    5029.2","2","    5029.2","T","   1341.6"," ,T","      4.88","T","     10.36","T","     -0.59","T"
"USS0014C05S","2007","46.63","-114.58","1597.2","LOLO PASS, ID US","     65.4","","      65.4","T","       146","T","       146","T","         6","T","      193","","         5","T","       175","T","        63","T","        83","T","         5","T","  -28.9","T,0112, ","  1956"," ,T,0301,+","  61.0"," ,T,1203, ","   34.6","T,0723, ","-0.3","T,0920","-3.3","T,0930","-6.3","T,1027","-8.1","T,1120","-14.1","T,1121","-1.3","T,0626","-2.3","T,0505","-4.5","T,0421","-7.8","T,0420","-16.2","T,0302","    4830.0","0","    4830.0","T","   1070.0"," ,T","      5.29","T","     10.85","T","     -0.26","T"
"USS0014C05S","2008","46.63","-114.58","1597.2","LOLO PASS, ID US","     15.3","","      15.3","T","       172","T","       172","T","         6","T","      222","","        10","T","       197","T","        61","T","        69","T","         1","T","  -27.4","T,1216, ","  2819"," ,T,0208,+","  50.8"," ,T,0820, ","   32.3","T,0629, ","-0.5","T,0911","-3.9","T,1008","-5.1","T,1009","-7.3","T,1105","-10.6","T,1204","-0.1","T,0611","-3.3","T,0513","-4.7","T,0502","-12.2","T,0421","-12.2","T,0421","    5164.4","4","    5164.4","T","   1229.8"," ,T","      3.87","T","      9.35","T","     -1.61","T"
"USS0014C05S","2009","46.63","-114.58","1597.2","LOLO PASS, ID US","      6.7","","       6.7","T","       143","T","       143","T","         2","T","      219","","        11","T","       203","T","        69","T","        72","T","         0","T","  -26.3","T,1208, ","  2337"," ,T,0402, ","  33.0"," ,T,0101, ","   31.7","T,0723, ","-1.2","T,0921","-3.2","T,1005","-4.6","T,1006","-9.8","T,1009","-9.8","T,1009","-3.4","T,0521","-3.4","T,0521","-4.5","T,0501","-6.8","T,0425","-9.7","T,0405","    5167.2","2","    5167.2","T","   1029.5"," ,T","      4.00","T","      9.37","T","     -1.38","T"
"USS0014C05S","2010","46.63","-114.58","1597.2","LOLO PASS, ID US","      4.4","","       4.4","T","       163","T","       163","T","         4","T","      209","","         6","T","       198","T","        48","T","        57","T","         0","T","  -25.6","T,1231, ","  1448"," ,T,1230, ","  35.6"," ,T,0329, ","   30.2","T,0826, ","-1.4","T,1011","-3.4","T,1012","-6.9","T,1109","-6.9","T,1109","-10.6","T,1119","-0.9","T,0524","-3.4","T,0521","-9.4","T,0505","-9.4","T,0505","-9.4","T,0505","    5097.7","7","    5097.7","T","   1075.2"," ,T","      4.49","T","      9.60","T","     -0.64","T"
"USS0014C05S","2011","46.63","-114.58","1597.2","LOLO PASS, ID US","      8.9","","       8.9","T","       170","T","       170","T","         9","T","      236","","         9","T","       198","T","        60","T","        72","T","         0","T","  -25.3","T,0201, ","  2616"," ,T,0228, ","  40.6"," ,T,0116, ","   29.6","T,0828, ","-0.3","T,1008","-2.4","T,1025","-5.1","T,1028","-8.6","T,1102","-11.7","T,1115","-0.6","T,0604","-4.2","T,0502","-4.7","T,0424","-8.0","T,0423","-10.0","T,0420","    5332.4","4","    5332.4","T","   1344.6"," ,T","      4.10","T","      9.35","T","     -1.14","T"
"USS0014C05S","2012","46.63","-114.58","1597.2","LOLO PASS, ID US","     23.1","","      23.1","T","       152","T","       152","T","        11","T","      214","","         0","T","       193","T","        57","T","        78","T","         0","T","  -16.5","T,0228, ","  2489"," ,T,0321, ","  43.2"," ,T,0119, ","   31.7","T,0709, ","-0.7","T,0825","-2.3","T,1003","-6.5","T,1005","-7.3","T,1006","-10.7","T,1110","-1.3","T,0607","-2.3","T,0512","-5.4","T,0511","-7.3","T,0407","-10.9","T,0308","    4918.2","2","    4918.2","T","   1276.1"," ,T","      5.18","T","     10.67","T","     -0.31","T"
"USS0014C05S","2013","46.63","-114.58","1597.2","LOLO PASS, ID US","     19.4","","      19.4","T","       146","T","       146","T","         4","T","      201","","         8","T","       199","T","        57","T","        88","T","         0","T","  -26.4","T,1207, ","  1905"," ,T,0318, ","  35.6"," ,T,1201, ","   31.7","T,0702, ","-1.7","T,0926","-2.2","T,0927","-6.6","T,1028","-9.1","T,1029","-9.1","T,1029","-0.4","T,0601","-5.0","T,0502","-5.0","T,0502","-8.8","T,0423","-13.8","T,0417","    4811.0","0","    4811.0","T","   1001.1"," ,T","      4.84","T","     10.27","T","     -0.60","T"
"USS0014C05S","2014","46.63","-114.58","1597.2","LOLO PASS, ID US","     16.5","","      16.5","T","       166","T","       166","T","         8","T","      221","","        14","T","       178","T","        51","T","        65","T","         0","T","  -29.6","T,0206, ","  2743"," ,T,0305,+","  35.6"," ,T,1221,+","   31.2","T,0811, ","-1.6","T,0911","-4.1","T,0912","-13.6","T,1110","-13.6","T,1110","-13.6","T,1110","-1.4","T,0530","-4.2","T,0512","-5.1","T,0419","-7.7","T,0414","-9.1","T,0324","    5035.6","6","    5035.6","T","   1450.9"," ,T","      4.76","T","     10.13","T","     -0.61","T"
"USS0014C05S","2015","46.63","-114.58","1597.2","LOLO PASS, ID US","     42.2","","      42.2","T","       135","T","       135","T","         7","T","      185","","         2","T","       173","T","        45","T","        76","T","         2","T","  -17.9","T,0222, ","  1676"," ,T,0119, ","  55.9"," ,T,1031, ","   32.8","T,0628, ","-1.8","T,0928","-2.7","T,1028","-5.6","T,1116","-12.7","T,1120","-12.7","T,1120","-0.6","T,0518","-2.6","T,0503","-5.5","T,0416","-8.0","T,0407","-10.4","T,0305","    4446.4","4","    4446.4","T","   1047.3"," ,T","      6.12","T","     11.77","T","      0.47","T"
"USS0014C05S","2016","46.63","-114.58","1597.2","LOLO PASS, ID US","      9.0","","       9.0","T","       153","T","       153","T","         1","T","","","         4","T","       168","T","        45","T","        70","T","         0","T","  -22.2","T,1217, ","","","  33.0"," ,T,0710, ","   30.2","T,0606, ","-2.4","T,0913","-2.4","T,0913","-5.4","T,1012","-9.7","T,1118","-9.7","T,1118","-0.3","T,0617","-2.4","T,0419","-5.1","T,0327","-11.9","T,0319","-11.9","T,0319","    4548.5","5","    4548.5","T","   1143.8"," ,T","      5.53","T","     11.00","T","      0.06","T"
"USS0014C05S","2017","46.63","-114.58","1597.2","LOLO PASS, ID US","     39.4","","      39.4","T","       164","T","       164","T","        10","T","      234","","         6","T","       195","T","        54","T","        91","T","         1","T","  -24.4","T,0105, ","  2540"," ,T,0309, ","  40.6"," ,T,0604, ","   32.2","T,0707, ","-0.4","T,0917","-3.0","T,0923","-5.7","T,1030","-8.3","T,1106","-11.5","T,1107","-1.1","T,0611","-2.3","T,0503","-5.4","T,0416","-6.8","T,0410","-10.8","T,0225","    4986.1","1","    4986.1","T","   1268.0"," ,T","      5.13","T","     10.68","T","     -0.41","T"
"USS0014C05S","2018","46.63","-114.58","1597.2","LOLO PASS, ID US","     16.9","","      16.9","T","       152","T","       152","T","        10","T","      209","","         6","T","       185","T","        58","T","        67","T","         1","T","  -19.5","T,0219, ","  2489"," ,T,0225, ","  38.1"," ,T,0616, ","   34.2","T,0810, ","-0.7","T,0914","-2.7","T,1011","-7.0","T,1014","-7.0","T,1014","-9.5","T,1109","0.0","T,0704","-4.5","T,0424","-4.5","T,0424","-7.2","T,0406","-10.5","T,0310","    4779.3","3","    4779.3","T","   1307.1"," ,T","      4.86","T","     10.28","T","     -0.56","T"
"USS0014C05S","2019","46.63","-114.58","1597.2","LOLO PASS, ID US","     15.4","","      15.4","T","       145","T","       145","T","         3","T","      230","","         9","T","       197","T","        71","T","        64","T","         0","T","  -22.0","T,0303, ","  2235"," ,T,0227,+","  38.1"," ,T,0407, ","   30.6","T,0723, ","-3.4","T,0928","-3.4","T,0928","-6.6","T,1009","-9.5","T,1010","-9.5","T,1010","-0.8","T,0510","-3.7","T,0503","-7.0","T,0501","-7.0","T,0501","-14.0","T,0311","    5159.5","5","    5159.5","T","   1001.4"," ,T","      4.08","T","      9.47","T","     -1.31","T"
