"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USS0015H01S","1981","41.83","-115.45","2450.6","BEAR CREEK, NV US","","","","","        92","T","        92","T","         8","T","","","","","","","","","","","","","","","","","  48.3"," ,T,0326, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    916.7"," ,T","","","","","",""
"USS0015H01S","1982","41.83","-115.45","2450.6","BEAR CREEK, NV US","","","","","       141","T","       141","T","         4","T","","","","","","","","","","","","","","","","","  35.6"," ,T,0925, ","","","","","","","","","","","","","","","","","","","","","","","","","","","   1067.9"," ,T","","","","","",""
"USS0015H01S","1983","41.83","-115.45","2450.6","BEAR CREEK, NV US","","","","","       159","T","       159","T","         4","T","","","","","","","","","","","","","","","","","  38.1"," ,T,1214, ","","","","","","","","","","","","","","","","","","","","","","","","","","","   1235.8"," ,T","","","","","",""
"USS0015H01S","1984","41.83","-115.45","2450.6","BEAR CREEK, NV US","","","","","       139","T","       139","T","         8","T","","","","","","","","","","","","","","","","","  43.2"," ,T,0604, ","","","","","","","","","","","","","","","","","","","","","","","","","","","   1202.6"," ,T","","","","","",""
"USS0015H01S","1985","41.83","-115.45","2450.6","BEAR CREEK, NV US","","","","","       102","T","       102","T","         1","T","","","","","","","","","","","","","","","","","  25.4"," ,T,1201, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    715.7"," ,T","","","","","",""
"USS0015H01S","1986","41.83","-115.45","2450.6","BEAR CREEK, NV US","","","","","       111","T","       111","T","         4","T","","","","","","","","","","","","","","","","","  33.0"," ,T,0218, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    831.8"," ,T","","","","","",""
"USS0015H01S","1987","41.83","-115.45","2450.6","BEAR CREEK, NV US","","","","","       100","T","       100","T","         3","T","","","","","","","","","","","","","","","","","  50.8"," ,T,0315, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    715.6"," ,T","","","","","",""
"USS0015H01S","1988","41.83","-115.45","2450.6","BEAR CREEK, NV US","","","","","       104","T","       104","T","         6","T","","","","","","","","","","","","","","","","","  38.1"," ,T,0529, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    862.6"," ,T","","","","","",""
"USS0015H01S","1989","41.83","-115.45","2450.6","BEAR CREEK, NV US","","","","","        97","T","        97","T","         2","T","","","","","","","","","","","","","","","","","  27.9"," ,T,1125, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    682.4"," ,T","","","","","",""
"USS0015H01S","1990","41.83","-115.45","2450.6","BEAR CREEK, NV US","","","","","       124","T","       124","T","         2","T","","","","","","","        75","T","        70","T","         0","T","","","","","  48.3"," ,T,0114, ","   29.6","T,0807, ","","","","","","","","","","","","","","","","","","","","","","","","","    798.5"," ,T","","","      9.21","T","",""
"USS0015H01S","1991","41.83","-115.45","2450.6","BEAR CREEK, NV US","","","","","       129","T","       129","T","         4","T","","","","","","","        68","T","        65","T","         0","T","","","","","  38.1"," ,T,1026, ","   27.8","T,0712, ","","","","","","","","","","","","","","","","","","","","","","","","","    945.9"," ,T","","","      9.22","T","",""
"USS0015H01S","1992","41.83","-115.45","2450.6","BEAR CREEK, NV US","","","","","       103","T","       103","T","         3","T","","","        11","T","       230","T","","","","","","","  -21.9","T,1219, ","","","  33.0"," ,T,1229,+","","","-6.4","T,0824","-6.4","T,0824","-6.4","T,0824","-7.1","T,0913","-11.9","T,1103","-0.5","T,0724","-3.4","T,0614","-5.7","T,0522","-12.1","T,0423","-12.1","T,0423","    4718.0","0","    4718.0","T","    681.5"," ,T","","","","","     -3.63","T"
"USS0015H01S","1993","41.83","-115.45","2450.6","BEAR CREEK, NV US","","","","","       128","T","       128","T","         1","T","","","","","","","","","","","","","","","","","  25.4"," ,T,0722, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    818.3"," ,T","","","","","",""
"USS0015H01S","1994","41.83","-115.45","2450.6","BEAR CREEK, NV US","      5.2","","       5.2","T","       120","T","       120","T","         3","T","","","        19","T","       237","T","        81","T","        85","T","         0","T","  -23.7","T,1118, ","","","  30.5"," ,T,0930, ","   28.5","T,0721, ","-0.5","T,0830","-3.1","T,0910","-6.3","T,1002","-10.8","T,1028","-10.8","T,1028","0.0","T,0707","-3.6","T,0617","-5.6","T,0616","-7.2","T,0608","-10.5","T,0429","","","","","    859.9"," ,T","      2.84","T","      9.77","T","     -4.08","T"
"USS0015H01S","1995","41.83","-115.45","2450.6","BEAR CREEK, NV US","","","","","       135","T","       135","T","         7","T","","","","","","","","","","","","","","","","","  40.6"," ,T,0608, ","","","","","","","","","","","","","","","","","","","","","","","    5740.1","1","    5740.1"," ","   1095.5"," ,T","","","","","",""
"USS0015H01S","1996","41.83","-115.45","2450.6","BEAR CREEK, NV US","      1.3","","       1.3","T","       137","T","       137","T","         9","T","","","        17","T","       252","T","        75","T","        72","T","         0","T","  -23.2","T,0225, ","","","  33.0"," ,T,0127, ","   29.0","T,0727, ","-1.2","T,0803","-3.1","T,0804","-4.7","T,0905","-7.0","T,0923","-14.2","T,1016","0.0","T,0720","-2.5","T,0625","-7.1","T,0619","-7.1","T,0619","-10.4","T,0504","","","","","   1125.6"," ,T","      2.79","T","      9.52","T","     -3.95","T"
"USS0015H01S","1997","41.83","-115.45","2450.6","BEAR CREEK, NV US","      0.0","","       0.0","T","       125","T","       125","T","         4","T","","","        19","T","       248","T","        81","T","        54","T","         0","T","  -27.9","T,0113,+","","","  53.3"," ,T,0604, ","   26.8","T,0803,+","-2.7","T,0916","-2.7","T,0916","-5.2","T,1005","-8.7","T,1007","-9.7","T,1008","-1.2","T,0713","-3.1","T,0711","-4.5","T,0624","-14.8","T,0502","-14.8","T,0502","    5702.5","5","    5702.5","T","    918.0"," ,T","      2.32","T","      9.01","T","     -4.38","T"
"USS0015H01S","1998","41.83","-115.45","2450.6","BEAR CREEK, NV US","      7.0","","       7.0","T","       142","T","       142","T","         3","T","","","        15","T","       256","T","        75","T","        71","T","         0","T","  -29.7","T,1221, ","","","  40.6"," ,T,0526, ","   31.6","T,0717, ","-0.5","T,0824","-2.7","T,0919","-4.7","T,1004","-8.4","T,1005","-11.0","T,1016","-4.0","T,0627","-4.0","T,0627","-5.6","T,0530","-10.5","T,0518","-10.5","T,0518","    5902.5","5","    5902.5","T","   1001.3"," ,T","      2.31","T","      8.56","T","     -3.95","T"
